round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/08/2000,19:00,Salgueiros,Paços Ferreira,4-3-3 ofensivo,Vítor Manuel,3000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854553
2,sex 25/08/2000,19:00,Campomaiorense,Salgueiros,4-2-3-1,Vítor Manuel,2000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854558
3,sáb 09/09/2000,19:00,Salgueiros,Marítimo,5-4-1,Vítor Manuel,2500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854572
4,dom 17/09/2000,13:00,Farense,Salgueiros,4-4-2 losango,Vítor Manuel,3000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854577
5,qui 21/09/2000,19:00,Salgueiros,Vit. Guimarães,4-4-2 losango,Vítor Manuel,4000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854583
6,sáb 30/09/2000,19:00,Sporting,Salgueiros,4-4-2 duplo 6,Vítor Manuel,15000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854597
7,sáb 14/10/2000,20:00,Salgueiros,Alverca,4-4-2 losango,Vítor Manuel,4000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854609
8,dom 22/10/2000,13:00,Gil Vicente,Salgueiros,4-4-2 losango,Vítor Manuel,3000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854616
9,sex 27/10/2000,18:00,Braga,Salgueiros,4-4-2 losango,Vítor Manuel,3000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854619
10,dom 05/11/2000,14:00,Salgueiros,CD Aves,4-2-3-1,Vítor Manuel,2000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854635
11,dom 12/11/2000,21:00,FC Porto,Salgueiros,4-3-1-2,Vítor Manuel,10000,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854644
12,sáb 18/11/2000,21:00,Salgueiros,Beira-Mar,4-1-3-2,Vítor Manuel,2000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854653
