round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 12/08/2001,13:00,Paços Ferreira,Belenenses,4-3-3 ofensivo,Marinho Peres,3000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854034
2,sex 17/08/2001,19:00,Belenenses,Sporting,4-3-3 ofensivo,Marinho Peres,20000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854228
3,sáb 25/08/2001,19:00,Boavista,Belenenses,?,Marinho Peres,7000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854249
4,sex 07/09/2001,19:00,Belenenses,Marítimo,?,Marinho Peres,3000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854256
5,qui 13/09/2001,19:00,Varzim,Belenenses,4-3-3 ofensivo,Marinho Peres,6000,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854264
6,sáb 22/09/2001,19:00,Belenenses,Benfica,?,Marinho Peres,6000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854278
7,sex 28/09/2001,17:00,Vitória FC,Belenenses,4-2-3-1,Marinho Peres,3000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854282
8,dom 14/10/2001,20:00,Belenenses,Beira-Mar,?,Marinho Peres,2000,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854299
9,sex 19/10/2001,20:00,FC Porto,Belenenses,4-3-3 ofensivo,Marinho Peres,12000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854303
10,dom 28/10/2001,21:00,Belenenses,Salgueiros,?,Marinho Peres,2000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854317
11,dom 04/11/2001,14:00,Belenenses,Alverca,4-3-3 ofensivo,Marinho Peres,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854322
12,dom 25/11/2001,14:00,Leiria,Belenenses,4-2-3-1,Marinho Peres,1000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854334
13,sáb 01/12/2001,21:00,Belenenses,Gil Vicente,?,Marinho Peres,2000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854341
14,qui 06/12/2001,21:00,Farense,Belenenses,?,Marinho Peres,2000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854345
15,sex 14/12/2001,21:00,Belenenses,Vit. Guimarães,?,Marinho Peres,3000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854356
16,sex 21/12/2001,21:00,Braga,Belenenses,?,Marinho Peres,5000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854363
17,sex 04/01/2002,21:00,Belenenses,Santa Clara,?,Marinho Peres,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854374
18,sáb 12/01/2002,21:00,Belenenses,Paços Ferreira,?,Marinho Peres,1000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854386
19,sáb 19/01/2002,21:00,Sporting,Belenenses,4-2-3-1,Marinho Peres,22185,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854396
20,sáb 26/01/2002,21:00,Belenenses,Boavista,?,Marinho Peres,3000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854416
21,sáb 02/02/2002,21:00,Marítimo,Belenenses,?,Marinho Peres,1500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854425
22,sáb 09/02/2002,13:00,Belenenses,Varzim,4-2-3-1,Marinho Peres,1500,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854433
23,sáb 16/02/2002,20:00,Benfica,Belenenses,?,Marinho Peres,26000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854441
24,dom 24/02/2002,20:00,Belenenses,Vitória FC,?,Marinho Peres,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854455
25,dom 03/03/2002,20:00,Beira-Mar,Belenenses,?,Marinho Peres,3000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854465
26,qui 07/03/2002,20:00,Belenenses,FC Porto,?,Marinho Peres,7000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854466
27,qua 13/03/2002,20:00,Salgueiros,Belenenses,?,Marinho Peres,1000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854475
28,dom 24/03/2002,20:00,Alverca,Belenenses,?,Marinho Peres,2500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854492
29,dom 31/03/2002,19:00,Belenenses,Leiria,?,Marinho Peres,1500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854501
30,sáb 06/04/2002,19:00,Gil Vicente,Belenenses,?,Marinho Peres,3000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854505
31,sáb 13/04/2002,19:00,Belenenses,Farense,?,Marinho Peres,3000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854517
32,qui 18/04/2002,19:00,Vit. Guimarães,Belenenses,?,Marinho Peres,6300,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854520
33,qui 25/04/2002,19:00,Belenenses,Braga,?,Marinho Peres,2000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854529
34,sáb 04/05/2002,19:00,Santa Clara,Belenenses,?,Marinho Peres,2000,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854545
