round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 12/08/2001,15:00,Sporting,FC Porto,4-2-3-1,László Bölöni,40000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854036
2,sex 17/08/2001,19:00,Belenenses,Sporting,4-4-1-1,László Bölöni,20000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854228
3,sex 24/08/2001,19:00,Sporting,Alverca,4-1-3-2,László Bölöni,17543,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854248
4,sex 07/09/2001,19:00,Leiria,Sporting,4-4-2 duplo 6,László Bölöni,12500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854257
5,sáb 15/09/2001,19:00,Sporting,Gil Vicente,4-4-2 duplo 6,László Bölöni,18433,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854270
6,dom 23/09/2001,15:00,Farense,Sporting,4-4-2 duplo 6,László Bölöni,7500,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854279
7,dom 30/09/2001,19:00,Sporting,Vit. Guimarães,4-4-2 duplo 6,László Bölöni,14465,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854289
8,sex 12/10/2001,19:00,Braga,Sporting,4-4-2 duplo 6,László Bölöni,17000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854292
9,dom 21/10/2001,20:00,Sporting,Santa Clara,4-1-3-2,László Bölöni,10138,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854308
10,sex 26/10/2001,20:00,Paços Ferreira,Sporting,4-4-2 duplo 6,László Bölöni,7000,0:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854312
11,seg 05/11/2001,19:00,Salgueiros,Sporting,3-5-2,László Bölöni,2500,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3368438
12,dom 25/11/2001,21:00,Sporting,Boavista,3-4-1-2,László Bölöni,25000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854335
13,sex 30/11/2001,21:00,Marítimo,Sporting,3-4-1-2,László Bölöni,7000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854337
14,sáb 08/12/2001,21:00,Sporting,Varzim,3-4-1-2,László Bölöni,25476,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854351
15,sex 14/12/2001,21:00,Benfica,Sporting,3-4-1-2,László Bölöni,75000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854357
16,sex 21/12/2001,21:00,Sporting,Vitória FC,4-4-2 duplo 6,László Bölöni,15000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854369
17,sex 04/01/2002,21:00,Beira-Mar,Sporting,4-4-1-1,László Bölöni,9000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854373
18,sáb 12/01/2002,19:00,FC Porto,Sporting,4-4-1-1,László Bölöni,37535,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854384
19,sáb 19/01/2002,21:00,Sporting,Belenenses,4-4-1-1,László Bölöni,22185,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2854396
