round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qui 22/08/2002,17:00,Vitória FC,Boavista,4-2-3-1,Jaime Pacheco,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853610
2,seg 02/09/2002,17:00,Boavista,FC Porto,4-3-3 ofensivo,Jaime Pacheco,9000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853652
3,sex 13/09/2002,16:30,Académica,Boavista,4-4-2 losango,Jaime Pacheco,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853653
4,ter 24/09/2002,17:45,Boavista,Santa Clara,4-4-2 losango,Jaime Pacheco,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853670
5,dom 29/09/2002,14:00,Paços Ferreira,Boavista,4-2-3-1,Jaime Pacheco,4000,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853677
6,ter 08/10/2002,17:00,Boavista,Varzim,4-3-3 ofensivo,Jaime Pacheco,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853689
7,sáb 19/10/2002,16:00,Braga,Boavista,4-3-1-2,Jaime Pacheco,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853692
8,sáb 26/10/2002,17:00,Boavista,Sporting,4-2-3-1,Jaime Pacheco,,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853704
9,seg 04/11/2002,17:15,Belenenses,Boavista,4-2-3-1,Jaime Pacheco,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853717
10,sáb 09/11/2002,17:00,Boavista,Moreirense,4-2-3-1,Jaime Pacheco,,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853745
11,seg 18/11/2002,17:00,Boavista,Gil Vicente,4-2-3-1,Jaime Pacheco,,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853759
12,seg 02/12/2002,17:15,Vit. Guimarães,Boavista,4-3-1-2,Jaime Pacheco,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853768
13,dom 08/12/2002,16:00,Boavista,Marítimo,4-5-1,Jaime Pacheco,4500,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853776
14,seg 16/12/2002,17:15,Beira-Mar,Boavista,4-1-4-1,Jaime Pacheco,,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853786
15,sáb 21/12/2002,19:00,Boavista,Benfica,4-2-3-1,Jaime Pacheco,10000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853789
16,sáb 04/01/2003,14:00,Leiria,Boavista,4-1-4-1,Jaime Pacheco,2000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853799
17,dom 12/01/2003,17:00,Boavista,Nacional,4-2-3-1,Jaime Pacheco,4000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853814
18,dom 19/01/2003,16:00,Boavista,Vitória FC,4-2-3-1,Jaime Pacheco,4000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853827
19,sáb 25/01/2003,16:00,FC Porto,Boavista,4-3-3 ofensivo,Jaime Pacheco,40000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853833
20,sáb 01/02/2003,17:00,Boavista,Académica,4-3-3 ofensivo,Jaime Pacheco,4000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853840
21,sex 07/02/2003,19:00,Santa Clara,Boavista,4-2-3-1,Jaime Pacheco,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853849
22,sáb 15/02/2003,16:15,Boavista,Paços Ferreira,4-2-3-1,Jaime Pacheco,5000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853858
23,dom 23/02/2003,18:00,Varzim,Boavista,?,Jaime Pacheco,1000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853873
24,seg 03/03/2003,17:30,Boavista,Braga,?,Jaime Pacheco,,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853883
25,dom 16/03/2003,17:15,Sporting,Boavista,?,Jaime Pacheco,10000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853892
26,seg 24/03/2003,18:15,Boavista,Belenenses,?,Jaime Pacheco,,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853902
27,sáb 05/04/2003,14:15,Moreirense,Boavista,4-3-3 ofensivo,Jaime Pacheco,,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853903
28,sex 18/04/2003,17:00,Gil Vicente,Boavista,?,Jaime Pacheco,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853913
29,seg 28/04/2003,15:15,Boavista,Vit. Guimarães,?,Jaime Pacheco,,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2853928
