round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 30/08/2004,16:30,Académica,Braga,?,João Carlos Pereira,4000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28725
2,dom 05/09/2004,12:00,Vit. Guimarães,Académica,?,João Carlos Pereira,9000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28817
3,dom 19/09/2004,17:15,Académica,Benfica,?,João Carlos Pereira,20128,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28922
4,dom 26/09/2004,12:00,Nacional,Académica,4-1-3-2,João Carlos Pereira,2000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28975
5,dom 03/10/2004,12:00,Académica,Gil Vicente,?,João Carlos Pereira,5000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28983
6,seg 18/10/2004,16:30,Vitória FC,Académica,?,João Carlos Pereira,1500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28988
7,dom 24/10/2004,12:00,Académica,Marítimo,?,João Carlos Pereira,6340,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/29002
8,dom 31/10/2004,13:00,Rio Ave,Académica,?,João Carlos Pereira,4500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/29010
9,dom 07/11/2004,14:00,Académica,Leiria,?,João Carlos Pereira,9000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/29020
10,sex 12/11/2004,19:30,Estoril,Académica,?,João Carlos Pereira,1000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28729
11,seg 22/11/2004,18:30,Académica,Belenenses,?,João Carlos Pereira,7353,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28741
12,dom 28/11/2004,14:00,Penafiel,Académica,?,João Carlos Pereira,2500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28752
13,sáb 04/12/2004,19:15,Académica,Sporting,?,João Carlos Pereira,15373,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28759
14,sex 10/12/2004,19:30,Boavista,Académica,4-1-3-2,João Carlos Pereira,3000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28768
15,dom 19/12/2004,16:00,Académica,Beira-Mar,?,João Carlos Pereira,6851,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28778
16,dom 09/01/2005,14:00,Moreirense,Académica,?,Nelo Vingada,2500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28789
17,sáb 15/01/2005,19:15,Académica,FC Porto,?,Nelo Vingada,11785,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28797
18,sex 21/01/2005,19:30,Braga,Académica,?,Nelo Vingada,7363,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28799
19,sáb 29/01/2005,16:45,Académica,Vit. Guimarães,?,Nelo Vingada,6062,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28812
20,dom 06/02/2005,18:45,Benfica,Académica,?,Nelo Vingada,25000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28833
21,dom 13/02/2005,14:00,Académica,Nacional,?,Nelo Vingada,6869,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28839
22,sáb 19/02/2005,14:00,Gil Vicente,Académica,?,Nelo Vingada,3500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28847
23,dom 27/02/2005,13:00,Académica,Vitória FC,?,Nelo Vingada,9354,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28857
24,dom 06/03/2005,13:00,Marítimo,Académica,?,Nelo Vingada,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28863
25,dom 13/03/2005,13:00,Académica,Rio Ave,?,Nelo Vingada,8850,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28876
26,dom 20/03/2005,13:00,Leiria,Académica,?,Nelo Vingada,3973,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28886
27,dom 03/04/2005,12:00,Académica,Estoril,?,Nelo Vingada,9397,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28894
28,seg 11/04/2005,15:15,Belenenses,Académica,?,Nelo Vingada,1500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28902
29,dom 17/04/2005,12:00,Académica,Penafiel,?,Nelo Vingada,10092,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28912
30,sáb 23/04/2005,17:00,Sporting,Académica,?,Nelo Vingada,34450,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28933
31,sex 29/04/2005,17:30,Académica,Boavista,?,Nelo Vingada,12634,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28939
32,dom 08/05/2005,12:00,Beira-Mar,Académica,?,Nelo Vingada,6445,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28943
33,sáb 14/05/2005,12:00,Académica,Moreirense,?,Nelo Vingada,8764,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28959
34,dom 22/05/2005,15:45,FC Porto,Académica,4-3-1-2,Nelo Vingada,48000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/28968
