round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 21/08/2005,15:45,FC Porto,CF Estrela,,Toni Conceição,48217,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35316
2,seg 29/08/2005,16:30,CF Estrela,Boavista,,Toni Conceição,1800,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35327
3,dom 11/09/2005,13:00,CF Estrela,Naval 1º de Maio,,Toni Conceição,1100,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35339
4,dom 18/09/2005,12:00,Rio Ave,CF Estrela,,Toni Conceição,2000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36657
5,dom 25/09/2005,12:00,CF Estrela,Braga,,Toni Conceição,1500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36659
6,sex 30/09/2005,17:30,Belenenses,CF Estrela,,Toni Conceição,3000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36669
7,dom 16/10/2005,13:00,CF Estrela,Marítimo,,Toni Conceição,1000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36677
8,sáb 22/10/2005,18:00,Benfica,CF Estrela,,Toni Conceição,37645,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36688
9,dom 30/10/2005,15:00,CF Estrela,Nacional,,Toni Conceição,1500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36695
10,dom 06/11/2005,15:00,Vitória FC,CF Estrela,,Toni Conceição,3500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36711
11,dom 20/11/2005,15:00,CF Estrela,Paços Ferreira,,Toni Conceição,700,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36713
12,dom 27/11/2005,15:00,Académica,CF Estrela,,Toni Conceição,4405,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36722
13,dom 04/12/2005,15:00,CF Estrela,Gil Vicente,,Toni Conceição,1000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36731
14,sex 09/12/2005,20:30,Sporting,CF Estrela,,Toni Conceição,27041,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36748
15,sáb 17/12/2005,15:00,CF Estrela,Leiria,,Toni Conceição,1000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36749
16,qui 22/12/2005,20:00,Penafiel,CF Estrela,,Toni Conceição,300,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36764
17,dom 08/01/2006,15:00,CF Estrela,Vit. Guimarães,,Toni Conceição,2000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36767
18,dom 15/01/2006,19:45,CF Estrela,FC Porto,,Toni Conceição,5000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36776
19,sáb 21/01/2006,15:00,Boavista,CF Estrela,,Toni Conceição,3000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36786
20,dom 29/01/2006,14:00,Naval 1º de Maio,CF Estrela,,Toni Conceição,300,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36800
21,dom 05/02/2006,15:00,CF Estrela,Rio Ave,,Toni Conceição,1200,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36804
22,dom 12/02/2006,14:00,Braga,CF Estrela,,Toni Conceição,10075,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36815
23,dom 19/02/2006,14:00,CF Estrela,Belenenses,,Toni Conceição,1200,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36821
24,dom 26/02/2006,14:00,Marítimo,CF Estrela,,Toni Conceição,3000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36836
25,sáb 04/03/2006,19:30,CF Estrela,Benfica,,Toni Conceição,3000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36839
26,dom 12/03/2006,13:00,Nacional,CF Estrela,,Toni Conceição,1500,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36854
27,dom 19/03/2006,13:00,CF Estrela,Vitória FC,,Toni Conceição,1500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36857
28,dom 26/03/2006,11:00,Paços Ferreira,CF Estrela,,Toni Conceição,3500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36868
29,dom 02/04/2006,11:00,CF Estrela,Académica,,Toni Conceição,2400,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36875
30,dom 09/04/2006,11:00,Gil Vicente,CF Estrela,,Toni Conceição,8572,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36887
31,sáb 15/04/2006,15:15,CF Estrela,Sporting,,Toni Conceição,4600,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36893
32,dom 23/04/2006,12:00,Leiria,CF Estrela,,Toni Conceição,1100,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36906
33,dom 30/04/2006,14:30,CF Estrela,Penafiel,,Toni Conceição,1500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36911
34,dom 07/05/2006,14:30,Vit. Guimarães,CF Estrela,,Toni Conceição,15120,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36924
