round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 21/08/2005,12:00,Penafiel,Rio Ave,,Luís Castro,1500,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35313
2,dom 28/08/2005,12:00,Braga,Penafiel,,Luís Castro,9767,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35323
3,seg 12/09/2005,16:30,Penafiel,Belenenses,,Luís Castro,1500,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/35342
4,dom 18/09/2005,12:00,Marítimo,Penafiel,,Luís Castro,4000,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36654
5,sex 23/09/2005,17:30,Penafiel,Benfica,,Luís Castro,5000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36665
6,dom 02/10/2005,12:00,Nacional,Penafiel,,Luís Castro,2500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36674
7,dom 16/10/2005,13:00,Penafiel,Vitória FC,,Luís Castro,2000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36682
8,dom 23/10/2005,13:00,Paços Ferreira,Penafiel,,Luís Castro,3500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36690
9,dom 30/10/2005,15:00,Penafiel,Académica,,Luís Castro,2500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36701
10,dom 06/11/2005,15:00,Gil Vicente,Penafiel,,Luís Castro,1923,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36708
11,dom 20/11/2005,18:15,Penafiel,Sporting,,Luís Castro,3000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36719
12,dom 27/11/2005,15:00,Leiria,Penafiel,,Luís Castro,972,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36726
13,dom 04/12/2005,17:30,Boavista,Penafiel,,Luís Castro,3000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36733
14,dom 11/12/2005,15:00,Penafiel,Vit. Guimarães,,Luís Castro,3500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36746
15,sáb 17/12/2005,20:15,FC Porto,Penafiel,,Luís Castro,30108,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36756
16,qui 22/12/2005,20:00,Penafiel,CF Estrela,,Luís Castro,300,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36764
17,sáb 07/01/2006,16:00,Naval 1º de Maio,Penafiel,,Luís Castro,850,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36773
18,dom 15/01/2006,15:00,Rio Ave,Penafiel,,Luís Castro,1500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36783
19,qui 19/01/2006,20:00,Penafiel,Braga,,Luís Castro,2000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36791
20,dom 29/01/2006,14:00,Belenenses,Penafiel,,Luís Castro,700,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36794
21,dom 05/02/2006,15:00,Penafiel,Marítimo,,Luís Castro,1500,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36809
22,dom 12/02/2006,14:00,Benfica,Penafiel,,Luís Castro,37097,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36814
23,dom 19/02/2006,14:00,Penafiel,Nacional,,Luís Castro,1000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36827
24,dom 26/02/2006,14:00,Vitória FC,Penafiel,,Luís Castro,3000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36838
25,dom 05/03/2006,14:00,Penafiel,Paços Ferreira,,Luís Castro,1500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36844
26,dom 12/03/2006,13:00,Académica,Penafiel,,Luís Castro,6190,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36848
27,dom 19/03/2006,13:00,Penafiel,Gil Vicente,,Luís Castro,500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36863
28,dom 26/03/2006,11:00,Sporting,Penafiel,,Luís Castro,39209,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36874
29,dom 02/04/2006,11:00,Penafiel,Leiria,,Luís Castro,1000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36881
30,dom 09/04/2006,11:00,Penafiel,Boavista,,Luís Castro,1000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36890
31,sáb 15/04/2006,12:00,Vit. Guimarães,Penafiel,,Luís Castro,16233,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36897
32,sáb 22/04/2006,15:15,Penafiel,FC Porto,,Luís Castro,8000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36908
33,dom 30/04/2006,14:30,CF Estrela,Penafiel,,Luís Castro,1500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36911
34,dom 07/05/2006,14:30,Penafiel,Naval 1º de Maio,,Luís Castro,1500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/36926
