round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 27/08/2006,17:15,Marítimo,Nacional,,Carlos Brito,5000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59138
2,sáb 09/09/2006,15:00,Nacional,Sporting,,Carlos Brito,3000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59145
3,dom 17/09/2006,15:15,Benfica,Nacional,4-4-2 losango,Carlos Brito,36590,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59149
4,dom 24/09/2006,14:30,Nacional,Vitória FC,,Carlos Brito,2000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59161
5,dom 01/10/2006,12:00,Académica,Nacional,,Carlos Brito,5746,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59166
6,dom 15/10/2006,14:00,Nacional,Belenenses,,Carlos Brito,1500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/66198
7,sáb 21/10/2006,15:30,Boavista,Nacional,,Carlos Brito,4274,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59181
8,dom 29/10/2006,14:00,Nacional,Naval 1º de Maio,,Carlos Brito,2000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59193
9,dom 05/11/2006,15:00,Nacional,Paços Ferreira,,Carlos Brito,2000,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59199
10,dom 19/11/2006,14:00,CD Aves,Nacional,,Carlos Brito,2500,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59204
11,dom 26/11/2006,15:00,Nacional,Leiria,,Carlos Brito,2000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59216
12,dom 03/12/2006,15:00,CF Estrela,Nacional,,Carlos Brito,1000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59219
13,seg 11/12/2006,17:45,Nacional,FC Porto,4-3-3 ofensivo,Carlos Brito,2000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59232
14,dom 17/12/2006,14:00,Beira-Mar,Nacional,4-3-3 ofensivo,Carlos Brito,1982,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59236
15,dom 14/01/2007,15:00,Nacional,Braga,,Carlos Brito,1800,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59249
16,dom 28/01/2007,15:00,Nacional,Marítimo,,Carlos Brito,2000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59258
17,dom 04/02/2007,15:00,Sporting,Nacional,,Carlos Brito,2000,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59266
18,dom 18/02/2007,16:15,Nacional,Benfica,,Carlos Brito,3000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59273
19,dom 25/02/2007,14:00,Vitória FC,Nacional,,Carlos Brito,2664,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59281
20,dom 04/03/2007,14:00,Nacional,Académica,,Carlos Brito,1500,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59289
21,sáb 10/03/2007,14:00,Belenenses,Nacional,,Carlos Brito,1500,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/66213
22,sex 16/03/2007,14:00,Nacional,Boavista,,Carlos Brito,1000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59305
23,dom 01/04/2007,12:00,Naval 1º de Maio,Nacional,,Carlos Brito,1300,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59312
24,sáb 07/04/2007,12:00,Paços Ferreira,Nacional,,Carlos Brito,1500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59319
25,dom 15/04/2007,12:00,Nacional,CD Aves,,Carlos Brito,2000,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59327
26,dom 22/04/2007,12:00,Leiria,Nacional,,Predrag Jokanovic,300,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59335
27,dom 29/04/2007,12:00,Nacional,CF Estrela,,Predrag Jokanovic,1500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59344
28,sáb 05/05/2007,12:00,FC Porto,Nacional,,Predrag Jokanovic,39628,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59353
29,dom 13/05/2007,12:00,Nacional,Beira-Mar,,Predrag Jokanovic,1500,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59361
30,dom 20/05/2007,12:00,Braga,Nacional,,Predrag Jokanovic,12102,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/59366
