round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 19/08/2007,16:30,Leiria,Boavista,,Paulo Duarte,1346,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79166
2,dom 26/08/2007,12:00,Académica,Leiria,,Paulo Duarte,3455,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79172
3,dom 02/09/2007,16:30,Leiria,FC Porto,,Paulo Duarte,4419,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79182
4,dom 16/09/2007,16:15,Belenenses,Leiria,,Paulo Duarte,1500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79190
5,dom 23/09/2007,15:45,Leiria,CF Estrela,,Paulo Duarte,814,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79199
6,dom 30/09/2007,12:00,Vitória FC,Leiria,4-3-3 defensivo,Paulo Duarte,3000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79211
7,dom 07/10/2007,15:15,Leiria,Benfica,4-3-3 ofensivo,Paulo Duarte,8960,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79216
8,sex 26/10/2007,17:30,Vit. Guimarães,Leiria,4-3-3 ofensivo,Paulo Duarte,14951,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79223
9,dom 04/11/2007,14:00,Leiria,Nacional,4-4-2 duplo 6,Paulo Duarte,3077,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79231
10,dom 11/11/2007,14:00,Naval 1º de Maio,Leiria,4-3-3 defensivo,Vítor Oliveira,1041,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79242
11,sex 23/11/2007,18:30,Leiria,Braga,4-3-3 ofensivo,Vítor Oliveira,688,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79248
12,dom 02/12/2007,17:15,Sporting,Leiria,4-3-3 defensivo,Vítor Oliveira,24331,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79259
13,dom 16/12/2007,14:00,Leixões,Leiria,4-2-3-1,Vítor Oliveira,3110,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79265
14,dom 23/12/2007,14:00,Leiria,Marítimo,4-3-3 defensivo,Vítor Oliveira,1299,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79271
15,dom 06/01/2008,14:00,Paços Ferreira,Leiria,4-4-2 duplo 6,Vítor Oliveira,1500,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79280
16,dom 13/01/2008,14:00,Boavista,Leiria,4-3-3 defensivo,Vítor Oliveira,2850,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79288
17,dom 27/01/2008,14:00,Leiria,Académica,4-3-3 defensivo,Vítor Oliveira,1503,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79294
18,sáb 02/02/2008,17:15,FC Porto,Leiria,4-3-3 defensivo,Vítor Oliveira,32219,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79306
19,seg 18/02/2008,16:45,Leiria,Belenenses,4-2-3-1,Vítor Oliveira,666,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79310
20,sáb 23/02/2008,13:00,CF Estrela,Leiria,4-3-3 defensivo,Vítor Oliveira,300,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79317
21,sáb 01/03/2008,16:15,Leiria,Vitória FC,4-3-3 defensivo,Vítor Oliveira,725,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79327
22,dom 09/03/2008,15:00,Benfica,Leiria,4-3-3 ofensivo,Vítor Oliveira,29496,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79334
23,sex 14/03/2008,17:30,Leiria,Vit. Guimarães,4-3-3 defensivo,Vítor Oliveira,1895,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79344
24,dom 30/03/2008,11:00,Nacional,Leiria,4-3-3 ofensivo,Vítor Oliveira,1135,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79353
25,dom 06/04/2008,11:00,Leiria,Naval 1º de Maio,4-3-3 ofensivo,Vítor Oliveira,972,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79359
26,seg 14/04/2008,14:45,Braga,Leiria,4-3-3 defensivo,Vítor Oliveira,15014,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79366
27,dom 20/04/2008,14:15,Leiria,Sporting,4-3-3 ofensivo,Vítor Oliveira,4735,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79376
28,dom 27/04/2008,12:00,Leiria,Leixões,4-3-3 ofensivo,Vítor Oliveira,1498,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79383
29,dom 04/05/2008,14:15,Marítimo,Leiria,4-3-3 defensivo,Vítor Oliveira,7025,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79393
30,dom 11/05/2008,13:00,Leiria,Paços Ferreira,4-3-3 defensivo,Vítor Oliveira,1200,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/79399
