position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Porto,30,23,6,1,69:19,50,75,https://www.transfermarkt.com.br/fc-porto/spielplan/verein/720/saison_id/2011
2,SL Benfica,30,21,6,3,66:27,39,69,https://www.transfermarkt.com.br/benfica-lissabon/spielplan/verein/294/saison_id/2011
3,SC Braga,30,19,5,6,59:29,30,62,https://www.transfermarkt.com.br/sc-braga/spielplan/verein/1075/saison_id/2011
4,Sporting CP,30,18,5,7,47:26,21,59,https://www.transfermarkt.com.br/sporting-lissabon/spielplan/verein/336/saison_id/2011
5,Club Sport Marítimo,30,14,8,8,41:38,3,50,https://www.transfermarkt.com.br/cs-maritimo/spielplan/verein/1301/saison_id/2011
6,Vitória Sport Clube,30,14,3,13,40:40,0,45,https://www.transfermarkt.com.br/vitoria-guimaraes-sc/spielplan/verein/2420/saison_id/2011
7,CD Nacional,30,13,5,12,48:50,-2,44,https://www.transfermarkt.com.br/cd-nacional/spielplan/verein/982/saison_id/2011
8,Sporting Clube Olhanense,30,9,12,9,36:38,-2,39,https://www.transfermarkt.com.br/sc-olhanense/spielplan/verein/4750/saison_id/2011
9,Gil Vicente Futebol Clube,30,8,10,12,31:42,-11,34,https://www.transfermarkt.com.br/gil-vicente-fc/spielplan/verein/2424/saison_id/2011
10,FC Paços de Ferreira,30,8,7,15,35:53,-18,31,https://www.transfermarkt.com.br/fc-pacos-de-ferreira/spielplan/verein/2995/saison_id/2011
11,Vitória Futebol Clube,30,8,6,16,24:49,-25,30,https://www.transfermarkt.com.br/vitoria-setubal-fc/spielplan/verein/1085/saison_id/2011
12,Académica de Coimbra,30,7,8,15,27:38,-11,29,https://www.transfermarkt.com.br/academica-coimbra/spielplan/verein/2990/saison_id/2011
13,SC Beira-Mar,30,8,5,17,26:38,-12,29,https://www.transfermarkt.com.br/sc-beira-mar/spielplan/verein/1436/saison_id/2011
14,Rio Ave Futebol Clube,30,7,7,16,33:42,-9,28,https://www.transfermarkt.com.br/rio-ave-fc/spielplan/verein/2425/saison_id/2011
15,CD Feirense,30,5,9,16,27:49,-22,24,https://www.transfermarkt.com.br/cd-feirense/spielplan/verein/3349/saison_id/2011
16,UD Leiria,30,5,4,21,25:56,-31,19,https://www.transfermarkt.com.br/uniao-leiria/spielplan/verein/2639/saison_id/2011
