round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 17/08/2014,15:15,Benfica,Paços Ferreira,4-1-3-2,Jorge Jesus,42536,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2464772
2,dom 24/08/2014,15:30,Boavista,Benfica,4-1-3-2,Jorge Jesus,10702,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2464780
3,dom 31/08/2014,15:00,Benfica,Sporting,4-1-3-2,Jorge Jesus,61895,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2464787
4,sex 12/09/2014,16:30,Vitória FC,Benfica,4-1-3-2,Jorge Jesus,10654,0:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2464800
5,dom 21/09/2014,13:00,Benfica,Moreirense,4-1-3-2,Jorge Jesus,37126,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2466842
6,sáb 27/09/2014,14:30,Estoril,Benfica,4-1-3-2,Jorge Jesus,7587,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2466853
7,dom 05/10/2014,14:00,Benfica,Arouca,4-1-3-2,Jorge Jesus,41665,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2466864
8,dom 26/10/2014,18:15,Braga,Benfica,4-1-3-2,Jorge Jesus,21078,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2466871
9,sex 31/10/2014,17:45,Benfica,Rio Ave,4-1-3-2,Jorge Jesus,36599,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469516
10,dom 09/11/2014,14:00,Nacional,Benfica,4-1-3-2,Jorge Jesus,5239,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469529
11,dom 30/11/2014,16:00,Académica,Benfica,4-1-3-2,Jorge Jesus,12582,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469532
12,sáb 06/12/2014,15:00,Benfica,Belenenses,4-1-3-2,Jorge Jesus,46611,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2469546
13,dom 14/12/2014,18:00,FC Porto,Benfica,4-4-2 losango,Jorge Jesus,48109,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2480121
14,dom 21/12/2014,15:00,Benfica,Gil Vicente,4-1-3-2,Jorge Jesus,40219,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2480135
15,dom 04/01/2015,17:15,Penafiel,Benfica,4-1-3-2,Jorge Jesus,4079,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2480147
16,sáb 10/01/2015,15:00,Benfica,Vit. Guimarães,4-1-3-2,Jorge Jesus,44065,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2480163
17,dom 18/01/2015,16:00,Marítimo,Benfica,4-1-3-2,Jorge Jesus,7097,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2480181
18,seg 26/01/2015,18:00,Paços Ferreira,Benfica,4-1-3-2,Jorge Jesus,6404,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490873
19,sáb 31/01/2015,15:00,Benfica,Boavista,4-1-3-2,Jorge Jesus,40346,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490883
20,dom 08/02/2015,18:00,Sporting,Benfica,4-4-2 duplo 6,Jorge Jesus,49076,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490889
21,dom 15/02/2015,15:00,Benfica,Vitória FC,4-1-3-2,Jorge Jesus,40564,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498710
22,sáb 21/02/2015,17:00,Moreirense,Benfica,4-1-3-2,Jorge Jesus,5793,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2498721
23,sáb 28/02/2015,14:00,Benfica,Estoril,4-1-3-2,Jorge Jesus,46712,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2512197
24,dom 08/03/2015,13:00,Arouca,Benfica,4-1-3-2,Jorge Jesus,6960,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2512207
25,sáb 14/03/2015,14:00,Benfica,Braga,4-1-3-2,Jorge Jesus,60222,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2512215
