round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 06/08/2021,16:15,Sporting,Vizela,4-1-4-1,Álvaro Pacheco,9066,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621347
2,sáb 14/08/2021,11:30,Vizela,CD Tondela,4-1-4-1,Álvaro Pacheco,613,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621364
3,dom 22/08/2021,16:30,Vit. Guimarães,Vizela,4-3-3 defensivo,Álvaro Pacheco,8935,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621367
4,sáb 28/08/2021,11:30,Vizela,Boavista,4-2-3-1,Álvaro Pacheco,1243,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621382
5,dom 12/09/2021,14:00,Gil Vicente,Vizela,4-1-4-1,Álvaro Pacheco,2104,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621388
6,dom 19/09/2021,11:30,Vizela,Paços Ferreira,4-2-3-1,Álvaro Pacheco,2957,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621408
7,dom 26/09/2021,16:30,Portimonense,Vizela,4-2-3-1,Álvaro Pacheco,1627,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621400
8,sáb 02/10/2021,11:30,Vizela,Santa Clara,4-2-3-1,Álvaro Pacheco,2855,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621426
9,dom 24/10/2021,14:00,Vizela,Benfica,4-3-3 ofensivo,Álvaro Pacheco,4883,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621436
10,dom 31/10/2021,17:30,Famalicão,Vizela,4-2-3-1,Álvaro Pacheco,1773,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621414
11,sáb 06/11/2021,12:30,Vizela,Estoril,4-2-3-1,Álvaro Pacheco,2095,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621481
12,ter 30/11/2021,17:15,Braga,Vizela,4-2-3-1,Álvaro Pacheco,5681,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621439
13,dom 02/01/2022,15:30,Vizela,B SAD,4-3-3 ofensivo,Álvaro Pacheco,1310,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621490
14,seg 13/12/2021,17:15,Arouca,Vizela,4-3-3 ofensivo,Álvaro Pacheco,723,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621463
15,dom 19/12/2021,16:00,Vizela,FC Porto,4-2-3-1,Álvaro Pacheco,4970,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621499
16,ter 28/12/2021,16:00,Marítimo,Vizela,4-3-3 ofensivo,Álvaro Pacheco,2468,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621471
17,sáb 08/01/2022,12:30,Vizela,Moreirense,4-3-3 ofensivo,Álvaro Pacheco,2009,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621454
18,dom 16/01/2022,15:00,Vizela,Sporting,4-3-3 ofensivo,Álvaro Pacheco,3800,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621500
19,sáb 22/01/2022,15:00,CD Tondela,Vizela,4-4-2 duplo 6,Álvaro Pacheco,829,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621649
20,dom 30/01/2022,12:30,Vizela,Vit. Guimarães,4-2-3-1,Álvaro Pacheco,4108,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621511
21,dom 06/02/2022,12:30,Boavista,Vizela,4-1-4-1,Álvaro Pacheco,4332,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621535
22,dom 13/02/2022,17:30,Vizela,Gil Vicente,4-3-3 ofensivo,Álvaro Pacheco,2020,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621523
23,sáb 19/02/2022,15:00,Paços Ferreira,Vizela,4-3-3 ofensivo,Álvaro Pacheco,3605,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621552
24,dom 27/02/2022,12:30,Vizela,Portimonense,4-2-3-1,Álvaro Pacheco,3895,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621643
25,dom 06/03/2022,17:30,Santa Clara,Vizela,4-2-3-1,Álvaro Pacheco,1006,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621641
26,sex 11/03/2022,17:15,Benfica,Vizela,4-2-3-1,Álvaro Pacheco,31546,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621631
