round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,seg 08/08/2022,16:15,Gil Vicente,Paços Ferreira,4-3-3 ofensivo,Ivo Vieira,4871,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869047
2,seg 15/08/2022,14:00,Arouca,Gil Vicente,4-3-3 ofensivo,Ivo Vieira,1759,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869061
3,seg 22/08/2022,16:15,Gil Vicente,Famalicão,4-3-3 ofensivo,Ivo Vieira,4245,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869063
4,seg 29/08/2022,17:15,Vizela,Gil Vicente,4-3-3 ofensivo,Ivo Vieira,2824,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869108
5,sáb 03/09/2022,16:30,Gil Vicente,FC Porto,4-2-3-1,Ivo Vieira,8458,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869071
6,dom 11/09/2022,14:00,Marítimo,Gil Vicente,4-3-3 ofensivo,Ivo Vieira,5032,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869081
7,sáb 17/09/2022,11:30,Gil Vicente,Rio Ave,4-1-4-1,Ivo Vieira,2856,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869090
8,sex 30/09/2022,15:00,Sporting,Gil Vicente,3-4-3 plano,Ivo Vieira,27829,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869117
9,sex 07/10/2022,16:15,Gil Vicente,Estoril,4-1-4-1,Ivo Vieira,2516,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869098
10,dom 23/10/2022,14:00,Chaves,Gil Vicente,4-3-3 ofensivo,Ivo Vieira,2794,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869133
11,dom 30/10/2022,17:30,Gil Vicente,Braga,4-3-3 ofensivo,Ivo Vieira,5627,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869345
12,sex 04/11/2022,17:15,Gil Vicente,Portimonense,4-3-3 ofensivo,Carlos Cunha,2235,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869195
13,dom 13/11/2022,15:00,Benfica,Gil Vicente,4-3-3 ofensivo,Carlos Cunha,57266,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869140
14,qui 29/12/2022,14:00,Gil Vicente,Santa Clara,4-2-3-1,Daniel Sousa,2839,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869151
15,dom 08/01/2023,17:30,Boavista,Gil Vicente,4-2-3-1,Daniel Sousa,3845,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869159
16,seg 16/01/2023,18:15,Gil Vicente,Vit. Guimarães,4-2-3-1,Daniel Sousa,3088,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869245
17,dom 22/01/2023,15:00,Casa Pia,Gil Vicente,4-2-3-1,Daniel Sousa,772,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869186
18,ter 31/01/2023,16:00,Paços Ferreira,Gil Vicente,4-2-3-1,Daniel Sousa,2901,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869162
19,dom 05/02/2023,17:30,Gil Vicente,Arouca,4-2-3-1,Daniel Sousa,2725,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869179
20,dom 12/02/2023,12:30,Famalicão,Gil Vicente,4-2-3-1,Daniel Sousa,4483,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869208
21,sex 17/02/2023,17:15,Gil Vicente,Vizela,4-2-3-1,Daniel Sousa,3212,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869217
22,dom 26/02/2023,17:30,FC Porto,Gil Vicente,4-3-3 ofensivo,Daniel Sousa,35509,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869261
23,dom 05/03/2023,12:30,Gil Vicente,Marítimo,4-2-3-1,Daniel Sousa,5243,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869271
24,dom 12/03/2023,12:30,Rio Ave,Gil Vicente,4-2-3-1,Daniel Sousa,3036,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869334
25,qua 05/04/2023,16:15,Gil Vicente,Sporting,4-2-3-1,Daniel Sousa,8076,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869199
26,sex 31/03/2023,16:15,Estoril,Gil Vicente,4-2-3-1,Daniel Sousa,1612,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869279
27,seg 10/04/2023,16:15,Gil Vicente,Chaves,4-2-3-1,Daniel Sousa,3761,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869296
28,dom 16/04/2023,14:00,Braga,Gil Vicente,4-2-3-1,Daniel Sousa,18197,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869237
29,dom 23/04/2023,11:30,Portimonense,Gil Vicente,4-2-3-1,Daniel Sousa,1278,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869231
30,sáb 29/04/2023,16:30,Gil Vicente,Benfica,4-2-3-1,Daniel Sousa,11694,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869302
31,sáb 06/05/2023,11:30,Santa Clara,Gil Vicente,4-2-3-1,Daniel Sousa,579,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869310
32,sex 12/05/2023,16:15,Gil Vicente,Boavista,4-2-3-1,Daniel Sousa,3265,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869330
