round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 06/08/2022,11:30,Rio Ave,Vizela,3-1-4-2,Luís Freire,3038,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869044
2,sáb 13/08/2022,16:30,Sporting,Rio Ave,3-1-4-2,Luís Freire,31760,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869055
3,sex 19/08/2022,16:15,Estoril,Rio Ave,3-4-3 plano,Luís Freire,1742,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869069
4,dom 28/08/2022,16:30,Rio Ave,FC Porto,3-4-3 plano,Luís Freire,3980,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869109
5,seg 05/09/2022,17:15,Chaves,Rio Ave,3-4-3 plano,Luís Freire,2987,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869075
6,dom 11/09/2022,16:30,Rio Ave,Braga,3-4-3 plano,Luís Freire,3071,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869086
7,sáb 17/09/2022,11:30,Gil Vicente,Rio Ave,3-4-3 plano,Luís Freire,2856,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869090
8,dom 02/10/2022,11:30,Rio Ave,Santa Clara,3-4-3 plano,Luís Freire,1984,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869119
9,sáb 08/10/2022,14:00,Benfica,Rio Ave,3-5-2,Luís Freire,56176,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869103
10,seg 24/10/2022,16:15,Rio Ave,Portimonense,3-5-2,Luís Freire,1693,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869127
11,dom 30/10/2022,15:00,Casa Pia,Rio Ave,3-4-3 plano,Luís Freire,1859,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869346
12,dom 06/11/2022,12:30,Rio Ave,Boavista,3-5-2,Luís Freire,2546,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869192
13,sáb 12/11/2022,15:00,Arouca,Rio Ave,3-1-4-2,Luís Freire,1210,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869143
14,sex 23/12/2022,17:15,Rio Ave,Marítimo,3-4-3 plano,Luís Freire,1492,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869147
15,sáb 07/01/2023,15:00,Vit. Guimarães,Rio Ave,3-4-3 plano,Luís Freire,9200,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869153
16,sáb 14/01/2023,15:00,Rio Ave,Paços Ferreira,3-4-2-1,Luís Freire,2310,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869244
17,dom 22/01/2023,17:30,Famalicão,Rio Ave,3-1-4-2,Luís Freire,3660,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4006033
18,dom 29/01/2023,12:30,Vizela,Rio Ave,3-4-3 plano,Luís Freire,3519,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869163
19,seg 06/02/2023,18:15,Rio Ave,Sporting,3-4-1-2,Luís Freire,4125,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869173
20,seg 13/02/2023,16:00,Rio Ave,Estoril,3-4-3 plano,Luís Freire,2654,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869214
21,sáb 18/02/2023,17:30,FC Porto,Rio Ave,3-4-3 plano,Luís Freire,40629,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869218
22,dom 26/02/2023,12:30,Rio Ave,Chaves,3-4-3 plano,Luís Freire,3244,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869265
23,dom 05/03/2023,17:30,Braga,Rio Ave,3-4-3 plano,Luís Freire,9456,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869276
24,dom 12/03/2023,12:30,Rio Ave,Gil Vicente,3-4-3 plano,Luís Freire,3036,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869334
25,sex 17/03/2023,17:15,Santa Clara,Rio Ave,3-4-3 plano,Luís Freire,912,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869201
26,dom 02/04/2023,14:00,Rio Ave,Benfica,3-4-3 plano,Luís Freire,4134,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869284
27,sáb 08/04/2023,14:00,Portimonense,Rio Ave,3-5-2 plano,Luís Freire,1246,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869290
28,dom 16/04/2023,11:30,Rio Ave,Casa Pia,3-4-3 plano,Luís Freire,2752,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869238
29,sáb 22/04/2023,14:00,Boavista,Rio Ave,3-4-3 plano,Luís Freire,6260,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869228
30,sex 28/04/2023,16:15,Rio Ave,Arouca,3-4-3 plano,Luís Freire,2298,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869305
31,dom 07/05/2023,11:30,Marítimo,Rio Ave,3-4-3 plano,Luís Freire,8641,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869306
32,dom 14/05/2023,11:30,Rio Ave,Vit. Guimarães,3-4-3 plano,Luís Freire,4001,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869324
33,dom 21/05/2023,14:00,Paços Ferreira,Rio Ave,3-4-2-1,Luís Freire,2032,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869316
34,sex 26/05/2023,15:00,Rio Ave,Famalicão,3-4-3 plano,Luís Freire,3037,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3869259
