position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Moreirense Futebol Clube,42,21,16,5,65:25,40,79,https://www.transfermarkt.com.br/moreirense-fc/spielplan/verein/979/saison_id/2013
2,FC Porto B,42,23,8,11,59:42,17,77,https://www.transfermarkt.com.br/fc-porto-b/spielplan/verein/10331/saison_id/2013
3,Futebol Clube Penafiel,42,18,19,5,47:24,23,73,https://www.transfermarkt.com.br/fc-penafiel/spielplan/verein/3327/saison_id/2013
4,Clube Desportivo das Aves (- 2020),42,20,11,11,46:35,11,71,https://www.transfermarkt.com.br/desportivo-aves/spielplan/verein/3336/saison_id/2013
5,SL Benfica B,42,20,10,12,77:56,21,70,https://www.transfermarkt.com.br/benfica-lissabon-b/spielplan/verein/10330/saison_id/2013
6,Sporting CP B,42,20,10,12,61:50,11,70,https://www.transfermarkt.com.br/sporting-lissabon-b/spielplan/verein/10949/saison_id/2013
7,Portimonense SAD,42,19,10,13,58:48,10,67,https://www.transfermarkt.com.br/portimonense-sc/spielplan/verein/7378/saison_id/2013
8,GD Chaves,42,19,10,13,58:56,2,67,https://www.transfermarkt.com.br/gd-chaves/spielplan/verein/3325/saison_id/2013
9,Clube Desportivo Tondela,42,16,11,15,41:38,3,59,https://www.transfermarkt.com.br/cd-tondela/spielplan/verein/7179/saison_id/2013
10,SC Farense,42,15,12,15,45:44,1,57,https://www.transfermarkt.com.br/sc-farense/spielplan/verein/4294/saison_id/2013
11,Académico de Viseu FC,42,16,6,20,43:43,0,54,https://www.transfermarkt.com.br/academico-viseu-fc/spielplan/verein/7788/saison_id/2013
12,SC Beira-Mar,42,14,12,16,45:48,-3,54,https://www.transfermarkt.com.br/sc-beira-mar/spielplan/verein/1436/saison_id/2013
13,CF União da Madeira (-2021),42,14,10,18,50:46,4,52,https://www.transfermarkt.com.br/cf-uniao-madeira/spielplan/verein/976/saison_id/2013
14,CD Feirense,42,10,20,12,41:46,-5,50,https://www.transfermarkt.com.br/cd-feirense/spielplan/verein/3349/saison_id/2013
15,Clube Desportivo Santa Clara,42,13,9,20,38:46,-8,48,https://www.transfermarkt.com.br/cd-santa-clara/spielplan/verein/2423/saison_id/2013
16,SC Covilhã,42,13,9,20,34:50,-16,48,https://www.transfermarkt.com.br/sc-covilha/spielplan/verein/10140/saison_id/2013
17,Leixões SC,42,13,8,21,42:57,-15,47,https://www.transfermarkt.com.br/leixoes-sc/spielplan/verein/3345/saison_id/2013
18,UD Oliveirense,42,13,8,21,56:76,-20,47,https://www.transfermarkt.com.br/ud-oliveirense/spielplan/verein/8827/saison_id/2013
19,Clube Desportivo Trofense,42,11,14,17,36:61,-25,47,https://www.transfermarkt.com.br/cd-trofense/spielplan/verein/3348/saison_id/2013
20,SC Braga B,42,12,8,22,47:60,-13,44,https://www.transfermarkt.com.br/sc-braga-b/spielplan/verein/10789/saison_id/2013
21,CS Marítimo B,42,11,10,21,39:57,-18,43,https://www.transfermarkt.com.br/cs-maritimo-b/spielplan/verein/10787/saison_id/2013
22,Atlético Clube de Portugal,42,9,13,20,34:54,-20,40,https://www.transfermarkt.com.br/atletico-cp/spielplan/verein/5227/saison_id/2013
