round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 10/08/2013,13:00,Moreirense,Académico FC,?,Filipe Moreira,932,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343322
2,qui 15/08/2013,12:00,Académico FC,Braga B,?,Filipe Moreira,801,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343325
3,qua 21/08/2013,12:00,Marítimo B,Académico FC,?,Filipe Moreira,520,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343324
4,dom 25/08/2013,13:00,Académico FC,CD Tondela,?,Filipe Moreira,1572,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343323
5,dom 01/09/2013,12:00,Covilhã,Académico FC,?,Filipe Moreira,392,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343326
6,dom 15/09/2013,07:15,Farense,Académico FC,4-3-3 ofensivo,Filipe Moreira,910,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343344
7,dom 08/09/2013,13:00,Académico FC,Chaves,?,Filipe Moreira,1556,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343345
8,sáb 28/09/2013,11:00,CF União,Académico FC,?,Filipe Moreira,246,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343343
9,qua 02/10/2013,12:00,Académico FC,Feirense,?,Filipe Moreira,350,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343342
10,dom 06/10/2013,12:00,Benfica B,Académico FC,?,Filipe Moreira,585,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343340
11,qua 23/10/2013,12:00,Académico FC,UD Oliveirense,?,Filipe Moreira,482,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343341
12,seg 28/10/2013,14:00,Sporting B,Académico FC,?,Filipe Moreira,1075,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343331
13,sáb 02/11/2013,09:15,Académico FC,FC Porto B,?,Filipe Moreira,845,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343330
14,qua 06/11/2013,13:00,Beira-Mar,Académico FC,?,Filipe Moreira,880,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2343329
