round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 08/08/2015,13:00,Sporting B,Feirense,4-3-3 ofensivo,João de Deus,405,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2586590
2,sáb 15/08/2015,11:30,Mafra,Sporting B,4-3-3 ofensivo,João de Deus,771,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2607193
3,sáb 22/08/2015,13:00,Sporting B,Farense,4-3-3 ofensivo,João de Deus,230,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2609251
4,qua 26/08/2015,12:00,Covilhã,Sporting B,4-3-3 ofensivo,João de Deus,671,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611423
5,dom 30/08/2015,12:00,Sporting B,Portimonense,4-3-3 defensivo,João de Deus,257,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611446
6,sáb 12/09/2015,07:15,Oriental,Sporting B,4-3-3 ofensivo,João de Deus,572,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613781
7,qua 16/09/2015,12:00,Sporting B,Leixões,4-3-3 ofensivo,João de Deus,199,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613796
8,dom 20/09/2015,13:00,Freamunde,Sporting B,4-3-3 ofensivo,João de Deus,843,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613803
9,qua 30/09/2015,12:00,Sporting B,Olhanense,4-3-3 ofensivo,João de Deus,176,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613821
10,sáb 03/10/2015,13:00,Famalicão,Sporting B,4-3-3 ofensivo,João de Deus,3045,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614266
11,dom 18/10/2015,13:00,Sporting B,Atlético CP,4-3-3 ofensivo,João de Deus,285,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614282
12,dom 25/10/2015,14:00,Santa Clara,Sporting B,4-3-3 ofensivo,João de Deus,304,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614292
13,sáb 31/10/2015,13:00,Sporting B,Varzim,4-3-3 ofensivo,João de Deus,265,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614306
14,qua 04/11/2015,13:00,UD Oliveirense,Sporting B,4-3-3 ofensivo,João de Deus,398,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614350
