round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 08/08/2015,13:00,Vitória SC B,Santa Clara,4-3-3 defensivo,Vítor Campelos,1199,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2586594
2,sáb 15/08/2015,13:00,Oriental,Vitória SC B,4-3-3 ofensivo,Vítor Campelos,492,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2607202
3,sáb 22/08/2015,13:00,Vitória SC B,Freamunde,4-3-3 defensivo,Vítor Campelos,1604,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2609252
4,qua 26/08/2015,13:00,Famalicão,Vitória SC B,4-3-3 ofensivo,Vítor Campelos,3287,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611424
5,dom 30/08/2015,13:00,Vitória SC B,Olhanense,4-3-3 defensivo,Vítor Campelos,1184,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2611438
6,sáb 12/09/2015,12:00,Leixões,Vitória SC B,4-3-3 defensivo,Vítor Campelos,908,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613786
7,qua 16/09/2015,12:00,Vitória SC B,Atlético CP,4-3-3 defensivo,Vítor Campelos,856,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613799
8,dom 20/09/2015,13:00,Varzim,Vitória SC B,4-3-3 defensivo,Vítor Campelos,864,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613810
9,qua 30/09/2015,13:00,Vitória SC B,Penafiel,4-2-3-1,Vítor Campelos,899,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2613814
10,sáb 03/10/2015,12:00,Vitória SC B,Chaves,4-3-3 defensivo,Vítor Campelos,899,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614270
11,dom 18/10/2015,12:00,UD Oliveirense,Vitória SC B,4-4-2 duplo 6,Vítor Campelos,414,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614285
12,dom 25/10/2015,14:00,Vitória SC B,Gil Vicente,4-4-1-1,Vítor Campelos,x,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614297
13,sáb 31/10/2015,13:00,CD Aves,Vitória SC B,4-4-2 duplo 6,Vítor Campelos,526,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614299
14,qua 04/11/2015,13:00,Vitória SC B,Académico FC,4-4-1-1,Vítor Campelos,x,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614349
15,dom 08/11/2015,13:00,Farense,Vitória SC B,?,Vítor Campelos,829,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614389
16,qua 25/11/2015,13:00,Vitória SC B,Feirense,4-3-3 defensivo,Vítor Campelos,705,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614406
17,sáb 21/11/2015,13:00,Mafra,Vitória SC B,4-3-3 defensivo,Vítor Campelos,288,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614417
18,qua 02/12/2015,13:00,Vitória SC B,Portimonense,4-2-3-1,Vítor Campelos,681,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614423
19,dom 06/12/2015,13:00,Braga B,Vitória SC B,4-4-1-1,Vítor Campelos,345,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2614434
