round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 06/08/2016,12:00,Sporting B,Portimonense,4-3-3 ofensivo,Vítor Oliveira,195,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733479
2,dom 14/08/2016,13:00,Portimonense,Penafiel,4-3-3 ofensivo,Vítor Oliveira,1472,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733567
3,sáb 20/08/2016,12:00,Portimonense,CF União,4-3-3 ofensivo,Vítor Oliveira,1206,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733538
4,qua 24/08/2016,12:00,Académica,Portimonense,4-3-3 ofensivo,Vítor Oliveira,2311,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2750735
5,dom 28/08/2016,12:00,Portimonense,Covilhã,4-3-3 ofensivo,Vítor Oliveira,1110,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733489
6,dom 11/09/2016,12:00,Vitória SC B,Portimonense,4-3-3 ofensivo,Vítor Oliveira,2637,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733545
7,sáb 17/09/2016,12:00,Portimonense,Cova da Piedade,?,Vítor Oliveira,1182,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2758196
8,qua 21/09/2016,12:00,Fafe,Portimonense,?,Vítor Oliveira,751,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2758197
9,qua 28/09/2016,14:00,Portimonense,FC Porto B,4-3-3 ofensivo,Vítor Oliveira,1183,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733741
10,dom 02/10/2016,07:15,Famalicão,Portimonense,4-4-2,Vítor Oliveira,2320,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733737
11,qua 19/10/2016,13:00,Portimonense,Benfica B,?,Vítor Oliveira,2213,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733558
12,dom 23/10/2016,08:15,Varzim,Portimonense,?,Vítor Oliveira,904,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733739
13,dom 30/10/2016,14:00,Portimonense,Vizela,4-1-4-1,Vítor Oliveira,2185,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733497
14,dom 06/11/2016,09:15,Gil Vicente,Portimonense,?,Vítor Oliveira,783,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733595
15,dom 20/11/2016,13:00,Portimonense,Braga B,?,Vítor Oliveira,1370,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733605
16,dom 27/11/2016,09:15,CD Aves,Portimonense,?,Vítor Oliveira,800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733616
17,sáb 03/12/2016,09:15,Portimonense,Académico FC,?,Vítor Oliveira,696,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733608
18,dom 11/12/2016,09:15,Leixões,Portimonense,?,Vítor Oliveira,742,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733599
19,sáb 17/12/2016,09:15,Portimonense,Freamunde,?,Vítor Oliveira,1283,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733628
20,qua 21/12/2016,18:15,Olhanense,Portimonense,?,Vítor Oliveira,476,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733603
21,dom 08/01/2017,09:15,Portimonense,Santa Clara,?,Vítor Oliveira,1942,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733506
22,dom 15/01/2017,09:15,Portimonense,Sporting B,4-3-3 ofensivo,Vítor Oliveira,2674,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733683
23,sáb 21/01/2017,09:15,Penafiel,Portimonense,4-3-3 ofensivo,Vítor Oliveira,450,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2733809
