round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 11/08/2018,14:00,UD Oliveirense,Académica,4-4-2 duplo 6,Carlos Pinto,1037,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070433
2,sáb 18/08/2018,07:15,Académica,Paços Ferreira,4-4-2 duplo 6,Carlos Pinto,2576,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070441
3,dom 26/08/2018,13:00,Vitória SC B,Académica,4-4-2 duplo 6,Carlos Pinto,1945,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070450
4,sáb 01/09/2018,07:15,Académica,Benfica B,4-4-2 duplo 6,Carlos Pinto,2922,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070481
5,dom 23/09/2018,13:00,Farense,Académica,?,Carlos Pinto,1590,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070491
6,dom 07/10/2018,07:15,Académica,Estoril,4-3-3 ofensivo,Carlos Pinto,2662,2:7,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070507
7,seg 29/10/2018,17:15,Penafiel,Académica,?,João Alves,573,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070510
8,dom 04/11/2018,15:00,Académica,Académico FC,4-3-3 ofensivo,João Alves,2088,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070525
9,dom 11/11/2018,13:00,Braga B,Académica,?,João Alves,198,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070532
10,sáb 01/12/2018,13:00,Académica,Arouca,3-4-3 plano,João Alves,2428,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070543
11,sáb 08/12/2018,13:00,FC Porto B,Académica,4-3-3 ofensivo,João Alves,582,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070549
12,seg 17/12/2018,18:15,Académica,Famalicão,?,João Alves,3214,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070561
13,dom 23/12/2018,13:00,Mafra,Académica,?,João Alves,836,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070576
14,dom 30/12/2018,09:15,Académica,Leixões,?,João Alves,795,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070587
15,sex 04/01/2019,18:30,Académica,Cova da Piedade,?,João Alves,2788,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070595
16,dom 18/11/2018,12:30,Covilhã,Académica,?,João Alves,315,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070602
17,dom 13/01/2019,15:00,Académica,Varzim,4-3-3 ofensivo,João Alves,3246,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070613
18,dom 20/01/2019,15:00,Académica,UD Oliveirense,?,João Alves,3449,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070705
19,seg 28/01/2019,15:00,Paços Ferreira,Académica,?,João Alves,1110,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070769
20,sáb 02/02/2019,15:00,Académica,Vitória SC B,?,João Alves,2643,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070777
21,sáb 09/02/2019,15:00,Benfica B,Académica,4-3-3 ofensivo,João Alves,908,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070789
22,dom 17/02/2019,12:00,Académica,Farense,4-2-3-1,João Alves,3240,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070791
23,dom 24/02/2019,17:00,Estoril,Académica,?,João Alves,1683,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070807
24,sáb 02/03/2019,14:00,Académica,Penafiel,4-4-2 duplo 6,João Alves,2622,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070810
25,dom 10/03/2019,12:00,Académico FC,Académica,4-4-2 duplo 6,João Alves,1225,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070825
26,sáb 16/03/2019,08:00,Académica,Braga B,4-4-2 duplo 6,João Alves,2479,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070832
27,dom 31/03/2019,14:00,Arouca,Académica,4-4-2 duplo 6,João Alves,1370,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070841
28,sáb 06/04/2019,07:00,Académica,FC Porto B,4-4-2 duplo 6,João Alves,2283,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070849
29,sáb 13/04/2019,07:00,Famalicão,Académica,4-2-3-1,João Alves,4922,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070859
30,sáb 20/04/2019,14:00,Académica,Mafra,4-3-3 ofensivo,João Alves,2014,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070868
31,sáb 27/04/2019,07:00,Leixões,Académica,4-4-2 duplo 6,João Alves,826,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070877
32,sáb 04/05/2019,12:00,Cova da Piedade,Académica,4-4-1-1,João Alves,1290,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070887
33,dom 12/05/2019,12:00,Académica,Covilhã,4-2-3-1,João Alves,1546,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070893
34,dom 19/05/2019,11:00,Varzim,Académica,4-4-2 duplo 6,João Alves,5899,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070904
