round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 12/08/2018,13:00,Penafiel,Arouca,4-4-1-1,Armando Evangelista,769,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070430
2,dom 19/08/2018,13:00,Famalicão,Penafiel,4-4-1-1,Armando Evangelista,1714,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070444
3,sáb 25/08/2018,07:15,Penafiel,FC Porto B,4-4-1-1,Armando Evangelista,513,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070453
4,sáb 01/09/2018,13:00,Braga B,Penafiel,4-4-1-1,Armando Evangelista,316,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070480
5,sáb 22/09/2018,13:00,Penafiel,Cova da Piedade,4-4-1-1,Armando Evangelista,571,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070494
6,sáb 06/10/2018,12:00,Covilhã,Penafiel,4-4-1-1,Armando Evangelista,393,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070508
7,seg 29/10/2018,17:15,Penafiel,Académica,4-4-1-1,Armando Evangelista,573,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070510
8,sáb 03/11/2018,12:00,Mafra,Penafiel,4-4-1-1,Armando Evangelista,422,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070522
9,sáb 10/11/2018,09:00,Penafiel,Benfica B,4-4-1-1,Armando Evangelista,594,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070530
10,dom 02/12/2018,09:15,Paços Ferreira,Penafiel,4-4-1-1,Armando Evangelista,2074,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070536
11,dom 09/12/2018,09:15,Penafiel,Vitória SC B,4-4-1-1,Armando Evangelista,387,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070547
12,sáb 15/12/2018,13:00,Varzim,Penafiel,?,Armando Evangelista,606,3:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070557
13,dom 23/12/2018,09:15,Penafiel,Farense,?,Armando Evangelista,586,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070573
14,qua 02/01/2019,13:00,Estoril,Penafiel,?,Armando Evangelista,876,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070588
15,dom 06/01/2019,15:00,UD Oliveirense,Penafiel,?,Armando Evangelista,314,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070589
16,qua 09/01/2019,13:00,Penafiel,Académico FC,4-1-4-1,Armando Evangelista,311,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070606
17,sáb 12/01/2019,13:00,Leixões,Penafiel,4-4-1-1,Armando Evangelista,661,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070612
18,dom 20/01/2019,13:00,Arouca,Penafiel,4-4-1-1,Armando Evangelista,855,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070704
19,seg 28/01/2019,17:00,Penafiel,Famalicão,4-4-1-1,Armando Evangelista,873,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070772
20,dom 03/02/2019,13:00,FC Porto B,Penafiel,4-4-1-1,Armando Evangelista,367,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070781
21,sáb 09/02/2019,15:00,Penafiel,Braga B,4-4-2 duplo 6,Armando Evangelista,563,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070788
22,sáb 16/02/2019,13:00,Cova da Piedade,Penafiel,4-4-1-1,Armando Evangelista,1050,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070794
23,sáb 23/02/2019,14:00,Penafiel,Covilhã,4-4-1-1,Armando Evangelista,513,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070808
24,sáb 02/03/2019,14:00,Académica,Penafiel,4-4-1-1,Armando Evangelista,2622,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070810
25,dom 10/03/2019,14:00,Penafiel,Mafra,4-4-1-1,Armando Evangelista,548,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070822
26,sáb 16/03/2019,12:00,Benfica B,Penafiel,4-4-1-1,Armando Evangelista,549,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070828
27,sáb 30/03/2019,08:00,Penafiel,Paços Ferreira,4-2-3-1,Armando Evangelista,1468,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070839
28,seg 08/04/2019,14:00,Vitória SC B,Penafiel,4-2-3-1,Armando Evangelista,831,4:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070846
29,dom 14/04/2019,14:00,Penafiel,Varzim,4-2-3-1,Armando Evangelista,489,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070856
30,sex 19/04/2019,14:00,Farense,Penafiel,4-2-3-1,Armando Evangelista,3459,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070864
31,dom 28/04/2019,12:00,Penafiel,Estoril,4-2-3-1,Armando Evangelista,418,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070878
32,sáb 04/05/2019,14:00,Penafiel,UD Oliveirense,4-2-3-1,Armando Evangelista,312,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070881
33,sáb 11/05/2019,12:00,Académico FC,Penafiel,4-4-1-1,Armando Evangelista,1199,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070898
34,dom 19/05/2019,12:00,Penafiel,Leixões,4-4-2 duplo 6,Armando Evangelista,609,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3070906
