round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 07/08/2021,14:00,FC Porto B,Trofense,3-4-3 plano,Rui Duarte,393,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621659
2,sex 13/08/2021,14:00,Trofense,Estrela Amadora,3-4-3 plano,Rui Duarte,616,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621670
3,dom 22/08/2021,14:00,Benfica B,Trofense,3-4-3 plano,Rui Duarte,292,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621691
4,seg 30/08/2021,17:15,Trofense,Penafiel,3-4-3 plano,Rui Duarte,732,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621688
5,dom 12/09/2021,11:30,Trofense,Casa Pia,3-4-3 plano,Rui Duarte,525,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621678
6,sáb 18/09/2021,11:30,Mafra,Trofense,3-4-3 plano,Rui Duarte,359,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621704
7,seg 04/10/2021,16:15,Trofense,Nacional,3-4-3 plano,Rui Duarte,746,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621723
8,sáb 13/11/2021,08:00,Farense,Trofense,3-4-3 plano,Rui Duarte,2540,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621726
9,dom 24/10/2021,15:30,Trofense,Covilhã,3-4-3 plano,Rui Duarte,572,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621715
10,sex 29/10/2021,14:00,Chaves,Trofense,3-4-3 plano,Rui Duarte,977,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621783
11,sáb 06/11/2021,08:00,Trofense,Rio Ave,3-4-3 plano,Rui Duarte,868,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621742
12,dom 28/11/2021,12:30,Leixões,Trofense,3-4-3 plano,Francisco Chaló,2612,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621793
13,dom 05/12/2021,12:30,Trofense,Académico FC,3-4-3 plano,Francisco Chaló,512,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621760
14,dom 12/12/2021,16:30,Varzim,Trofense,3-4-3 plano,Francisco Chaló,1192,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621776
15,seg 20/12/2021,17:15,Trofense,Feirense,3-4-3 plano,Francisco Chaló,664,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621769
16,ter 28/12/2021,17:00,Académica,Trofense,?,Francisco Chaló,701,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621744
17,dom 09/01/2022,08:00,Trofense,Vilafranquense,3-4-3 plano,Francisco Chaló,260,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3621823
