round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 12/08/2023,10:00,Nacional,Marítimo,4-2-3-1,Tulipa,4293,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109789
2,sex 18/08/2023,14:00,Marítimo,AVS,4-2-3-1,Tulipa,7638,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109609
3,dom 27/08/2023,11:30,Benfica B,Marítimo,4-2-3-1,Tulipa,803,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109782
4,sáb 02/09/2023,14:00,Marítimo,Paços Ferreira,4-2-3-1,Tulipa,7161,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109803
5,sáb 16/09/2023,07:00,FC Porto B,Marítimo,4-2-3-1,Tulipa,450,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109717
6,sáb 30/09/2023,10:00,Marítimo,Mafra,4-2-3-1,Tulipa,6635,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109772
7,dom 08/10/2023,10:00,Belenenses,Marítimo,4-2-3-1,Tulipa,2142,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109805
8,sáb 28/10/2023,11:30,Marítimo,CD Tondela,4-2-3-1,Tulipa,7038,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109820
9,dom 05/11/2023,11:00,Leiria,Marítimo,4-4-2 duplo 6,Tulipa,7642,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109827
10,dom 12/11/2023,12:30,Leixões,Marítimo,4-2-3-1,Tulipa,2173,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109839
11,dom 19/11/2023,12:30,Marítimo,Torreense,4-2-3-1,Tulipa,8163,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109856
12,dom 03/12/2023,12:30,Santa Clara,Marítimo,4-2-3-1,Tulipa,3197,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4109874
