round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 11/08/2024,10:00,Torreense,Feirense,4-3-3 ofensivo,Vítor Martins,638,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397016
2,dom 18/08/2024,10:00,Feirense,Académico FC,4-3-3 ofensivo,Vítor Martins,1802,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4396975
3,sáb 24/08/2024,07:00,Felgueiras,Feirense,4-3-3 ofensivo,Vítor Martins,1790,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397003
4,dom 01/09/2024,10:00,Feirense,Benfica B,4-1-4-1,Vítor Martins,2675,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4396996
5,seg 16/09/2024,14:00,Feirense,Paços Ferreira,4-3-3 ofensivo,Vítor Martins,1519,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4396989
6,dom 29/09/2024,07:00,UD Oliveirense,Feirense,4-3-3 ofensivo,Vítor Martins,813,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4396980
7,dom 06/10/2024,07:00,Feirense,Vizela,4-3-3 ofensivo,Vítor Martins,1415,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4396965
8,dom 13/10/2024,16:30,Chaves,Feirense,4-3-3 ofensivo,Vítor Martins,932,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397026
9,sáb 26/10/2024,11:30,Feirense,Portimonense,4-3-3 ofensivo,Vítor Martins,1506,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397046
10,sex 01/11/2024,15:00,Alverca,Feirense,4-3-3 ofensivo,Vítor Martins,433,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397036
11,sáb 09/11/2024,15:00,Feirense,CD Tondela,4-3-3 ofensivo,Vítor Martins,2031,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397064
12,sáb 30/11/2024,11:00,Leiria,Feirense,4-2-3-1,Vítor Martins,2010,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397089
13,sáb 07/12/2024,08:00,Feirense,Penafiel,4-3-3 ofensivo,Vítor Martins,1540,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397109
14,dom 15/12/2024,12:30,FC Porto B,Feirense,4-3-3 ofensivo,Vítor Martins,488,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397066
15,sáb 23/11/2024,12:30,Feirense,Marítimo,4-3-3 ofensivo,Vítor Martins,1702,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4397055
