round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 20/07/1990,19:00,Marselha,Nice,?,Jean Fernandez,34693,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014198
2,sex 27/07/1990,19:00,Nice,Toulouse,?,Jean Fernandez,9707,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014214
3,sex 03/08/1990,19:00,Saint-Étienne,Nice,?,Jean Fernandez,10315,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014224
4,qui 09/08/1990,19:00,Nice,Cannes,?,Jean Fernandez,13000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014227
5,sex 17/08/1990,19:00,Brest Armorique,Nice,?,Jean Fernandez,7921,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014237
6,sáb 25/08/1990,15:30,Nice,PSG,?,Jean-Noël Huck,13000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014252
7,ter 28/08/1990,19:00,Rennes,Nice,?,Jean Fernandez,12790,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014264
8,sex 07/09/1990,19:00,Nice,FC Sochaux,?,Jean Fernandez,8000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014274
9,sex 14/09/1990,15:30,Nice,Monaco,?,Jean Fernandez,12468,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014276
10,sex 21/09/1990,19:00,Nice,SC Toulon Var,?,Jean Fernandez,7278,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014378
11,sex 28/09/1990,19:00,Montpellier,Nice,?,Jean Fernandez,9106,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014382
12,sex 05/10/1990,20:00,Nice,Auxerre,?,Jean Fernandez,6713,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014393
13,sex 19/10/1990,20:00,AS Nancy,Nice,?,Jean Fernandez,7091,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014407
14,sex 26/10/1990,21:00,Lyon,Nice,?,Jean Fernandez,18653,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014414
15,sex 02/11/1990,21:00,Nice,FC Metz,?,Jean Fernandez,5000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014425
16,sex 09/11/1990,21:00,Lille,Nice,?,Jean Fernandez,6007,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014434
17,sex 23/11/1990,21:00,Nice,SM Caen,?,Jean Fernandez,5146,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014444
18,dom 02/12/1990,12:00,Nantes,Nice,?,Jean Fernandez,5500,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014454
19,qui 06/12/1990,21:00,Nice,Bordeaux,?,Jean Fernandez,4092,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014481
20,sáb 15/12/1990,21:00,Toulouse,Nice,?,Jean Fernandez,5165,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014497
21,sáb 22/12/1990,21:00,Nice,Saint-Étienne,?,Jean Fernandez,6625,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014507
22,sáb 12/01/1991,21:00,Cannes,Nice,?,Jean-Noël Huck,8000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014515
23,sáb 19/01/1991,21:00,Nice,Brest Armorique,?,Jean-Noël Huck,3764,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014528
24,dom 27/01/1991,12:00,PSG,Nice,?,Jean-Noël Huck,6000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014538
25,sáb 02/02/1991,21:00,Nice,Rennes,?,Jean-Noël Huck,4966,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014547
26,seg 04/03/1991,20:00,FC Sochaux,Nice,?,Jean-Noël Huck,3000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014558
27,qua 13/02/1991,17:30,Monaco,Nice,?,Jean-Noël Huck,5000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014561
28,sáb 23/02/1991,20:00,SC Toulon Var,Nice,?,Jean-Noël Huck,7000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014606
29,qui 28/02/1991,20:00,Nice,Montpellier,?,Jean-Noël Huck,4934,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014608
30,qui 14/03/1991,20:00,Auxerre,Nice,?,Jean-Noël Huck,7500,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014620
31,qui 21/03/1991,20:00,Nice,AS Nancy,?,Jean-Noël Huck,3821,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014627
32,sex 05/04/1991,19:00,Nice,Lyon,?,Jean-Noël Huck,5279,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014641
33,sex 12/04/1991,19:00,FC Metz,Nice,?,Jean-Noël Huck,8088,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014689
34,sex 19/04/1991,19:00,Nice,Lille,?,Jean-Noël Huck,3357,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014699
35,sex 03/05/1991,19:00,SM Caen,Nice,?,Jean-Noël Huck,7167,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014711
36,sex 10/05/1991,15:30,Nice,Nantes,?,Jean-Noël Huck,4411,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014721
37,qui 16/05/1991,19:00,Bordeaux,Nice,?,Jean-Noël Huck,12000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014729
38,ter 21/05/1991,19:00,Nice,Marselha,?,Jean-Noël Huck,14553,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1014734
