round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qui 22/07/1993,19:00,Nantes,Monaco,?,Arsène Wenger,12751,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012059
2,sáb 31/07/1993,15:00,Monaco,Toulouse,?,Arsène Wenger,5000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012075
3,sáb 07/08/1993,15:00,Saint-Étienne,Monaco,?,Arsène Wenger,21482,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012088
4,ter 10/08/1993,15:30,Monaco,Bordeaux,?,Arsène Wenger,14000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012089
5,sáb 14/08/1993,15:00,Montpellier,Monaco,?,Arsène Wenger,12412,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012102
6,qui 26/08/1993,19:00,Monaco,Marselha,?,Arsène Wenger,20000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012109
7,qua 01/09/1993,15:00,Strasbourg,Monaco,?,Arsène Wenger,29145,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012123
8,sáb 11/09/1993,15:00,Monaco,Lille,?,Arsène Wenger,4000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012132
9,sáb 18/09/1993,15:00,FC Sochaux,Monaco,?,Arsène Wenger,7100,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012142
10,sex 24/09/1993,15:00,Monaco,Angers,?,Arsène Wenger,3000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012152
11,dom 03/10/1993,16:00,SM Caen,Monaco,?,Arsène Wenger,17594,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012168
12,qua 06/10/1993,16:00,Monaco,Lyon,?,Arsène Wenger,3000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012173
13,sáb 16/10/1993,16:00,Auxerre,Monaco,?,Arsène Wenger,10000,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012182
14,sáb 23/10/1993,17:00,Monaco,FC Martigues,?,Arsène Wenger,3000,7:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012250
15,sex 29/10/1993,17:00,Lens,Monaco,?,Arsène Wenger,23643,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012261
16,sáb 06/11/1993,17:00,Monaco,PSG,?,Arsène Wenger,10000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012267
17,qua 10/11/1993,17:00,Cannes,Monaco,?,Arsène Wenger,10000,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012280
18,sáb 20/11/1993,17:00,Monaco,Le Havre,?,Arsène Wenger,1500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012289
19,sáb 27/11/1993,17:00,FC Metz,Monaco,?,Arsène Wenger,7886,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012300
20,sex 03/12/1993,17:00,Toulouse,Monaco,?,Arsène Wenger,7589,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012312
