round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,qui 28/07/1994,19:00,Lens,Lille,?,Patrice Bergues,26639,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011657
2,ter 02/08/1994,15:00,PSG,Lens,?,Patrice Bergues,27300,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011669
3,sex 05/08/1994,15:00,Lens,Rennes,5-3-2,Patrice Bergues,17174,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011678
4,sex 12/08/1994,19:00,Montpellier,Lens,?,Patrice Bergues,11636,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011688
5,sex 19/08/1994,19:00,Lens,FC Martigues,?,Patrice Bergues,24871,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011694
6,sex 26/08/1994,19:00,Nice,Lens,4-3-1-2,Patrice Bergues,8245,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011707
7,ter 30/08/1994,19:00,Lens,Saint-Étienne,4-4-2 losango,Patrice Bergues,38279,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011716
8,sex 09/09/1994,19:00,Bordeaux,Lens,4-4-2 losango,Patrice Bergues,15000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011727
9,sex 16/09/1994,19:00,Lens,Le Havre,4-4-2 losango,Patrice Bergues,22363,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011734
10,qui 22/09/1994,19:00,Lens,Cannes,4-4-2 losango,Patrice Bergues,23899,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011746
11,sex 30/09/1994,20:00,FC Sochaux,Lens,4-4-2 losango,Patrice Bergues,3278,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011759
12,seg 10/10/1994,16:30,Lens,Strasbourg,?,Patrice Bergues,23000,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011763
13,qui 13/10/1994,20:00,Nantes,Lens,?,Patrice Bergues,18000,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011773
14,sex 21/10/1994,21:00,Lens,Lyon,?,Patrice Bergues,23271,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011784
15,sex 28/10/1994,21:00,SC Bastia,Lens,4-4-2 losango,Patrice Bergues,7000,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011796
16,sex 04/11/1994,21:00,Lens,Monaco,?,Patrice Bergues,32628,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011805
17,ter 08/11/1994,21:00,FC Metz,Lens,?,Patrice Bergues,8936,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011816
18,sex 18/11/1994,21:00,Lens,Auxerre,?,Patrice Bergues,27282,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011827
19,sex 25/11/1994,21:00,SM Caen,Lens,4-3-1-2,Patrice Bergues,19645,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011837
20,sex 02/12/1994,17:00,Lens,PSG,?,Patrice Bergues,30297,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011845
21,sáb 17/12/1994,17:00,Rennes,Lens,?,Patrice Bergues,10597,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011858
22,sex 06/01/1995,21:00,Lens,Montpellier,?,Patrice Bergues,19970,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011867
23,qui 19/01/1995,21:00,FC Martigues,Lens,?,Patrice Bergues,3000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011874
24,sex 27/01/1995,21:00,Lens,Nice,4-4-2 losango,Patrice Bergues,15198,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011885
25,ter 07/02/1995,21:00,Saint-Étienne,Lens,?,Patrice Bergues,9000,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1011898
