round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 10/08/1996,15:00,Guingamp,Montpellier,?,Michel Mézy,10012,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010778
2,qui 15/08/1996,15:00,Monaco,Montpellier,?,Michel Mézy,10000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010779
3,sáb 24/08/1996,15:00,Montpellier,Cannes,?,Michel Mézy,13090,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010793
4,seg 26/08/1996,15:00,Lens,Montpellier,?,Michel Mézy,28028,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010799
5,ter 03/09/1996,15:00,Montpellier,PSG,?,Michel Mézy,14030,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010810
6,sex 06/09/1996,15:00,Lyon,Montpellier,?,Michel Mézy,23570,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010825
7,sáb 14/09/1996,15:00,Montpellier,Le Havre,?,Michel Mézy,6348,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010836
8,sex 20/09/1996,15:00,FC Metz,Montpellier,?,Michel Mézy,11349,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010844
9,sáb 28/09/1996,15:00,Montpellier,Auxerre,?,Michel Mézy,8362,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010853
10,qua 02/10/1996,15:00,Rennes,Montpellier,?,Michel Mézy,7752,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010883
11,sáb 05/10/1996,15:00,Montpellier,SC Bastia,?,Michel Mézy,9122,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010889
12,sex 11/10/1996,16:00,Nice,Montpellier,?,Michel Mézy,3665,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010905
13,sáb 19/10/1996,16:00,Montpellier,Lille,?,Michel Mézy,7997,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010909
14,qui 24/10/1996,16:00,Bordeaux,Montpellier,?,Michel Mézy,15042,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010917
15,sáb 02/11/1996,17:00,Montpellier,Marselha,?,Michel Mézy,16419,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010934
16,qua 06/11/1996,17:00,Strasbourg,Montpellier,?,Michel Mézy,9542,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1010941
