round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 30/07/1999,14:00,Bordeaux,SC Bastia,?,Élie Baup,29668,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009192
2,sáb 07/08/1999,15:00,Montpellier,Bordeaux,?,Élie Baup,23287,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009208
3,sáb 14/08/1999,15:00,Bordeaux,Troyes,4-3-1-2,Élie Baup,31081,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009212
4,sex 20/08/1999,15:00,Rennes,Bordeaux,?,Élie Baup,13914,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009225
5,sáb 28/08/1999,15:00,Bordeaux,FC Metz,?,Élie Baup,29424,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009230
6,dom 12/09/1999,15:45,PSG,Bordeaux,?,Élie Baup,43735,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009245
7,sáb 18/09/1999,15:45,Bordeaux,Lyon,4-3-1-2,Élie Baup,29162,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009247
8,sáb 25/09/1999,15:00,Bordeaux,Auxerre,?,Élie Baup,26198,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009258
9,sáb 02/10/1999,15:00,Strasbourg,Bordeaux,?,Élie Baup,27497,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009268
10,qua 13/10/1999,16:00,Bordeaux,Monaco,?,Élie Baup,31400,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009276
11,sáb 16/10/1999,16:00,Nantes,Bordeaux,?,Élie Baup,28904,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009288
12,sáb 23/10/1999,16:45,Bordeaux,Marselha,4-4-2 duplo 6,Élie Baup,32656,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009506
13,sáb 30/10/1999,16:00,AS Nancy,Bordeaux,?,Élie Baup,10310,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009516
14,sáb 06/11/1999,17:00,Bordeaux,CS Sedan,?,Élie Baup,30300,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009524
15,qua 10/11/1999,16:00,Le Havre,Bordeaux,?,Élie Baup,12303,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009534
16,sex 19/11/1999,17:00,Bordeaux,Saint-Étienne,?,Élie Baup,32243,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009543
17,dom 28/11/1999,15:45,Lens,Bordeaux,?,Élie Baup,40334,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009557
18,sex 03/12/1999,17:00,Bordeaux,Montpellier,?,Élie Baup,24542,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009561
19,sáb 11/12/1999,17:00,Troyes,Bordeaux,?,Élie Baup,14280,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009571
20,sex 17/12/1999,15:45,Bordeaux,Rennes,?,Élie Baup,26102,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009577
21,ter 11/01/2000,15:45,FC Metz,Bordeaux,?,Élie Baup,16995,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009586
22,dom 16/01/2000,17:45,Bordeaux,PSG,?,Élie Baup,32083,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009603
23,qua 26/01/2000,17:00,Lyon,Bordeaux,?,Élie Baup,31492,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009607
24,ter 01/02/2000,15:45,Auxerre,Bordeaux,?,Élie Baup,11035,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009613
25,sáb 05/02/2000,17:00,Bordeaux,Strasbourg,?,Élie Baup,29084,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009623
26,qua 16/02/2000,17:00,Monaco,Bordeaux,?,Élie Baup,13885,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009638
27,sáb 26/02/2000,16:00,Bordeaux,Nantes,?,Élie Baup,32419,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009642
28,sáb 11/03/2000,16:00,Marselha,Bordeaux,4-4-2,Élie Baup,54457,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009654
29,sáb 25/03/2000,16:00,Bordeaux,AS Nancy,?,Élie Baup,30684,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009660
30,sex 07/04/2000,13:45,CS Sedan,Bordeaux,?,Élie Baup,16474,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009667
31,sáb 15/04/2000,15:00,Bordeaux,Le Havre,?,Élie Baup,32187,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009679
32,sáb 29/04/2000,15:00,Saint-Étienne,Bordeaux,?,Élie Baup,34861,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009688
33,qui 04/05/2000,15:00,Bordeaux,Lens,?,Élie Baup,32211,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009697
34,sáb 13/05/2000,15:00,SC Bastia,Bordeaux,?,Élie Baup,6936,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009708
