round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 28/07/2000,13:45,Marselha,Troyes,4-4-2 duplo 6,Alain Perrin,54039,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002773
2,sáb 05/08/2000,15:00,Troyes,Toulouse,?,Alain Perrin,12786,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002790
3,sáb 12/08/2000,15:00,Bordeaux,Troyes,?,Alain Perrin,28228,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002792
4,sáb 19/08/2000,15:00,Troyes,Auxerre,?,Alain Perrin,15463,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002807
5,sáb 26/08/2000,15:00,Lyon,Troyes,?,Alain Perrin,28103,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002811
6,qua 06/09/2000,15:00,Troyes,PSG,3-4-2-1,Alain Perrin,15350,5:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002825
7,sáb 09/09/2000,15:00,Lille,Troyes,4-2-3-1,Alain Perrin,14414,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002831
8,sáb 16/09/2000,15:00,Troyes,Strasbourg,?,Alain Perrin,13294,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002842
9,sáb 23/09/2000,15:00,Rennes,Troyes,?,Alain Perrin,15936,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002850
10,sáb 30/09/2000,15:00,Troyes,CS Sedan,?,Alain Perrin,16562,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002860
11,sáb 14/10/2000,16:00,FC Metz,Troyes,?,Alain Perrin,15694,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002867
12,sáb 21/10/2000,16:00,Troyes,SC Bastia,?,Alain Perrin,13995,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002879
13,dom 29/10/2000,14:15,Troyes,Monaco,?,Alain Perrin,16241,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002882
14,sáb 04/11/2000,17:00,Saint-Étienne,Troyes,?,Alain Perrin,24011,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002897
15,sáb 11/11/2000,17:00,Troyes,Lens,?,Alain Perrin,15812,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002905
16,sáb 18/11/2000,17:00,Nantes,Troyes,?,Alain Perrin,28261,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002913
17,sáb 25/11/2000,17:00,Troyes,Guingamp,?,Alain Perrin,14177,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002922
18,qua 29/11/2000,17:00,Toulouse,Troyes,?,Alain Perrin,14520,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002939
19,sáb 02/12/2000,17:00,Troyes,Bordeaux,?,Alain Perrin,14694,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002947
20,sáb 09/12/2000,17:00,Auxerre,Troyes,?,Alain Perrin,10177,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002950
21,sáb 16/12/2000,17:00,Troyes,Lyon,?,Alain Perrin,13872,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002964
22,qui 21/12/2000,17:30,PSG,Troyes,?,Alain Perrin,41797,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002972
23,sáb 13/01/2001,17:00,Troyes,Lille,?,Alain Perrin,13481,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002984
24,sáb 27/01/2001,17:00,Strasbourg,Troyes,?,Alain Perrin,9175,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002992
25,sex 23/02/2001,16:00,Troyes,Rennes,?,Alain Perrin,14478,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003002
26,qua 07/02/2001,17:00,CS Sedan,Troyes,?,Alain Perrin,13865,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003010
27,sáb 17/02/2001,17:00,Troyes,FC Metz,?,Alain Perrin,13600,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003018
28,sáb 03/03/2001,16:00,SC Bastia,Troyes,?,Alain Perrin,6079,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003023
29,sáb 17/03/2001,16:00,Monaco,Troyes,?,Alain Perrin,6035,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003035
30,sáb 07/04/2001,15:00,Troyes,Saint-Étienne,?,Alain Perrin,17268,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003047
31,sex 04/05/2001,15:00,Lens,Troyes,?,Alain Perrin,38465,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003056
32,dom 29/04/2001,13:00,Troyes,Nantes,?,Alain Perrin,16856,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003065
33,sáb 12/05/2001,15:00,Guingamp,Troyes,?,Alain Perrin,12461,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003068
34,sáb 19/05/2001,15:00,Troyes,Marselha,4-4-2 duplo 6,Alain Perrin,17756,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003083
