round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 02/08/2002,15:45,Guingamp,Lyon,4-2-3-1,Bertrand Marchand,14353,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/992389
2,sáb 10/08/2002,15:00,AC Ajaccio,Guingamp,?,Bertrand Marchand,1626,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001753
3,sáb 17/08/2002,15:00,Guingamp,Rennes,?,Bertrand Marchand,17522,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001763
4,sáb 24/08/2002,15:00,Auxerre,Guingamp,?,Bertrand Marchand,11724,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001968
5,sáb 31/08/2002,15:00,Guingamp,Bordeaux,?,Bertrand Marchand,15369,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001977
6,qua 11/09/2002,15:30,Le Havre,Guingamp,?,Bertrand Marchand,11121,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001990
7,sáb 14/09/2002,15:00,Guingamp,Nice,?,Bertrand Marchand,11016,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001996
8,sáb 21/09/2002,15:00,Lille,Guingamp,4-2-3-1,Bertrand Marchand,13543,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002009
9,sáb 28/09/2002,15:00,Guingamp,Strasbourg,?,Bertrand Marchand,10063,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002074
10,dom 06/10/2002,15:45,PSG,Guingamp,?,Bertrand Marchand,36604,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002090
11,sáb 19/10/2002,15:00,Guingamp,Montpellier,?,Bertrand Marchand,13756,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002093
12,sáb 26/10/2002,15:00,Guingamp,CS Sedan,?,Bertrand Marchand,14387,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002105
13,sáb 02/11/2002,16:00,Troyes,Guingamp,?,Bertrand Marchand,10715,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002117
14,sáb 09/11/2002,17:00,Guingamp,Marselha,4-4-2 losango,Bertrand Marchand,17330,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002125
15,sáb 16/11/2002,17:00,SC Bastia,Guingamp,?,Bertrand Marchand,5747,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002133
16,sáb 23/11/2002,17:00,Guingamp,FC Sochaux,?,Bertrand Marchand,14325,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002149
17,dom 01/12/2002,15:00,Lens,Guingamp,?,Bertrand Marchand,34618,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002158
18,qua 04/12/2002,17:30,Guingamp,Nantes,?,Bertrand Marchand,17287,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002164
19,dom 15/12/2002,17:00,Monaco,Guingamp,?,Bertrand Marchand,5329,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002178
20,sex 20/12/2002,17:30,Guingamp,AC Ajaccio,?,Bertrand Marchand,16336,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002184
21,sáb 11/01/2003,14:15,Rennes,Guingamp,?,Bertrand Marchand,23572,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002192
22,qua 15/01/2003,17:30,Guingamp,Auxerre,?,Bertrand Marchand,11196,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002204
23,qua 22/01/2003,17:30,Bordeaux,Guingamp,?,Bertrand Marchand,20974,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002214
24,qua 29/01/2003,17:30,Guingamp,Le Havre,?,Bertrand Marchand,12728,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002224
25,sáb 01/02/2003,17:00,Nice,Guingamp,?,Bertrand Marchand,12756,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002235
26,ter 18/03/2003,15:30,Guingamp,Lille,?,Bertrand Marchand,12384,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002250
27,sáb 08/02/2003,17:00,Strasbourg,Guingamp,?,Bertrand Marchand,8453,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002258
28,sáb 22/02/2003,13:15,Guingamp,PSG,?,Bertrand Marchand,15616,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002261
29,sáb 01/03/2003,16:00,Montpellier,Guingamp,?,Bertrand Marchand,8242,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002275
30,sáb 08/03/2003,16:00,CS Sedan,Guingamp,?,Bertrand Marchand,13609,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002287
31,sáb 22/03/2003,16:00,Guingamp,Troyes,?,Bertrand Marchand,12933,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002295
32,sáb 05/04/2003,15:00,Marselha,Guingamp,?,Bertrand Marchand,51643,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002305
33,sáb 12/04/2003,15:00,Guingamp,SC Bastia,?,Bertrand Marchand,15548,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002314
34,sáb 19/04/2003,15:00,FC Sochaux,Guingamp,?,Bertrand Marchand,17563,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002328
35,sáb 03/05/2003,15:00,Guingamp,Lens,?,Bertrand Marchand,16673,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002333
36,sáb 10/05/2003,15:00,Nantes,Guingamp,?,Bertrand Marchand,34919,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002346
37,ter 20/05/2003,15:30,Guingamp,Monaco,?,Bertrand Marchand,18001,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002351
38,sáb 24/05/2003,15:30,Lyon,Guingamp,?,Bertrand Marchand,40152,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1002366
