round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 02/08/2003,15:00,PSG,SC Bastia,4-4-2 duplo 6,Vahid Halilhodzic,33991,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/357
2,sáb 09/08/2003,12:15,Lille,PSG,4-4-2 duplo 6,Vahid Halilhodzic,18455,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/601
3,sáb 16/08/2003,15:00,FC Metz,PSG,4-2-3-1,Vahid Halilhodzic,25060,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/799
4,dom 24/08/2003,15:45,PSG,Monaco,4-4-2 duplo 6,Vahid Halilhodzic,36527,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1013
5,sáb 30/08/2003,15:00,Montpellier,PSG,4-4-2 duplo 6,Vahid Halilhodzic,13893,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1188
6,dom 14/09/2003,15:45,PSG,Toulouse,4-4-2 duplo 6,Vahid Halilhodzic,30361,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1409
7,sex 19/09/2003,19:00,Guingamp,PSG,4-4-2 duplo 6,Vahid Halilhodzic,14797,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1600
8,sex 26/09/2003,19:00,PSG,Auxerre,4-2-3-1,Vahid Halilhodzic,39777,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1795
9,sex 03/10/2003,19:00,FC Sochaux,PSG,4-4-2 duplo 6,Vahid Halilhodzic,19561,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2005
10,sex 17/10/2003,19:00,PSG,Le Mans UC 72,4-3-1-2,Vahid Halilhodzic,41709,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2220
11,sex 24/10/2003,20:00,AC Ajaccio,PSG,?,Vahid Halilhodzic,7500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2412
12,sáb 01/11/2003,21:00,PSG,Lens,4-3-2-1,Vahid Halilhodzic,38536,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2637
13,sex 07/11/2003,21:00,Nantes,PSG,?,Vahid Halilhodzic,34310,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2811
14,sáb 22/11/2003,21:00,PSG,Nice,?,Vahid Halilhodzic,34843,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3035
15,sáb 29/11/2003,21:00,Marselha,PSG,4-3-1-2,Vahid Halilhodzic,55493,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3233
16,ter 02/12/2003,21:00,PSG,Strasbourg,4-3-1-2,Vahid Halilhodzic,32710,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413
17,sex 05/12/2003,21:00,Rennes,PSG,?,Vahid Halilhodzic,18003,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3612
18,sex 12/12/2003,21:00,PSG,Bordeaux,4-4-2 duplo 6,Vahid Halilhodzic,41512,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3803
19,qui 18/12/2003,21:00,Lyon,PSG,4-4-2 duplo 6,Vahid Halilhodzic,36720,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3981
20,sex 09/01/2004,21:00,PSG,Lille,4-4-2 duplo 6,Vahid Halilhodzic,38620,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4165
21,sex 16/01/2004,21:00,PSG,FC Metz,3-4-2-1,Vahid Halilhodzic,40603,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4365
22,qui 29/01/2004,21:00,Monaco,PSG,4-4-2 duplo 6,Vahid Halilhodzic,14500,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4513
23,sex 06/02/2004,21:00,PSG,Montpellier,4-4-2 duplo 6,Vahid Halilhodzic,38952,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4737
24,sex 13/02/2004,21:00,Toulouse,PSG,4-4-2 duplo 6,Vahid Halilhodzic,24218,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4921
25,sex 20/02/2004,20:00,PSG,Guingamp,3-4-2-1,Vahid Halilhodzic,41447,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5135
26,sáb 28/02/2004,20:00,Auxerre,PSG,4-4-2 duplo 6,Vahid Halilhodzic,17174,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5344
27,sex 05/03/2004,20:00,PSG,FC Sochaux,4-4-2 duplo 6,Vahid Halilhodzic,41534,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5541
28,sex 12/03/2004,20:00,Le Mans UC 72,PSG,4-4-2 duplo 6,Vahid Halilhodzic,14981,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5731
29,sex 19/03/2004,20:00,PSG,AC Ajaccio,3-4-2-1,Vahid Halilhodzic,38580,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/5948
30,sáb 27/03/2004,20:00,Lens,PSG,3-4-2-1,Vahid Halilhodzic,37575,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6169
31,sex 02/04/2004,19:00,PSG,Nantes,3-4-2-1,Vahid Halilhodzic,40000,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6360
32,sex 09/04/2004,19:00,Nice,PSG,3-4-2-1,Vahid Halilhodzic,12971,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6570
33,sáb 24/04/2004,19:00,PSG,Marselha,3-4-2-1,Vahid Halilhodzic,52000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6798
34,sex 30/04/2004,19:00,Strasbourg,PSG,3-4-2-1,Vahid Halilhodzic,25385,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/6994
35,sex 07/05/2004,19:00,PSG,Rennes,3-4-2-1,Vahid Halilhodzic,41444,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7201
36,seg 10/05/2004,19:00,Bordeaux,PSG,4-4-2 duplo 6,Vahid Halilhodzic,30527,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7243
37,sex 14/05/2004,19:00,PSG,Lyon,4-4-2 duplo 6,Vahid Halilhodzic,42502,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7282
38,sáb 22/05/2004,19:00,SC Bastia,PSG,3-4-2-1,Vahid Halilhodzic,9243,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/7345
