round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 02/08/2003,15:00,Toulouse,Strasbourg,4-4-1-1,Antoine Kombouaré,18080,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/359
2,sáb 09/08/2003,15:00,Strasbourg,Guingamp,4-3-3 ofensivo,Antoine Kombouaré,13845,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/606
3,sáb 16/08/2003,12:15,Auxerre,Strasbourg,5-3-2,Antoine Kombouaré,12272,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/791
4,sáb 23/08/2003,15:00,Strasbourg,Lens,4-4-2 losango,Antoine Kombouaré,19683,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/988
5,sáb 30/08/2003,15:00,Le Mans UC 72,Strasbourg,5-3-2,Antoine Kombouaré,11711,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1191
6,sáb 13/09/2003,15:00,Strasbourg,AC Ajaccio,4-4-2 duplo 6,Antoine Kombouaré,13311,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1402
7,sex 19/09/2003,19:00,FC Sochaux,Strasbourg,4-4-2 duplo 6,Antoine Kombouaré,16728,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1601
8,sáb 27/09/2003,19:00,Strasbourg,Nantes,4-2-3-1,Antoine Kombouaré,13080,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1805
9,sex 03/10/2003,19:00,Nice,Strasbourg,4-2-3-1,Antoine Kombouaré,12527,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2003
10,qui 16/10/2003,19:00,Strasbourg,Marselha,4-2-3-1,Antoine Kombouaré,27000,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2211
11,sex 24/10/2003,20:00,Strasbourg,FC Metz,?,Antoine Kombouaré,21269,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2419
12,sex 31/10/2003,21:00,Rennes,Strasbourg,5-3-2,Antoine Kombouaré,15007,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2618
13,sáb 08/11/2003,21:00,Strasbourg,Bordeaux,5-3-2,Antoine Kombouaré,15857,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2835
14,qui 20/11/2003,21:00,Lyon,Strasbourg,4-3-3 ofensivo,Antoine Kombouaré,33682,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3026
15,sex 28/11/2003,21:00,Strasbourg,Lille,5-4-1 plano,Antoine Kombouaré,10915,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3211
16,ter 02/12/2003,21:00,PSG,Strasbourg,4-2-3-1,Antoine Kombouaré,32710,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3413
17,sex 05/12/2003,21:00,Strasbourg,SC Bastia,5-3-2,Antoine Kombouaré,9747,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3613
18,sáb 13/12/2003,21:00,Monaco,Strasbourg,4-4-2 duplo 6,Antoine Kombouaré,5000,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3811
19,sex 19/12/2003,21:00,Strasbourg,Montpellier,?,Antoine Kombouaré,15373,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3988
