round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 09/08/2008,17:00,Rennes,Marselha,4-2-3-1,Eric Gerets,28879,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912745
2,dom 17/08/2008,17:00,Marselha,Auxerre,4-3-3 defensivo,Eric Gerets,55776,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912752
3,sáb 23/08/2008,15:00,Le Havre,Marselha,4-3-3 ofensivo,Eric Gerets,16378,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912760
4,sáb 30/08/2008,17:00,Marselha,FC Sochaux,4-3-3 defensivo,Eric Gerets,55074,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912772
5,sáb 13/09/2008,17:00,Bordeaux,Marselha,4-3-1-2,Eric Gerets,32854,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912779
6,dom 21/09/2008,17:00,Marselha,Monaco,4-3-3 defensivo,Eric Gerets,51342,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912792
7,sáb 27/09/2008,15:00,Le Mans UC 72,Marselha,4-5-1,Eric Gerets,16221,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912801
8,sáb 04/10/2008,15:00,Marselha,SM Caen,4-3-1-2,Eric Gerets,51915,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912812
9,dom 19/10/2008,18:00,Valenciennes,Marselha,4-4-2 duplo 6,Eric Gerets,16191,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912827
10,dom 26/10/2008,20:00,Marselha,PSG,4-3-1-2,Eric Gerets,56426,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912832
11,qua 29/10/2008,18:00,Nantes,Marselha,4-4-2 losango,Eric Gerets,35993,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912843
12,sáb 01/11/2008,20:00,Marselha,Saint-Étienne,4-3-1-2,Eric Gerets,54715,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912853
13,sáb 08/11/2008,18:00,Grenoble,Marselha,4-4-2 duplo 6,Eric Gerets,19648,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912860
14,sáb 15/11/2008,14:00,Marselha,FC Lorient,4-5-1,Eric Gerets,48878,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912873
15,dom 23/11/2008,18:00,Marselha,Lille,4-3-3 ofensivo,Eric Gerets,46145,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912882
16,dom 30/11/2008,14:00,Toulouse,Marselha,4-3-3 ofensivo,Eric Gerets,33572,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912897
17,sáb 06/12/2008,16:00,Marselha,Nice,4-5-1,Eric Gerets,50279,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912903
18,dom 14/12/2008,18:00,Lyon,Marselha,4-2-3-1,Eric Gerets,39638,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912911
19,dom 21/12/2008,14:00,Marselha,AS Nancy,4-5-1,Eric Gerets,50628,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912922
20,sáb 10/01/2009,18:00,Auxerre,Marselha,4-5-1,Eric Gerets,19269,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912928
21,sáb 17/01/2009,16:00,Marselha,Le Havre,4-5-1,Eric Gerets,45721,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912942
22,dom 01/02/2009,14:00,FC Sochaux,Marselha,4-5-1,Eric Gerets,19972,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912956
23,dom 08/02/2009,18:00,Marselha,Bordeaux,4-4-2 duplo 6,Eric Gerets,53856,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912962
24,dom 15/02/2009,17:00,Monaco,Marselha,4-3-1-2,Eric Gerets,13475,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912971
25,dom 22/02/2009,13:00,Marselha,Le Mans UC 72,4-4-2 losango,Eric Gerets,48680,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912982
26,dom 01/03/2009,13:00,SM Caen,Marselha,4-5-1,Eric Gerets,20775,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/912990
27,sáb 07/03/2009,15:00,Marselha,Valenciennes,4-5-1,Eric Gerets,48746,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/913002
28,dom 15/03/2009,17:00,PSG,Marselha,4-3-3 defensivo,Eric Gerets,45774,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/913015
29,sáb 21/03/2009,17:00,Marselha,Nantes,4-3-3 defensivo,Eric Gerets,47747,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/913023
30,dom 05/04/2009,16:00,Saint-Étienne,Marselha,4-3-3 defensivo,Eric Gerets,34734,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/913035
31,dom 12/04/2009,12:00,Marselha,Grenoble,4-3-3 defensivo,Eric Gerets,56953,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/913043
32,dom 19/04/2009,12:00,FC Lorient,Marselha,4-3-3 defensivo,Eric Gerets,13093,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/913051
