round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 07/08/2010,16:00,Rennes,Lille,4-3-3 ofensivo,Frédéric Antonetti,21442,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1036782
2,sáb 14/08/2010,14:00,AS Nancy,Rennes,4-2-3-1,Frédéric Antonetti,14512,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1039585
3,sáb 21/08/2010,14:00,Rennes,Saint-Étienne,4-2-3-1,Frédéric Antonetti,24731,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1039598
4,sáb 28/08/2010,14:00,AC Arles-Avignon,Rennes,4-2-3-1,Frédéric Antonetti,9364,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1039683
5,sáb 11/09/2010,14:00,Rennes,FC Sochaux,4-2-3-1,Frédéric Antonetti,17504,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1039701
6,dom 19/09/2010,12:00,PSG,Rennes,4-1-4-1,Frédéric Antonetti,28606,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040685
7,sáb 25/09/2010,14:00,Nice,Rennes,4-1-4-1,Frédéric Antonetti,7577,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040698
8,dom 03/10/2010,16:00,Rennes,Toulouse,4-1-4-1,Frédéric Antonetti,21711,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040706
9,dom 17/10/2010,13:00,Lens,Rennes,4-1-4-1,Frédéric Antonetti,30224,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040713
10,sáb 23/10/2010,15:00,Rennes,Montpellier,4-3-3 ofensivo,Frédéric Antonetti,22688,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040727
11,qua 01/12/2010,16:00,Marselha,Rennes,4-3-3 ofensivo,Frédéric Antonetti,50057,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1061403
12,sáb 06/11/2010,18:00,Rennes,Lyon,4-3-3 ofensivo,Frédéric Antonetti,28357,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040746
13,dom 14/11/2010,14:00,Auxerre,Rennes,4-3-3 ofensivo,Frédéric Antonetti,9089,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042655
14,sáb 20/11/2010,16:00,Rennes,Brest,4-3-3 ofensivo,Frédéric Antonetti,28879,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042671
15,sáb 27/11/2010,16:00,FC Lorient,Rennes,4-1-4-1,Frédéric Antonetti,15362,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042679
16,sáb 04/12/2010,16:00,Rennes,Monaco,4-2-3-1,Frédéric Antonetti,20829,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042691
17,dom 12/12/2010,18:00,Bordeaux,Rennes,4-1-4-1,Frédéric Antonetti,19991,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042697
18,sáb 18/12/2010,16:00,Rennes,Valenciennes,4-3-3 ofensivo,Frédéric Antonetti,20112,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043129
19,qua 22/12/2010,16:00,SM Caen,Rennes,4-1-4-1,Frédéric Antonetti,14500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043137
20,sáb 15/01/2011,18:00,Rennes,AC Arles-Avignon,4-3-3 ofensivo,Frédéric Antonetti,19857,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043152
21,sáb 29/01/2011,16:00,FC Sochaux,Rennes,4-2-3-1,Frédéric Antonetti,11833,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043162
22,sáb 05/02/2011,18:00,Rennes,PSG,4-2-3-1,Frédéric Antonetti,26001,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043193
23,dom 13/02/2011,14:00,Rennes,Nice,4-2-3-1,Frédéric Antonetti,18387,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043446
24,dom 20/02/2011,17:00,Toulouse,Rennes,4-1-4-1,Frédéric Antonetti,21378,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043459
25,sáb 26/02/2011,15:00,Rennes,Lens,4-1-4-1,Frédéric Antonetti,22745,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043466
26,sáb 05/03/2011,15:00,Montpellier,Rennes,4-1-4-1,Frédéric Antonetti,15165,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043476
27,sex 11/03/2011,17:00,Rennes,Marselha,4-2-3-1,Frédéric Antonetti,29002,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043487
28,sáb 19/03/2011,17:00,Lyon,Rennes,4-2-3-1,Frédéric Antonetti,35504,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043494
29,sáb 02/04/2011,14:00,Rennes,Auxerre,4-3-3 ofensivo,Frédéric Antonetti,27743,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043506
30,sáb 09/04/2011,16:00,Brest,Rennes,4-1-4-1,Frédéric Antonetti,15127,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043512
31,sáb 16/04/2011,14:00,Rennes,FC Lorient,4-3-3 ofensivo,Frédéric Antonetti,28261,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043526
32,dom 24/04/2011,12:00,Monaco,Rennes,4-3-3 ofensivo,Frédéric Antonetti,6569,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043537
33,sáb 30/04/2011,14:00,Rennes,Bordeaux,4-1-4-1,Frédéric Antonetti,22010,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043546
34,dom 08/05/2011,12:00,Valenciennes,Rennes,4-2-3-1,Frédéric Antonetti,11429,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043559
35,qua 11/05/2011,14:00,Rennes,SM Caen,4-1-4-1,Frédéric Antonetti,20044,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043906
36,dom 15/05/2011,12:00,Saint-Étienne,Rennes,4-2-3-1,Frédéric Antonetti,22580,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043918
37,sáb 21/05/2011,16:00,Rennes,AS Nancy,4-2-3-1,Frédéric Antonetti,24250,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043927
38,dom 29/05/2011,16:00,Lille,Rennes,4-3-3 ofensivo,Frédéric Antonetti,17111,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043934
