round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 10/08/2012,15:45,Montpellier,Toulouse,4-1-4-1,Alain Casanova,19788,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229837
2,sáb 18/08/2012,15:00,Toulouse,Saint-Étienne,4-3-3 ofensivo,Alain Casanova,13218,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229852
3,sáb 25/08/2012,15:00,AS Nancy,Toulouse,4-2-3-1,Alain Casanova,13158,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229860
4,sáb 01/09/2012,15:00,Toulouse,Reims,4-3-3 ofensivo,Alain Casanova,12280,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223877
5,sex 14/09/2012,15:45,PSG,Toulouse,4-4-1-1,Alain Casanova,43224,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223853
6,sáb 22/09/2012,15:00,Toulouse,Rennes,4-3-3 ofensivo,Alain Casanova,13022,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223846
7,sáb 29/09/2012,15:00,Troyes,Toulouse,4-1-4-1,Alain Casanova,17087,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223871
8,sáb 06/10/2012,15:00,Toulouse,Valenciennes,4-1-4-1,Alain Casanova,12512,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223873
9,sáb 20/10/2012,15:00,Évian,Toulouse,4-1-4-1,Alain Casanova,8831,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223906
10,sáb 27/10/2012,16:00,Toulouse,Brest,4-1-4-1,Alain Casanova,30188,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223920
11,dom 04/11/2012,18:00,Bordeaux,Toulouse,4-1-4-1,Alain Casanova,17975,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223915
12,sáb 10/11/2012,17:00,Toulouse,AC Ajaccio,4-1-4-1,Alain Casanova,10431,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223936
13,dom 18/11/2012,14:00,Nice,Toulouse,4-3-3 defensivo,Alain Casanova,9095,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223946
14,dom 25/11/2012,14:00,Toulouse,Lyon,4-1-4-1,Alain Casanova,20580,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223956
15,dom 02/12/2012,18:00,FC Lorient,Toulouse,4-2-3-1,Alain Casanova,13343,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223958
16,sex 07/12/2012,17:45,Toulouse,SC Bastia,4-3-3 ofensivo,Alain Casanova,29702,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223976
17,ter 11/12/2012,18:00,Lille,Toulouse,4-1-4-1,Alain Casanova,35264,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223982
18,sáb 15/12/2012,14:00,Toulouse,Marselha,4-1-4-1,Alain Casanova,22101,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223892
19,dom 23/12/2012,14:00,Toulouse,FC Sochaux,4-1-4-1,Alain Casanova,16401,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223993
20,sex 11/01/2013,16:00,Saint-Étienne,Toulouse,4-1-4-1,Alain Casanova,18410,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2224007
21,sáb 19/01/2013,17:00,Toulouse,AS Nancy,4-3-3 ofensivo,Alain Casanova,12005,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2224023
22,sáb 26/01/2013,17:00,Reims,Toulouse,4-3-3 ofensivo,Alain Casanova,12522,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2224019
23,sex 01/02/2013,17:30,Toulouse,PSG,4-1-4-1,Alain Casanova,35012,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2224047
24,dom 10/02/2013,14:00,Rennes,Toulouse,4-1-4-1,Alain Casanova,15055,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2224060
25,sáb 16/02/2013,17:00,Toulouse,Troyes,4-3-3 ofensivo,Alain Casanova,12033,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2224049
