round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 11/08/2012,16:00,Rennes,Lyon,4-3-3 defensivo,Rémi Garde,17893,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229836
2,sáb 18/08/2012,12:00,Lyon,Troyes,4-3-3 defensivo,Rémi Garde,25186,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229838
3,sex 24/08/2012,15:45,Évian,Lyon,4-4-2 duplo 6,Rémi Garde,13581,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229854
4,sáb 01/09/2012,12:00,Lyon,Valenciennes,4-3-3 ofensivo,Rémi Garde,25329,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223889
5,dom 16/09/2012,12:00,Lyon,AC Ajaccio,4-3-3 defensivo,Rémi Garde,25666,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223854
6,dom 23/09/2012,16:00,Lille,Lyon,4-3-3 defensivo,Rémi Garde,43475,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223845
7,dom 30/09/2012,16:00,Lyon,Bordeaux,4-3-3 defensivo,Rémi Garde,30881,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223867
8,dom 07/10/2012,12:00,FC Lorient,Lyon,4-3-3 ofensivo,Rémi Garde,15090,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223864
9,dom 21/10/2012,13:00,Lyon,Brest,4-4-2 duplo 6,Rémi Garde,30047,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223907
10,qua 28/11/2012,18:00,Marselha,Lyon,4-2-3-1,Rémi Garde,35359,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223923
11,dom 04/11/2012,14:00,Lyon,SC Bastia,4-2-3-1,Rémi Garde,27363,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223913
12,dom 11/11/2012,14:00,FC Sochaux,Lyon,4-3-3 defensivo,Rémi Garde,13554,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223930
13,dom 18/11/2012,11:00,Lyon,Reims,4-3-3 defensivo,Rémi Garde,33222,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223941
14,dom 25/11/2012,14:00,Toulouse,Lyon,4-2-3-1,Rémi Garde,20580,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223956
15,sáb 01/12/2012,14:00,Lyon,Montpellier,4-3-3 defensivo,Rémi Garde,31495,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223964
16,dom 09/12/2012,18:00,Saint-Étienne,Lyon,4-2-3-1,Rémi Garde,26579,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223966
17,qua 12/12/2012,16:00,Lyon,AS Nancy,4-3-3 ofensivo,Rémi Garde,31952,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223988
18,dom 16/12/2012,18:00,PSG,Lyon,4-3-3 ofensivo,Rémi Garde,44768,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223894
19,sáb 22/12/2012,17:00,Lyon,Nice,4-3-3 ofensivo,Rémi Garde,30903,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223995
20,sáb 12/01/2013,14:00,Troyes,Lyon,4-4-2 duplo 6,Rémi Garde,13481,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2224006
