round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 11/08/2012,16:00,FC Sochaux,SC Bastia,4-1-4-1,Frédéric Hantz,12598,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229835
2,sáb 18/08/2012,15:00,SC Bastia,Reims,4-2-3-1,Frédéric Hantz,13989,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229844
3,sáb 25/08/2012,15:00,Rennes,SC Bastia,4-2-3-1,Frédéric Hantz,16184,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2229858
4,sáb 01/09/2012,15:00,SC Bastia,Saint-Étienne,4-2-3-1,Frédéric Hantz,15505,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223878
5,sáb 15/09/2012,15:00,Évian,SC Bastia,4-2-3-1,Frédéric Hantz,8555,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223882
6,sáb 22/09/2012,12:00,SC Bastia,PSG,5-3-2,Frédéric Hantz,16054,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223847
7,sáb 29/09/2012,15:00,Nice,SC Bastia,4-2-3-1,Frédéric Hantz,9114,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223865
8,sáb 06/10/2012,15:00,SC Bastia,Troyes,4-2-3-1,Frédéric Hantz,13326,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223863
9,dom 21/10/2012,10:00,AC Ajaccio,SC Bastia,4-2-3-1,Frédéric Hantz,10344,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223909
10,dom 28/10/2012,14:00,SC Bastia,Bordeaux,4-2-3-1,Frédéric Hantz,13552,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223921
11,dom 04/11/2012,14:00,Lyon,SC Bastia,4-2-3-1,Frédéric Hantz,27363,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223913
12,sáb 10/11/2012,17:00,SC Bastia,Valenciennes,4-3-3 defensivo,Frédéric Hantz,12591,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223932
13,sáb 17/11/2012,17:00,Brest,SC Bastia,4-3-3 defensivo,Frédéric Hantz,11057,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223944
14,sáb 24/11/2012,17:00,SC Bastia,FC Lorient,4-2-3-1,Frédéric Hantz,12361,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223955
15,sáb 01/12/2012,17:00,Lille,SC Bastia,4-2-3-1,Frédéric Hantz,38304,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223965
16,sex 07/12/2012,17:45,Toulouse,SC Bastia,4-2-3-1,Frédéric Hantz,29702,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223976
17,qua 12/12/2012,18:00,SC Bastia,Marselha,4-4-2 duplo 6,Frédéric Hantz,x,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2223986
