round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 10/08/2013,16:00,Rennes,Reims,4-1-4-1,Hubert Fournier,17068,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353754
2,sáb 17/08/2013,15:00,Reims,Lille,4-3-3 ofensivo,Hubert Fournier,14199,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2353768
3,sáb 24/08/2013,15:00,Lyon,Reims,4-1-4-1,Hubert Fournier,24238,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330833
4,sáb 31/08/2013,15:00,Reims,Nantes,4-3-3 ofensivo,Hubert Fournier,15304,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330840
5,sáb 14/09/2013,15:00,Montpellier,Reims,4-3-3 ofensivo,Hubert Fournier,11667,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330848
6,sáb 21/09/2013,15:00,Reims,Guingamp,4-4-2 duplo 6,Hubert Fournier,13365,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330860
7,qua 25/09/2013,14:00,Bordeaux,Reims,4-3-3 ofensivo,Hubert Fournier,13282,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330872
8,dom 29/09/2013,16:00,Reims,Monaco,4-1-4-1,Hubert Fournier,20032,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330913
9,sáb 05/10/2013,15:00,Valenciennes,Reims,4-3-3 ofensivo,Hubert Fournier,20330,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331028
10,sex 18/10/2013,15:30,Reims,Toulouse,4-1-4-1,Hubert Fournier,13102,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330940
11,sáb 26/10/2013,13:00,Marselha,Reims,4-3-3 ofensivo,Hubert Fournier,40532,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331029
12,sáb 02/11/2013,17:00,Reims,SC Bastia,4-3-3 ofensivo,Hubert Fournier,13712,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330894
13,sáb 09/11/2013,17:00,FC Lorient,Reims,4-1-4-1,Hubert Fournier,12753,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331041
14,sáb 23/11/2013,14:00,Reims,PSG,4-3-3 ofensivo,Hubert Fournier,20666,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330928
15,sáb 30/11/2013,12:00,Saint-Étienne,Reims,4-3-3 ofensivo,Hubert Fournier,23838,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330943
16,qua 04/12/2013,16:00,FC Sochaux,Reims,4-2-3-1,Hubert Fournier,10651,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330963
17,sáb 07/12/2013,17:00,Reims,Nice,4-3-3 ofensivo,Hubert Fournier,14757,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330945
18,sáb 14/12/2013,17:00,Évian,Reims,4-4-2 duplo 6,Hubert Fournier,8769,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330965
19,sáb 21/12/2013,17:00,Reims,AC Ajaccio,4-5-1 plano,Hubert Fournier,14522,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330980
20,dom 12/01/2014,18:00,Lille,Reims,4-3-3 ofensivo,Hubert Fournier,36287,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2330981
21,dom 19/01/2014,11:00,Reims,Lyon,4-3-3 ofensivo,Hubert Fournier,17262,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331026
22,sáb 25/01/2014,17:00,Nantes,Reims,4-3-3 ofensivo,Hubert Fournier,19804,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331007
23,sáb 01/02/2014,17:00,Reims,Montpellier,4-4-2 duplo 6,Hubert Fournier,13803,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331010
24,sáb 08/02/2014,17:00,Guingamp,Reims,4-3-3 ofensivo,Hubert Fournier,12953,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331035
25,sáb 15/02/2014,17:00,Reims,Bordeaux,4-3-3 ofensivo,Hubert Fournier,13702,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331070
26,sex 21/02/2014,16:30,Monaco,Reims,4-3-3 ofensivo,Hubert Fournier,6127,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331099
27,sáb 01/03/2014,16:00,Reims,Valenciennes,4-3-3 ofensivo,Hubert Fournier,14414,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331075
28,sáb 08/03/2014,16:00,Toulouse,Reims,4-1-4-1,Hubert Fournier,10401,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2331068
