round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 14/08/2016,10:00,AS Nancy,Lyon,4-3-3 ofensivo,Pablo Correa,18885,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2698549
2,sáb 20/08/2016,15:00,Rennes,AS Nancy,4-3-3 ofensivo,Pablo Correa,20705,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701607
3,sáb 27/08/2016,15:00,AS Nancy,Guingamp,4-3-3 ofensivo,Pablo Correa,15587,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701610
4,sáb 10/09/2016,15:00,FC Lorient,AS Nancy,4-3-3 ofensivo,Pablo Correa,8323,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701620
5,sáb 17/09/2016,15:00,AS Nancy,Nantes,4-3-3 ofensivo,Pablo Correa,17034,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701630
6,qua 21/09/2016,14:00,SC Bastia,AS Nancy,3-4-3 plano,Pablo Correa,9139,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701644
7,dom 25/09/2016,12:00,AS Nancy,Nice,3-5-2 plano,Pablo Correa,17580,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701650
8,sáb 01/10/2016,15:00,Lille,AS Nancy,5-4-1 plano,Pablo Correa,25719,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701660
9,sáb 15/10/2016,12:00,AS Nancy,PSG,5-3-2,Pablo Correa,19524,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701670
10,sáb 22/10/2016,16:00,Bordeaux,AS Nancy,4-3-3 ofensivo,Pablo Correa,20853,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702717
11,sáb 29/10/2016,16:00,AS Nancy,SM Caen,4-3-3 ofensivo,Pablo Correa,16896,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702731
12,sáb 05/11/2016,14:00,Monaco,AS Nancy,4-4-2 duplo 6,Pablo Correa,5539,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702754
13,sáb 19/11/2016,17:00,AS Nancy,Dijon,4-3-3 ofensivo,Pablo Correa,16341,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702758
14,sáb 26/11/2016,17:00,Montpellier,AS Nancy,4-3-3 ofensivo,Pablo Correa,9463,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702772
15,qua 30/11/2016,16:00,AS Nancy,FC Metz,4-1-4-1,Pablo Correa,19085,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702781
16,dom 04/12/2016,14:00,Marselha,AS Nancy,4-3-3 ofensivo,Pablo Correa,27854,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702794
17,sáb 10/12/2016,17:00,AS Nancy,Angers,4-3-3 ofensivo,Pablo Correa,17205,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702801
18,sáb 17/12/2016,17:00,Toulouse,AS Nancy,4-1-4-1,Pablo Correa,15061,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2702815
