round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 05/08/2017,15:00,Montpellier,SM Caen,4-1-4-1,Patrice Garande,14725,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2890518
2,sáb 12/08/2017,15:00,SM Caen,Saint-Étienne,4-3-3 ofensivo,Patrice Garande,17606,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900826
3,dom 20/08/2017,10:00,Lille,SM Caen,4-2-3-1,Patrice Garande,28740,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2901015
4,sáb 26/08/2017,15:00,SM Caen,FC Metz,4-4-2 losango,Patrice Garande,15697,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2901094
5,sáb 09/09/2017,15:00,SM Caen,Dijon,4-4-2 duplo 6,Patrice Garande,15328,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2901108
6,sáb 16/09/2017,15:00,Nantes,SM Caen,4-4-2,Patrice Garande,20245,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2901123
7,sáb 23/09/2017,15:00,SM Caen,Amiens SC,4-4-2 duplo 6,Patrice Garande,16212,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2901141
8,sáb 30/09/2017,15:00,Rennes,SM Caen,4-4-2 duplo 6,Patrice Garande,18689,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2901322
9,sáb 14/10/2017,15:00,SM Caen,Angers,4-4-2 duplo 6,Patrice Garande,16736,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903927
10,sáb 21/10/2017,13:00,Monaco,SM Caen,4-4-2 duplo 6,Patrice Garande,8040,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903939
11,sáb 28/10/2017,16:00,SM Caen,Troyes,4-2-3-1,Patrice Garande,16908,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942656
12,dom 05/11/2017,14:00,Marselha,SM Caen,4-2-3-1,Patrice Garande,47687,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942668
13,dom 19/11/2017,12:00,SM Caen,Nice,4-4-2 duplo 6,Patrice Garande,15144,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942679
14,sáb 25/11/2017,17:00,SM Caen,Bordeaux,4-4-2 duplo 6,Patrice Garande,15275,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942687
15,ter 28/11/2017,16:00,Strasbourg,SM Caen,4-4-2 duplo 6,Patrice Garande,22175,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942697
16,dom 03/12/2017,14:00,SM Caen,Lyon,4-3-3 ofensivo,Patrice Garande,19455,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942708
17,sáb 09/12/2017,17:00,Toulouse,SM Caen,4-4-2,Patrice Garande,12613,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942714
18,sáb 16/12/2017,17:00,SM Caen,Guingamp,4-4-2 duplo 6,Patrice Garande,17173,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942728
19,qua 20/12/2017,17:50,PSG,SM Caen,5-3-2,Patrice Garande,47490,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942737
20,sáb 13/01/2018,17:00,SM Caen,Lille,4-4-2,Patrice Garande,18283,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942748
21,ter 16/01/2018,16:00,Bordeaux,SM Caen,4-4-2 duplo 6,Patrice Garande,14368,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942754
22,sex 19/01/2018,17:45,SM Caen,Marselha,4-1-4-1,Patrice Garande,20249,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942768
23,sáb 27/01/2018,17:00,Saint-Étienne,SM Caen,5-3-2,Patrice Garande,21559,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942770
24,dom 04/02/2018,14:00,SM Caen,Nantes,4-3-1-2,Patrice Garande,16121,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942788
25,sáb 10/02/2018,17:00,Guingamp,SM Caen,5-3-2,Patrice Garande,13988,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942792
26,sáb 17/02/2018,17:00,SM Caen,Rennes,5-3-2,Patrice Garande,16083,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942809
27,sáb 24/02/2018,16:00,Dijon,SM Caen,5-3-2,Patrice Garande,10518,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942810
28,dom 04/03/2018,11:00,SM Caen,Strasbourg,5-3-2,Patrice Garande,16464,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942829
29,dom 11/03/2018,13:00,Lyon,SM Caen,5-3-2,Patrice Garande,39530,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942835
30,sáb 17/03/2018,16:00,Angers,SM Caen,5-3-2,Patrice Garande,10342,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942849
31,dom 01/04/2018,12:00,SM Caen,Montpellier,4-1-4-1,Patrice Garande,17686,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942858
32,sáb 07/04/2018,15:00,Amiens SC,SM Caen,5-3-2,Patrice Garande,9506,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942868
33,qua 25/04/2018,13:45,SM Caen,Toulouse,4-1-4-1,Patrice Garande,18658,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942877
34,sáb 21/04/2018,15:00,FC Metz,SM Caen,4-4-2 duplo 6,Patrice Garande,16518,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942883
35,sáb 28/04/2018,15:00,Troyes,SM Caen,4-1-4-1,Patrice Garande,14019,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942891
36,dom 06/05/2018,12:00,SM Caen,Monaco,4-3-1-2,Patrice Garande,17468,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942908
37,sáb 12/05/2018,16:00,Nice,SM Caen,4-4-2 losango,Patrice Garande,22570,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942914
38,sáb 19/05/2018,16:00,SM Caen,PSG,4-1-4-1,Patrice Garande,19999,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2942928
