round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 11/08/2018,15:00,Saint-Étienne,Guingamp,4-2-3-1,Jean-Louis Gasset,26006,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047440
2,dom 19/08/2018,10:00,Strasbourg,Saint-Étienne,4-2-3-1,Jean-Louis Gasset,25385,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047449
3,sáb 25/08/2018,15:00,Montpellier,Saint-Étienne,4-2-3-1,Jean-Louis Gasset,14777,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047456
4,dom 02/09/2018,10:00,Saint-Étienne,Amiens SC,4-2-3-1,Jean-Louis Gasset,30146,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047469
5,sex 14/09/2018,15:45,PSG,Saint-Étienne,3-4-1-2,Jean-Louis Gasset,46549,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047479
6,sáb 22/09/2018,15:00,Saint-Étienne,SM Caen,4-2-3-1,Jean-Louis Gasset,23895,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047519
7,ter 25/09/2018,16:00,Toulouse,Saint-Étienne,4-2-3-1,Jean-Louis Gasset,14008,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047530
8,sex 28/09/2018,15:45,Saint-Étienne,Monaco,4-2-3-1,Jean-Louis Gasset,26486,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047539
9,sáb 06/10/2018,12:00,Lille,Saint-Étienne,4-2-3-1,Jean-Louis Gasset,31263,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047545
10,dom 21/10/2018,12:00,Saint-Étienne,Rennes,4-2-3-1,Jean-Louis Gasset,29557,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047559
11,sex 26/10/2018,15:45,Nîmes Olympique,Saint-Étienne,4-2-3-1,Jean-Louis Gasset,15412,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047568
12,dom 04/11/2018,14:00,Saint-Étienne,Angers,4-2-3-1,Jean-Louis Gasset,22983,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047579
13,sáb 10/11/2018,17:00,Saint-Étienne,Reims,4-2-3-1,Jean-Louis Gasset,22838,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047589
14,sex 23/11/2018,18:00,Lyon,Saint-Étienne,3-4-1-2,Jean-Louis Gasset,55701,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047594
15,sex 30/11/2018,17:45,Saint-Étienne,Nantes,4-2-3-1,Jean-Louis Gasset,21884,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047609
16,qua 05/12/2018,16:00,Bordeaux,Saint-Étienne,4-2-3-1,Jean-Louis Gasset,23375,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047612
17,qua 16/01/2019,18:00,Saint-Étienne,Marselha,3-4-1-2,Jean-Louis Gasset,28146,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047658
18,dom 16/12/2018,14:00,Nice,Saint-Étienne,3-4-1-2,Jean-Louis Gasset,19250,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047696
19,sáb 22/12/2018,18:00,Saint-Étienne,Dijon,3-4-1-2,Jean-Louis Gasset,26215,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047708
20,sáb 12/01/2019,17:00,Guingamp,Saint-Étienne,3-4-1-2,Jean-Louis Gasset,15342,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047714
21,dom 20/01/2019,18:00,Saint-Étienne,Lyon,3-4-1-2,Jean-Louis Gasset,41594,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047730
22,qua 30/01/2019,18:00,Nantes,Saint-Étienne,3-4-3 plano,Jean-Louis Gasset,28748,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047736
