position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,FC Paris Saint-Germain,38,27,4,7,89:40,49,85,https://www.transfermarkt.com.br/fc-paris-saint-germain/spielplan/verein/583/saison_id/2022
2,RC Lens,38,25,9,4,68:29,39,84,https://www.transfermarkt.com.br/rc-lens/spielplan/verein/826/saison_id/2022
3,Olympique Marselha,38,22,7,9,67:40,27,73,https://www.transfermarkt.com.br/olympique-marseille/spielplan/verein/244/saison_id/2022
4,Stade Rennais FC,38,21,5,12,69:39,30,68,https://www.transfermarkt.com.br/fc-stade-rennes/spielplan/verein/273/saison_id/2022
5,LOSC Lille,38,19,10,9,65:44,21,67,https://www.transfermarkt.com.br/losc-lille/spielplan/verein/1082/saison_id/2022
6,AS Monaco,38,19,8,11,70:58,12,65,https://www.transfermarkt.com.br/as-monaco/spielplan/verein/162/saison_id/2022
7,Olympique Lyon,38,18,8,12,65:47,18,62,https://www.transfermarkt.com.br/olympique-lyon/spielplan/verein/1041/saison_id/2022
8,Clermont Foot 63,38,17,8,13,45:49,-4,59,https://www.transfermarkt.com.br/clermont-foot-63/spielplan/verein/3524/saison_id/2022
9,OGC Nice,38,15,13,10,48:37,11,58,https://www.transfermarkt.com.br/ogc-nizza/spielplan/verein/417/saison_id/2022
10,FC Lorient,38,15,10,13,52:53,-1,55,https://www.transfermarkt.com.br/fc-lorient/spielplan/verein/1158/saison_id/2022
11,Stade Reims,38,12,15,11,45:45,0,51,https://www.transfermarkt.com.br/stade-reims/spielplan/verein/1421/saison_id/2022
12,Montpellier HSC,38,15,5,18,65:62,3,50,https://www.transfermarkt.com.br/montpellier-hsc/spielplan/verein/969/saison_id/2022
13,FC Toulouse,38,13,9,16,51:57,-6,48,https://www.transfermarkt.com.br/fc-toulouse/spielplan/verein/415/saison_id/2022
14,Stade Brestois 29,38,11,11,16,44:54,-10,44,https://www.transfermarkt.com.br/stade-brest-29/spielplan/verein/3911/saison_id/2022
15,RC Strasbourg Alsace,38,9,13,16,51:59,-8,40,https://www.transfermarkt.com.br/rc-strassburg-alsace/spielplan/verein/667/saison_id/2022
16,FC Nantes,38,7,15,16,37:55,-18,36,https://www.transfermarkt.com.br/fc-nantes/spielplan/verein/995/saison_id/2022
17,AJ Auxerre,38,8,11,19,35:63,-28,35,https://www.transfermarkt.com.br/aj-auxerre/spielplan/verein/290/saison_id/2022
18,AC Ajaccio,38,7,5,26,23:74,-51,26,https://www.transfermarkt.com.br/ac-ajaccio/spielplan/verein/1147/saison_id/2022
19,ESTAC Troyes,38,4,12,22,45:81,-36,24,https://www.transfermarkt.com.br/es-troyes-ac/spielplan/verein/1095/saison_id/2022
20,Angers SCO,38,4,6,28,33:81,-48,18,https://www.transfermarkt.com.br/sco-angers/spielplan/verein/1420/saison_id/2022
