round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 05/08/2022,16:00,Lyon,AC Ajaccio,4-4-2,Olivier Pantaloni,48516,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839732
2,dom 14/08/2022,10:00,AC Ajaccio,Lens,4-4-2,Olivier Pantaloni,9070,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839774
3,dom 21/08/2022,12:05,Rennes,AC Ajaccio,4-4-2 duplo 6,Olivier Pantaloni,27592,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839824
4,sex 26/08/2022,16:00,AC Ajaccio,Lille,4-4-2,Olivier Pantaloni,9070,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839840
5,qua 31/08/2022,14:00,Montpellier,AC Ajaccio,4-4-2,Olivier Pantaloni,10051,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3839866
6,dom 04/09/2022,10:00,AC Ajaccio,FC Lorient,4-4-2,Olivier Pantaloni,7000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840007
7,dom 11/09/2022,10:00,AC Ajaccio,Nice,4-4-2 duplo 6,Olivier Pantaloni,7068,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840017
8,dom 18/09/2022,10:00,Brest,AC Ajaccio,4-4-2,Olivier Pantaloni,11153,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840035
9,dom 02/10/2022,10:00,AC Ajaccio,Clermont Foot,4-4-2,Olivier Pantaloni,6610,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840039
10,sáb 08/10/2022,12:00,Marselha,AC Ajaccio,4-4-2 duplo 6,Olivier Pantaloni,63312,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840055
11,dom 16/10/2022,10:00,Troyes,AC Ajaccio,4-4-2,Olivier Pantaloni,7731,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840068
12,sex 21/10/2022,16:00,AC Ajaccio,PSG,4-4-2 duplo 6,Olivier Pantaloni,10000,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840069
13,dom 30/10/2022,09:00,Auxerre,AC Ajaccio,4-4-2,Olivier Pantaloni,15092,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840079
14,sáb 05/11/2022,13:00,AC Ajaccio,Strasbourg,4-4-2,Olivier Pantaloni,7203,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840089
15,dom 13/11/2022,11:00,Nantes,AC Ajaccio,4-4-2,Olivier Pantaloni,29407,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840100
16,qua 28/12/2022,11:00,AC Ajaccio,Angers,4-4-2,Olivier Pantaloni,7088,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840109
17,dom 01/01/2023,11:00,Toulouse,AC Ajaccio,4-4-2,Olivier Pantaloni,25957,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840128
18,qua 11/01/2023,15:00,AC Ajaccio,Reims,4-4-2,Olivier Pantaloni,6648,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840129
19,dom 15/01/2023,13:05,Monaco,AC Ajaccio,5-4-1 plano,Olivier Pantaloni,8000,7:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840139
20,dom 29/01/2023,13:05,AC Ajaccio,Lyon,4-4-2,Olivier Pantaloni,9788,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840149
21,qua 01/02/2023,15:00,Angers,AC Ajaccio,4-4-2,Olivier Pantaloni,7255,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840160
22,dom 05/02/2023,11:00,AC Ajaccio,Nantes,4-4-2 duplo 6,Olivier Pantaloni,6908,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840169
23,sex 10/02/2023,17:00,Nice,AC Ajaccio,4-1-4-1,Olivier Pantaloni,20163,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840185
24,dom 19/02/2023,11:00,FC Lorient,AC Ajaccio,4-1-4-1,Olivier Pantaloni,12918,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840190
25,dom 26/02/2023,11:00,AC Ajaccio,Troyes,4-4-2,Olivier Pantaloni,5983,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840199
26,dom 05/03/2023,11:00,Reims,AC Ajaccio,4-4-2,Olivier Pantaloni,12855,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840216
27,dom 12/03/2023,11:00,AC Ajaccio,Montpellier,4-4-2,Olivier Pantaloni,6889,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3840219
