round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,dom 13/08/2023,10:00,Nantes,Toulouse,3-4-1-2,Pierre Aristouy,30578,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094584
2,dom 20/08/2023,08:00,Lille,Nantes,3-4-2-1,Pierre Aristouy,34356,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094590
3,sex 25/08/2023,16:00,Nantes,Monaco,3-4-3 plano,Pierre Aristouy,28429,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094603
4,sex 01/09/2023,16:00,Nantes,Marselha,3-4-3 plano,Pierre Aristouy,34600,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094610
5,dom 17/09/2023,10:00,Clermont Foot,Nantes,4-2-3-1,Pierre Aristouy,9775,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094620
6,sáb 23/09/2023,12:00,Nantes,FC Lorient,4-4-2,Pierre Aristouy,30704,5:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094627
7,dom 01/10/2023,15:45,Rennes,Nantes,4-2-3-1,Pierre Aristouy,27316,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094633
8,sex 06/10/2023,16:00,Strasbourg,Nantes,3-4-2-1,Pierre Aristouy,25274,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094641
9,dom 22/10/2023,10:00,Nantes,Montpellier,4-3-3 ofensivo,Pierre Aristouy,26864,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094657
10,sáb 28/10/2023,16:00,Lens,Nantes,3-4-2-1,Pierre Aristouy,38223,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094664
11,dom 05/11/2023,11:00,Nantes,Reims,3-4-2-1,Pierre Aristouy,33621,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094676
12,dom 12/11/2023,11:00,FC Metz,Nantes,3-4-2-1,Pierre Aristouy,21674,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094683
13,dom 26/11/2023,11:00,Nantes,Le Havre,4-2-3-1,Pierre Aristouy,29346,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094693
14,sáb 02/12/2023,17:00,Nantes,Nice,4-2-3-1,Jocelyn Gourvennec,26560,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094701
15,sáb 09/12/2023,17:00,PSG,Nantes,4-2-3-1,Jocelyn Gourvennec,47926,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094704
16,dom 17/12/2023,09:00,Nantes,Brest,4-2-3-1,Jocelyn Gourvennec,30075,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094719
17,qua 20/12/2023,17:00,Lyon,Nantes,3-4-1-2,Jocelyn Gourvennec,40028,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094725
18,dom 14/01/2024,11:00,Nantes,Clermont Foot,4-4-2,Jocelyn Gourvennec,20866,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094736
19,dom 28/01/2024,11:00,Reims,Nantes,4-3-3 ofensivo,Jocelyn Gourvennec,14388,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094747
20,sáb 03/02/2024,17:00,Nantes,Lens,4-4-1-1,Jocelyn Gourvennec,34167,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094755
21,dom 11/02/2024,11:00,Toulouse,Nantes,4-3-3 ofensivo,Jocelyn Gourvennec,28933,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094759
22,sáb 17/02/2024,17:00,Nantes,PSG,5-3-2,Jocelyn Gourvennec,34038,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094773
23,sáb 24/02/2024,13:00,FC Lorient,Nantes,5-3-2,Jocelyn Gourvennec,16783,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094780
24,dom 03/03/2024,11:00,Nantes,FC Metz,5-3-2,Jocelyn Gourvennec,27132,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094791
25,dom 10/03/2024,16:45,Marselha,Nantes,5-3-2,Jocelyn Gourvennec,56958,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094796
26,sáb 16/03/2024,13:00,Nantes,Strasbourg,4-2-3-1,Jocelyn Gourvennec,29487,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094809
27,dom 31/03/2024,10:00,Nice,Nantes,4-2-3-1,Antoine Kombouaré,21142,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094817
28,dom 07/04/2024,15:45,Nantes,Lyon,4-2-3-1,Antoine Kombouaré,x,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094827
29,dom 14/04/2024,08:00,Le Havre,Nantes,4-2-3-1,Antoine Kombouaré,23021,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094837
30,sáb 20/04/2024,12:00,Nantes,Rennes,4-1-4-1,Antoine Kombouaré,25433,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094845
31,sex 26/04/2024,16:00,Montpellier,Nantes,4-2-3-1,Antoine Kombouaré,17331,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094856
32,sáb 04/05/2024,16:00,Brest,Nantes,3-4-3 plano,Antoine Kombouaré,15159,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094865
33,dom 12/05/2024,16:00,Nantes,Lille,3-5-2 plano,Antoine Kombouaré,26529,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094872
34,dom 19/05/2024,16:00,Monaco,Nantes,4-4-1-1,Antoine Kombouaré,7343,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4094877
