round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 10/08/1996,19:00,AS Red Star 93,Perpignan,?,Jean-Pierre Carayon,1087,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026302
2,sex 16/08/1996,19:00,Perpignan,Louh.-Cuiseaux,?,Jean-Pierre Carayon,2595,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026313
3,seg 19/08/1996,19:00,O Charleville,Perpignan,?,Jean-Pierre Carayon,2270,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026324
4,sex 23/08/1996,19:00,Perpignan,FC Sochaux,?,Jean-Pierre Carayon,4585,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026335
5,qui 29/08/1996,19:00,Troyes,Perpignan,?,Jean-Pierre Carayon,4717,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026350
6,ter 03/09/1996,19:00,Perpignan,Stade Lavallois,?,Jean-Pierre Carayon,2682,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026363
7,sex 06/09/1996,19:00,ASOA Valence,Perpignan,?,Jean-Pierre Carayon,2293,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026375
8,sex 13/09/1996,19:00,Perpignan,Saint-Étienne,?,Jean-Pierre Carayon,3710,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026385
9,ter 17/09/1996,19:00,FC Lorient,Perpignan,?,Jean-Pierre Carayon,2000,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026396
10,sex 20/09/1996,19:00,Perpignan,Chamois Niort,?,Jean-Pierre Carayon,,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026402
11,sex 27/09/1996,19:00,AS Beauvais,Perpignan,?,Jean-Pierre Carayon,1926,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026417
12,ter 01/10/1996,19:00,FC Gueugnon,Perpignan,?,Jean-Pierre Carayon,2410,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026429
13,sex 04/10/1996,19:00,Perpignan,SC Toulon 83,?,Jean-Pierre Carayon,2465,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026470
14,sex 11/10/1996,20:00,FC Martigues,Perpignan,?,Jean-Pierre Carayon,2304,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026473
15,sex 18/10/1996,20:00,Perpignan,SAS Epinal,?,Jean-Pierre Carayon,1889,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026493
16,sex 25/10/1996,20:00,LB Châteauroux,Perpignan,?,Jean-Pierre Carayon,4500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026497
17,sex 01/11/1996,21:00,Perpignan,Le Mans UC 72,?,Jean-Pierre Carayon,1470,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026512
18,qua 06/11/1996,21:00,Toulouse,Perpignan,?,Jean-Pierre Carayon,7607,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026519
19,ter 12/11/1996,21:00,Perpignan,Amiens SC,?,Jean-Pierre Carayon,1727,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026536
20,sex 15/11/1996,21:00,Stade Briochin,Perpignan,?,Jean-Pierre Carayon,3647,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026542
21,sex 22/11/1996,21:00,Perpignan,Mulhouse S-A,?,Jean-Pierre Carayon,1970,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026557
22,sáb 07/12/1996,21:00,Louh.-Cuiseaux,Perpignan,?,Jean-Pierre Carayon,850,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026590
23,sex 13/12/1996,21:00,Perpignan,O Charleville,?,Jean-Pierre Carayon,1626,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026600
24,sex 24/01/1997,21:00,FC Sochaux,Perpignan,?,Jean-Pierre Carayon,3768,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026609
25,sex 31/01/1997,21:00,Perpignan,Troyes,?,Jean-Pierre Carayon,1846,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026623
26,sex 14/02/1997,21:00,Stade Lavallois,Perpignan,?,Jean-Pierre Carayon,3261,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026635
27,sex 21/02/1997,20:00,Perpignan,ASOA Valence,?,Jean-Pierre Carayon,1830,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026646
28,sex 07/03/1997,20:00,Saint-Étienne,Perpignan,?,Christian Mattiello,5000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026652
29,ter 11/03/1997,20:00,Perpignan,FC Lorient,?,Christian Mattiello,1845,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026662
30,sex 14/03/1997,20:00,Chamois Niort,Perpignan,?,Christian Mattiello,4050,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026672
31,sex 21/03/1997,20:00,Perpignan,AS Beauvais,?,Christian Mattiello,3013,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026691
32,ter 25/03/1997,20:00,Perpignan,FC Gueugnon,?,Christian Mattiello,1773,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026695
33,seg 31/03/1997,19:00,SC Toulon 83,Perpignan,?,Christian Mattiello,2632,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026707
34,sex 04/04/1997,19:00,Perpignan,FC Martigues,?,Christian Mattiello,2485,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026720
35,qui 10/04/1997,19:00,SAS Epinal,Perpignan,?,Christian Mattiello,1500,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026730
36,ter 15/04/1997,19:00,Perpignan,LB Châteauroux,?,Christian Mattiello,3344,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026738
37,qui 24/04/1997,19:00,Le Mans UC 72,Perpignan,?,Christian Mattiello,1500,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026750
38,ter 29/04/1997,19:00,Perpignan,Toulouse,?,Christian Mattiello,4220,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026758
39,sex 02/05/1997,19:00,Amiens SC,Perpignan,?,Christian Mattiello,3670,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026772
40,qui 08/05/1997,19:00,Perpignan,Stade Briochin,?,Christian Mattiello,,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026790
41,qua 07/05/1997,19:00,Mulhouse S-A,Perpignan,?,Christian Mattiello,2989,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026801
42,sex 23/05/1997,19:00,Perpignan,AS Red Star 93,?,Christian Mattiello,2196,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1026806
