round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 01/08/1997,19:00,Nice,AS Red Star 93,?,Jean Sérafin,5000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008463
2,sex 08/08/1997,19:00,AS Red Star 93,Louh.-Cuiseaux,?,Jean Sérafin,1120,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008475
3,dom 17/08/1997,19:00,AS Beauvais,AS Red Star 93,?,Jean Sérafin,2452,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008486
4,ter 19/08/1997,19:00,AS Red Star 93,Saint-Étienne,?,Jean Sérafin,2500,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008498
5,sex 22/08/1997,19:00,FC Martigues,AS Red Star 93,?,Jean Sérafin,1522,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008511
6,sex 29/08/1997,19:00,AS Red Star 93,Lille,?,Jean Sérafin,3211,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008521
7,ter 02/09/1997,19:00,Nîmes Olympique,AS Red Star 93,?,Jean Sérafin,7545,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008525
8,sex 05/09/1997,19:00,AS Red Star 93,Le Mans UC 72,?,Jean Sérafin,1792,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008538
9,sex 12/09/1997,19:00,FC Sochaux,AS Red Star 93,?,Jean Sérafin,3872,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008554
10,sex 19/09/1997,19:00,FC Lorient,AS Red Star 93,?,Jean Sérafin,7619,5:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008822
11,ter 23/09/1997,19:00,AS Red Star 93,ASOA Valence,?,Jean Sérafin,1816,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008827
12,sáb 27/09/1997,19:00,FC Gueugnon,AS Red Star 93,?,Jean Sérafin,3235,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008838
13,sex 03/10/1997,19:00,AS Red Star 93,Amiens SC,?,Jean Sérafin,1810,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008847
14,ter 07/10/1997,20:00,Mulhouse S-A,AS Red Star 93,?,Jean Sérafin,2211,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008862
15,ter 14/10/1997,20:00,AS Red Star 93,AS Nancy,?,Jean Sérafin,3937,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008869
16,qui 16/10/1997,20:00,Troyes,AS Red Star 93,?,Jean Sérafin,4840,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008878
17,sex 24/10/1997,20:00,AS Red Star 93,Wasquehal,?,Jean Sérafin,1615,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008892
18,dom 02/11/1997,21:00,SM Caen,AS Red Star 93,?,Jean Sérafin,6509,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008904
19,sex 07/11/1997,21:00,AS Red Star 93,Stade Lavallois,?,Jean Sérafin,2011,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008911
20,sex 14/11/1997,21:00,Chamois Niort,AS Red Star 93,?,Jean Sérafin,3379,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008925
21,seg 17/11/1997,21:00,AS Red Star 93,SC Toulon 83,?,Jean Sérafin,1613,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008938
22,sex 21/11/1997,21:00,Louh.-Cuiseaux,AS Red Star 93,?,Jean Sérafin,1258,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008951
23,ter 02/12/1997,21:00,AS Red Star 93,AS Beauvais,?,Jean Sérafin,1202,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008960
24,sex 05/12/1997,21:00,Saint-Étienne,AS Red Star 93,?,Jean Sérafin,3701,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008973
25,qua 12/11/1997,21:00,AS Red Star 93,FC Martigues,?,Jean Sérafin,1678,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008986
26,sex 09/01/1998,21:00,Lille,AS Red Star 93,?,Jean Sérafin,6860,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008996
27,ter 20/01/1998,21:00,AS Red Star 93,Nîmes Olympique,?,Jean Sérafin,1500,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009008
28,ter 20/01/1998,21:00,Le Mans UC 72,AS Red Star 93,?,Jean Sérafin,2000,6:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009016
29,qui 29/01/1998,21:00,AS Red Star 93,FC Sochaux,?,Jean Sérafin,1473,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009026
30,ter 10/02/1998,21:00,AS Red Star 93,FC Lorient,?,Jean Sérafin,2822,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009035
31,sex 13/02/1998,21:00,ASOA Valence,AS Red Star 93,?,Jean Sérafin,2916,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009052
32,sex 20/02/1998,21:00,AS Red Star 93,FC Gueugnon,?,Jean Sérafin,1810,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009056
33,sex 06/03/1998,20:00,Amiens SC,AS Red Star 93,?,Jean Sérafin,4566,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009070
34,sex 13/03/1998,20:00,AS Red Star 93,Mulhouse S-A,?,Jean Sérafin,1594,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009078
35,sex 20/03/1998,20:00,AS Nancy,AS Red Star 93,?,Jean Sérafin,4988,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009092
36,sex 27/03/1998,20:00,AS Red Star 93,Troyes,?,Jean Sérafin,2010,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009101
37,seg 06/04/1998,19:00,Wasquehal,AS Red Star 93,?,Jean Sérafin,1802,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009111
38,sex 17/04/1998,19:00,AS Red Star 93,SM Caen,?,Jean Sérafin,3330,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009128
39,qui 23/04/1998,19:00,Stade Lavallois,AS Red Star 93,?,Jean Sérafin,3714,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009138
40,ter 28/04/1998,19:00,AS Red Star 93,Chamois Niort,?,Jean Sérafin,2330,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009147
41,seg 04/05/1998,19:00,SC Toulon 83,AS Red Star 93,?,Jean Sérafin,1548,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009159
42,qui 07/05/1998,19:00,AS Red Star 93,Nice,?,Jean Sérafin,2325,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009171
