round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 01/08/1997,19:00,Wasquehal,Mulhouse S-A,?,Gilles Bourges,1625,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008458
2,sex 08/08/1997,19:00,Mulhouse S-A,SM Caen,?,Gilles Bourges,2037,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008471
3,dom 17/08/1997,19:00,Stade Lavallois,Mulhouse S-A,?,Gilles Bourges,4138,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008481
4,ter 19/08/1997,19:00,Mulhouse S-A,Chamois Niort,?,Gilles Bourges,2046,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008493
5,sex 22/08/1997,19:00,SC Toulon 83,Mulhouse S-A,?,Gilles Bourges,2387,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1012057
6,sex 29/08/1997,19:00,Mulhouse S-A,Nice,?,Gilles Bourges,2369,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008515
7,ter 02/09/1997,19:00,Louh.-Cuiseaux,Mulhouse S-A,?,Gilles Bourges,2028,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008530
8,sex 05/09/1997,19:00,Mulhouse S-A,AS Beauvais,?,Gilles Bourges,2063,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008543
9,sex 12/09/1997,19:00,Lille,Mulhouse S-A,?,Gilles Bourges,10375,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008553
10,sex 19/09/1997,19:00,Mulhouse S-A,FC Martigues,?,Gilles Bourges,2064,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008815
11,ter 23/09/1997,19:00,Saint-Étienne,Mulhouse S-A,?,Gilles Bourges,4969,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008830
12,sáb 27/09/1997,19:00,Mulhouse S-A,Nîmes Olympique,?,Gilles Bourges,2466,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008841
13,sex 03/10/1997,19:00,Le Mans UC 72,Mulhouse S-A,?,Gilles Bourges,2580,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008845
14,ter 07/10/1997,20:00,Mulhouse S-A,AS Red Star 93,?,Gilles Bourges,2211,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008862
15,ter 14/10/1997,20:00,FC Lorient,Mulhouse S-A,?,Gilles Bourges,5000,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008868
16,qui 16/10/1997,20:00,Mulhouse S-A,ASOA Valence,?,Gilles Bourges,2873,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008881
17,sex 24/10/1997,20:00,FC Gueugnon,Mulhouse S-A,?,Gilles Bourges,2812,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008890
18,dom 02/11/1997,21:00,Mulhouse S-A,Amiens SC,?,Gilles Bourges,4786,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008903
19,sex 07/11/1997,21:00,FC Sochaux,Mulhouse S-A,?,Gilles Bourges,5064,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008920
20,sex 14/11/1997,21:00,AS Nancy,Mulhouse S-A,?,Gilles Bourges,6000,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008929
21,seg 17/11/1997,21:00,Mulhouse S-A,Troyes,?,Gilles Bourges,2042,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008933
22,sex 21/11/1997,21:00,SM Caen,Mulhouse S-A,?,Gilles Bourges,6564,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1008954
