round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 29/07/2000,15:00,LB Châteauroux,FC Martigues,?,Mahmoud Guendouz,6220,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007177
2,sáb 05/08/2000,15:00,Le Mans UC 72,FC Martigues,?,Mahmoud Guendouz,3843,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007188
3,dom 13/08/2000,12:00,FC Martigues,Angers,?,Mahmoud Guendouz,779,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007202
4,sáb 19/08/2000,15:00,Cannes,FC Martigues,?,Mahmoud Guendouz,2569,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007205
5,sáb 26/08/2000,15:00,FC Martigues,Le Havre,?,Mahmoud Guendouz,1780,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007219
6,ter 29/08/2000,15:00,Montpellier,FC Martigues,?,Mahmoud Guendouz,9825,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007229
7,sex 01/09/2000,15:00,FC Martigues,FC Sochaux,?,Mahmoud Guendouz,1806,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007242
8,qua 06/09/2000,15:00,FC Lorient,FC Martigues,?,Mahmoud Guendouz,4978,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007248
9,sáb 09/09/2000,15:00,FC Martigues,Wasquehal,?,Mahmoud Guendouz,1539,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007259
10,sex 15/09/2000,15:00,AS Nancy,FC Martigues,?,Mahmoud Guendouz,6368,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007263
11,sáb 23/09/2000,15:00,FC Martigues,FC Gueugnon,?,Mahmoud Guendouz,1623,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007279
12,sáb 30/09/2000,15:00,Stade Lavallois,FC Martigues,?,Mahmoud Guendouz,4442,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007285
13,sáb 07/10/2000,15:00,FC Martigues,US Créteil,?,Mahmoud Guendouz,1307,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007300
14,qua 11/10/2000,16:00,Nice,FC Martigues,?,Mahmoud Guendouz,2125,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007310
15,sáb 14/10/2000,16:00,FC Martigues,AS Beauvais,?,Mahmoud Guendouz,1180,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007318
16,sáb 21/10/2000,16:00,Nîmes Olympique,FC Martigues,?,Mahmoud Guendouz,5218,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007330
17,sáb 28/10/2000,16:00,FC Martigues,SM Caen,?,Mahmoud Guendouz,1287,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007340
18,sáb 04/11/2000,17:00,Chamois Niort,FC Martigues,?,Mahmoud Guendouz,4773,6:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007349
19,sáb 11/11/2000,17:00,FC Martigues,AC Ajaccio,?,Mahmoud Guendouz,1299,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007363
20,sáb 18/11/2000,17:00,FC Martigues,Le Mans UC 72,?,Mahmoud Guendouz,1182,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007373
21,qua 29/11/2000,17:00,Angers,FC Martigues,?,Mahmoud Guendouz,3280,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007377
22,sáb 02/12/2000,17:00,FC Martigues,Cannes,?,Christian Caminiti,1271,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007390
23,sáb 09/12/2000,17:00,Le Havre,FC Martigues,?,Christian Caminiti,7263,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007402
24,qui 21/12/2000,17:30,FC Martigues,Montpellier,?,Christian Caminiti,2043,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007413
25,sáb 13/01/2001,17:00,FC Sochaux,FC Martigues,?,Christian Caminiti,9883,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007425
26,sáb 27/01/2001,17:00,FC Martigues,FC Lorient,?,Christian Caminiti,1273,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007431
27,sáb 03/02/2001,17:00,Wasquehal,FC Martigues,?,Christian Caminiti,1002,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007444
28,qua 07/02/2001,17:00,FC Martigues,AS Nancy,?,Christian Caminiti,1278,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007453
29,sáb 17/02/2001,17:00,FC Gueugnon,FC Martigues,?,Christian Caminiti,2691,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007462
30,sáb 03/03/2001,16:00,FC Martigues,Stade Lavallois,?,Christian Caminiti,1205,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007475
31,sáb 17/03/2001,16:00,US Créteil,FC Martigues,?,Christian Caminiti,1884,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007482
32,sex 23/03/2001,16:00,FC Martigues,Nice,?,Christian Caminiti,1571,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007494
33,sáb 14/04/2001,15:00,AS Beauvais,FC Martigues,?,Christian Caminiti,2663,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007507
34,sáb 07/04/2001,15:00,FC Martigues,Nîmes Olympique,?,Christian Caminiti,1710,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007515
35,sex 20/04/2001,15:00,SM Caen,FC Martigues,?,Christian Caminiti,11414,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007527
36,sáb 28/04/2001,15:00,FC Martigues,Chamois Niort,?,Christian Caminiti,1644,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007536
37,sex 11/05/2001,15:00,AC Ajaccio,FC Martigues,?,Christian Caminiti,1759,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007538
38,sex 18/05/2001,15:00,FC Martigues,LB Châteauroux,?,Christian Caminiti,1175,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007554
