round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 03/08/2002,15:00,LB Châteauroux,AS Beauvais,?,Baptiste Gentili,4738,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005771
2,sáb 10/08/2002,15:00,AS Beauvais,Clermont FA,?,Baptiste Gentili,2250,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005778
3,sáb 17/08/2002,15:00,Stade Lavallois,AS Beauvais,?,Baptiste Gentili,3612,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005796
4,sáb 24/08/2002,15:00,AS Beauvais,FC Gueugnon,?,Baptiste Gentili,2293,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005798
5,sex 30/08/2002,15:00,Grenoble,AS Beauvais,?,Baptiste Gentili,5171,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005809
6,qua 04/09/2002,15:00,AS Beauvais,FC Istres,?,Baptiste Gentili,2258,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005818
7,qua 11/09/2002,15:30,Reims,AS Beauvais,?,Baptiste Gentili,6036,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005836
8,sáb 14/09/2002,15:00,AS Beauvais,Toulouse,?,Baptiste Gentili,4045,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005838
9,sáb 21/09/2002,15:00,Amiens SC,AS Beauvais,?,Baptiste Gentili,7743,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005850
10,sáb 28/09/2002,15:00,AS Beauvais,FC Lorient,?,Baptiste Gentili,3668,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005898
11,sáb 05/10/2002,15:00,FC Metz,AS Beauvais,?,Baptiste Gentili,10063,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005923
12,sáb 19/10/2002,15:00,AS Beauvais,Saint-Étienne,?,Baptiste Gentili,6362,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005929
13,sáb 26/10/2002,15:00,Chamois Niort,AS Beauvais,?,Baptiste Gentili,3879,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005944
14,sáb 02/11/2002,16:00,AS Beauvais,Wasquehal,?,Baptiste Gentili,3252,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005950
15,sáb 09/11/2002,17:00,Le Mans UC 72,AS Beauvais,?,Baptiste Gentili,6799,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005961
16,sáb 16/11/2002,17:00,US Créteil-L,AS Beauvais,?,Baptiste Gentili,2010,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005972
17,qua 11/12/2002,17:00,AS Beauvais,ASOA Valence,?,Baptiste Gentili,2986,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005987
18,qua 04/12/2002,17:30,SM Caen,AS Beauvais,?,Baptiste Gentili,11874,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1005988
19,qui 19/12/2002,17:30,AS Beauvais,AS Nancy,?,Baptiste Gentili,2703,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006001
20,sex 14/02/2003,17:00,Clermont FA,AS Beauvais,?,Baptiste Gentili,4833,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006013
