round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 06/08/2010,15:00,LB Châteauroux,FC Istres,?,José Pasqualetti,4993,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1036788
2,sex 13/08/2010,15:00,FC Istres,Tours FC,?,José Pasqualetti,1709,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040756
3,ter 17/08/2010,15:00,Reims,FC Istres,?,José Pasqualetti,8077,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040770
4,sex 20/08/2010,15:00,FC Istres,Dijon,?,José Pasqualetti,1788,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040775
5,sex 27/08/2010,15:00,US Boulogne,FC Istres,?,José Pasqualetti,8653,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1040785
6,sex 10/09/2010,15:00,FC Istres,Grenoble,?,José Pasqualetti,1800,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043941
7,dom 19/09/2010,10:00,Angers,FC Istres,?,José Pasqualetti,5651,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1048154
8,sex 24/09/2010,15:00,FC Istres,Clermont Foot,?,José Pasqualetti,1746,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1048164
9,sex 01/10/2010,15:00,CS Sedan,FC Istres,?,José Pasqualetti,7643,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1052116
10,sex 15/10/2010,15:00,FC Istres,Nîmes Olympique,?,José Pasqualetti,2253,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1052119
11,ter 19/10/2010,16:00,FC Istres,Le Havre,?,José Pasqualetti,1561,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1052134
12,sex 22/10/2010,16:00,Le Mans FC,FC Istres,?,José Pasqualetti,4896,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1052141
13,sex 29/10/2010,16:00,FC Istres,Évian,?,José Pasqualetti,1686,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1059774
14,sex 05/11/2010,17:00,Troyes,FC Istres,?,José Pasqualetti,6312,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1061507
15,sex 12/11/2010,17:00,FC Istres,Vannes,?,José Pasqualetti,1670,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1061982
16,sex 26/11/2010,17:00,Stade Lavallois,FC Istres,?,José Pasqualetti,4390,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1063796
17,sex 03/12/2010,17:00,FC Istres,Nantes,?,José Pasqualetti,2158,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1066416
