round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 01/08/2014,15:00,AS Nancy,Dijon,4-2-3-1,Olivier Dall'Oglio,14464,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2477752
2,sex 08/08/2014,15:00,Dijon,Stade Lavallois,4-3-3 ofensivo,Olivier Dall'Oglio,7281,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2481152
3,sex 15/08/2014,15:00,Nîmes Olympique,Dijon,4-3-3 ofensivo,Olivier Dall'Oglio,6092,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2484019
4,sáb 23/08/2014,09:00,Dijon,Auxerre,4-4-2 duplo 6,Olivier Dall'Oglio,10069,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486945
5,sex 29/08/2014,15:00,FC Sochaux,Dijon,4-3-3 ofensivo,Olivier Dall'Oglio,7652,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2486953
6,sex 12/09/2014,15:00,Dijon,Chamois Niort,4-3-3 ofensivo,Olivier Dall'Oglio,7819,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490417
7,sex 19/09/2014,15:00,G. Ajaccio,Dijon,4-4-2 duplo 6,Olivier Dall'Oglio,2071,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490425
8,ter 23/09/2014,15:55,Dijon,US Créteil-L,4-4-2 duplo 6,Olivier Dall'Oglio,7446,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2490435
9,sex 26/09/2014,15:00,Le Havre,Dijon,4-3-3 ofensivo,Olivier Dall'Oglio,7920,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2495651
10,sex 03/10/2014,15:00,Dijon,Clermont Foot,4-4-2 duplo 6,Olivier Dall'Oglio,8028,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2495662
11,seg 20/10/2014,16:30,Valenciennes,Dijon,4-4-2 duplo 6,Olivier Dall'Oglio,9058,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2501071
12,sáb 25/10/2014,10:00,Troyes,Dijon,4-4-2 duplo 6,Olivier Dall'Oglio,8379,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2501088
13,sex 31/10/2014,17:00,Dijon,AC Ajaccio,4-4-2 duplo 6,Olivier Dall'Oglio,9160,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2502489
14,sex 07/11/2014,17:00,Angers,Dijon,4-4-2 duplo 6,Olivier Dall'Oglio,7392,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2507083
15,sex 21/11/2014,17:00,Dijon,US Orléans,4-2-3-1,Olivier Dall'Oglio,7860,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2507096
16,sex 28/11/2014,17:00,AC Arles-Avignon,Dijon,4-4-2 duplo 6,Olivier Dall'Oglio,1426,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2507103
17,sáb 13/12/2014,11:00,Dijon,Brest,4-4-2 duplo 6,Olivier Dall'Oglio,9733,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2511717
18,sex 19/12/2014,17:00,LB Châteauroux,Dijon,4-3-3 ofensivo,Olivier Dall'Oglio,5265,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2511731
19,sex 09/01/2015,17:00,Dijon,Tours FC,4-3-3 ofensivo,Olivier Dall'Oglio,7265,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2520762
20,sex 16/01/2015,17:00,Stade Lavallois,Dijon,4-3-3 ofensivo,Olivier Dall'Oglio,4741,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2520774
21,sex 23/01/2015,17:00,Dijon,Nîmes Olympique,4-4-2 duplo 6,Olivier Dall'Oglio,7046,4:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2520784
22,sáb 31/01/2015,11:00,Auxerre,Dijon,4-4-2 duplo 6,Olivier Dall'Oglio,7062,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2520800
23,sáb 07/02/2015,11:00,Dijon,FC Sochaux,4-3-3 ofensivo,Olivier Dall'Oglio,10024,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2520805
