round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 29/07/2016,15:00,Troyes,FC Sochaux,3-4-2-1,Albert Cartier,6665,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2701721
2,sex 05/08/2016,15:00,FC Sochaux,Valenciennes,4-1-4-1,Albert Cartier,9499,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2726293
3,sex 12/08/2016,15:00,Clermont Foot,FC Sochaux,4-2-3-1,Albert Cartier,2481,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2726297
4,sex 19/08/2016,15:00,FC Sochaux,US Orléans,4-2-3-1,Albert Cartier,8291,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2726313
5,seg 29/08/2016,15:30,FC Sochaux,Brest,4-2-3-1,Albert Cartier,8976,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2726321
6,sex 09/09/2016,15:00,Auxerre,FC Sochaux,4-2-3-1,Albert Cartier,4809,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2746838
7,sex 16/09/2016,15:00,FC Sochaux,Reims,4-2-3-1,Albert Cartier,8194,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2747209
8,ter 20/09/2016,16:00,Stade Lavallois,FC Sochaux,4-2-3-1,Albert Cartier,4077,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2747225
9,sex 23/09/2016,15:00,FC Sochaux,AC Ajaccio,4-2-3-1,Albert Cartier,7473,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2747240
10,seg 03/10/2016,15:30,Le Havre,FC Sochaux,4-2-3-1,Albert Cartier,7339,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2747246
11,seg 17/10/2016,16:30,FC Sochaux,Lens,4-2-3-1,Albert Cartier,10179,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2747260
12,sex 21/10/2016,16:00,Nîmes Olympique,FC Sochaux,4-2-3-1,Albert Cartier,5974,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2747268
13,sáb 29/10/2016,11:00,FC Sochaux,Strasbourg,4-4-2,Albert Cartier,16037,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761182
14,sex 04/11/2016,17:00,Chamois Niort,FC Sochaux,4-2-3-1,Albert Cartier,3485,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761190
15,sex 18/11/2016,17:00,FC Sochaux,Tours FC,4-2-3-1,Albert Cartier,13776,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761202
16,sex 25/11/2016,17:00,G. Ajaccio,FC Sochaux,4-3-3 ofensivo,Albert Cartier,2950,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761206
17,ter 29/11/2016,18:00,FC Sochaux,Bourg-en-Bresse,4-2-3-1,Albert Cartier,6382,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761222
18,sex 09/12/2016,17:00,Amiens SC,FC Sochaux,4-2-3-1,Albert Cartier,7281,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761224
19,sex 16/12/2016,17:00,FC Sochaux,Red Star FC,4-2-3-1,Albert Cartier,8398,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761242
20,seg 16/01/2017,17:45,Valenciennes,FC Sochaux,4-5-1 plano,Albert Cartier,6567,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761263
21,sex 20/01/2017,17:00,FC Sochaux,Clermont Foot,4-2-3-1,Albert Cartier,6527,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761272
22,sex 27/01/2017,17:00,US Orléans,FC Sochaux,4-2-3-1,Albert Cartier,3322,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761279
23,sáb 04/02/2017,12:00,Brest,FC Sochaux,4-4-2 duplo 6,Albert Cartier,7513,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761287
24,ter 07/02/2017,18:00,FC Sochaux,Auxerre,4-2-3-1,Albert Cartier,7259,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761300
25,sáb 11/02/2017,12:00,Reims,FC Sochaux,4-2-3-1,Albert Cartier,9193,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761312
26,sex 17/02/2017,17:00,FC Sochaux,Stade Lavallois,4-2-3-1,Albert Cartier,6772,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761321
27,sex 24/02/2017,16:00,AC Ajaccio,FC Sochaux,4-5-1,Albert Cartier,2542,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761366
28,sex 03/03/2017,16:00,FC Sochaux,Le Havre,4-2-3-1,Albert Cartier,7835,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761397
29,seg 13/03/2017,16:45,Lens,FC Sochaux,4-4-2 duplo 6,Albert Cartier,28136,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761411
30,sex 17/03/2017,16:00,FC Sochaux,Nîmes Olympique,4-4-2 duplo 6,Albert Cartier,7724,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761439
31,seg 03/04/2017,15:45,Strasbourg,FC Sochaux,4-2-3-1,Albert Cartier,22631,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761462
32,sex 07/04/2017,15:00,FC Sochaux,Chamois Niort,4-2-3-1,Albert Cartier,9356,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761480
33,sex 14/04/2017,15:00,Tours FC,FC Sochaux,4-2-3-1,Albert Cartier,5502,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761518
34,sex 21/04/2017,15:00,FC Sochaux,G. Ajaccio,4-2-3-1,Albert Cartier,15511,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761556
35,sex 28/04/2017,15:00,Bourg-en-Bresse,FC Sochaux,5-3-2,Albert Cartier,3197,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761587
36,sex 05/05/2017,15:00,FC Sochaux,Amiens SC,5-3-2,Albert Cartier,10062,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761604
37,sex 12/05/2017,15:30,Red Star FC,FC Sochaux,5-4-1 plano,Albert Cartier,4009,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761612
38,sex 19/05/2017,15:30,FC Sochaux,Troyes,4-4-2,Albert Cartier,12328,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2761624
