round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 28/07/2017,15:00,FC Sochaux,Bourg-en-Bresse,4-3-1-2,Hervé Della Maggiore,7363,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2866853
2,sex 04/08/2017,15:00,Bourg-en-Bresse,Paris FC,4-3-1-2,Hervé Della Maggiore,2014,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2905264
3,sex 11/08/2017,15:00,Quevilly Rouen,Bourg-en-Bresse,3-1-4-2,Hervé Della Maggiore,588,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2866872
4,sex 18/08/2017,15:00,Reims,Bourg-en-Bresse,3-5-2,Hervé Della Maggiore,8376,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2867621
5,sex 25/08/2017,15:00,Bourg-en-Bresse,G. Ajaccio,5-3-2,Hervé Della Maggiore,2016,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2867623
6,sex 08/09/2017,15:00,Clermont Foot,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,2138,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873439
7,sex 15/09/2017,15:00,Bourg-en-Bresse,LB Châteauroux,5-3-2,Hervé Della Maggiore,2075,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873447
8,ter 19/09/2017,16:00,AS Nancy,Bourg-en-Bresse,3-1-4-2,Hervé Della Maggiore,10972,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873462
9,sex 22/09/2017,15:00,Bourg-en-Bresse,Le Havre,5-3-2,Hervé Della Maggiore,2211,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873557
10,sex 29/09/2017,15:00,AC Ajaccio,Bourg-en-Bresse,3-5-2 plano,Hervé Della Maggiore,2876,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2874856
11,sex 13/10/2017,15:00,Bourg-en-Bresse,Lens,3-5-2 plano,Hervé Della Maggiore,3165,0:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878404
12,sex 20/10/2017,16:00,Chamois Niort,Bourg-en-Bresse,3-4-1-2,Hervé Della Maggiore,3256,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878421
13,sex 27/10/2017,16:00,Bourg-en-Bresse,Auxerre,4-2-3-1,Hervé Della Maggiore,2730,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878434
14,sex 03/11/2017,17:00,Tours FC,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,3353,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878487
15,sex 17/11/2017,17:00,Bourg-en-Bresse,Valenciennes,4-4-1-1,Hervé Della Maggiore,4239,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2882330
16,sex 24/11/2017,17:00,Nîmes Olympique,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,6418,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2883403
17,ter 28/11/2017,18:00,Bourg-en-Bresse,US Orléans,4-2-3-1,Hervé Della Maggiore,2800,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2883408
18,sex 08/12/2017,17:00,Brest,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,6456,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2883437
19,sex 15/12/2017,17:00,Bourg-en-Bresse,FC Lorient,4-2-3-1,Hervé Della Maggiore,2775,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2883445
20,sex 12/01/2018,17:00,Paris FC,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,2806,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2896417
21,ter 16/01/2018,18:00,Bourg-en-Bresse,Quevilly Rouen,4-2-3-1,Hervé Della Maggiore,2500,3:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900799
22,sex 19/01/2018,17:00,Bourg-en-Bresse,Reims,4-2-3-1,Hervé Della Maggiore,3002,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900806
23,sex 26/01/2018,17:00,G. Ajaccio,Bourg-en-Bresse,4-4-2,Hervé Della Maggiore,2746,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900818
24,sex 02/02/2018,17:00,Bourg-en-Bresse,Clermont Foot,4-2-3-1,Hervé Della Maggiore,2824,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900828
25,sex 09/02/2018,17:00,LB Châteauroux,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,2508,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900839
26,sex 16/02/2018,17:00,Bourg-en-Bresse,AS Nancy,4-4-2,Hervé Della Maggiore,2800,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900981
27,sex 23/02/2018,16:00,Le Havre,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,5845,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2901009
28,sex 02/03/2018,16:00,Bourg-en-Bresse,AC Ajaccio,4-2-3-1,Hervé Della Maggiore,2774,5:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2903946
29,seg 12/03/2018,16:45,Lens,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,20366,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3016478
30,sex 16/03/2018,16:00,Bourg-en-Bresse,Chamois Niort,4-2-3-1,Hervé Della Maggiore,2845,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3018809
31,sex 30/03/2018,15:00,Auxerre,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,6674,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3023967
32,sex 06/04/2018,15:00,Bourg-en-Bresse,Tours FC,4-2-3-1,Hervé Della Maggiore,3724,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3028384
33,sex 13/04/2018,15:00,Valenciennes,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,11079,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3028407
34,sex 20/04/2018,15:00,Bourg-en-Bresse,Nîmes Olympique,3-4-3 plano,Hervé Della Maggiore,4189,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3028417
35,ter 24/04/2018,15:00,US Orléans,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,3570,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3028456
36,sex 27/04/2018,15:00,Bourg-en-Bresse,Brest,5-4-1 plano,Hervé Della Maggiore,3744,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3028492
37,sex 04/05/2018,15:45,FC Lorient,Bourg-en-Bresse,4-2-3-1,Hervé Della Maggiore,9429,6:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036419
38,sex 11/05/2018,15:45,Bourg-en-Bresse,FC Sochaux,4-2-3-1,Hervé Della Maggiore,4428,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3036427
