round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 28/07/2017,15:00,Brest,LB Châteauroux,4-2-3-1,Jean-Luc Vasseur,7571,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2866848
2,sex 04/08/2017,15:00,LB Châteauroux,Valenciennes,4-2-3-1,Jean-Luc Vasseur,3724,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2866858
3,seg 14/08/2017,13:45,FC Lorient,LB Châteauroux,4-1-4-1,Jean-Luc Vasseur,9105,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2866868
4,seg 21/08/2017,15:45,LB Châteauroux,Nîmes Olympique,3-4-3 plano,Jean-Luc Vasseur,3093,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2867614
5,sex 25/08/2017,15:00,FC Sochaux,LB Châteauroux,3-5-2 plano,Jean-Luc Vasseur,8431,1:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2867629
6,sex 08/09/2017,15:00,LB Châteauroux,Quevilly Rouen,4-2-3-1,Jean-Luc Vasseur,3014,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873438
7,sex 15/09/2017,15:00,Bourg-en-Bresse,LB Châteauroux,5-4-1 plano,Jean-Luc Vasseur,2075,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873447
8,ter 19/09/2017,16:00,LB Châteauroux,Clermont Foot,4-4-1-1,Jean-Luc Vasseur,3044,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873459
9,sex 22/09/2017,15:00,G. Ajaccio,LB Châteauroux,4-4-2,Jean-Luc Vasseur,2921,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2873560
10,sex 29/09/2017,15:00,AS Nancy,LB Châteauroux,4-2-3-1,Jean-Luc Vasseur,11040,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2874861
11,sex 13/10/2017,15:00,LB Châteauroux,Reims,5-3-2,Jean-Luc Vasseur,3319,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878406
12,sex 20/10/2017,16:00,Le Havre,LB Châteauroux,5-3-2,Jean-Luc Vasseur,6402,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878417
13,seg 30/10/2017,17:45,LB Châteauroux,Lens,3-4-1-2,Jean-Luc Vasseur,9530,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878436
14,sex 03/11/2017,17:00,AC Ajaccio,LB Châteauroux,3-3-3-1,Jean-Luc Vasseur,3682,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2878479
15,sex 17/11/2017,17:00,LB Châteauroux,Tours FC,3-4-3 plano,Jean-Luc Vasseur,6786,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2882331
16,sex 24/11/2017,17:00,Chamois Niort,LB Châteauroux,3-4-3 plano,Jean-Luc Vasseur,3069,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2883404
17,ter 28/11/2017,18:00,LB Châteauroux,Paris FC,3-1-4-2,Jean-Luc Vasseur,2743,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2977927
18,sex 08/12/2017,17:00,Auxerre,LB Châteauroux,5-3-2,Jean-Luc Vasseur,4279,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2883435
19,sex 15/12/2017,17:00,LB Châteauroux,US Orléans,5-3-2,Jean-Luc Vasseur,6550,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2883446
20,sex 12/01/2018,17:00,Valenciennes,LB Châteauroux,3-4-3 plano,Jean-Luc Vasseur,6458,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2896425
21,ter 16/01/2018,18:00,LB Châteauroux,FC Lorient,3-4-3 plano,Jean-Luc Vasseur,2812,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900800
22,sáb 20/01/2018,12:00,Nîmes Olympique,LB Châteauroux,3-4-3 plano,Jean-Luc Vasseur,7196,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900809
23,sex 26/01/2018,17:00,LB Châteauroux,FC Sochaux,3-4-3 plano,Jean-Luc Vasseur,2779,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900816
24,sex 02/02/2018,17:00,Quevilly Rouen,LB Châteauroux,3-4-3 plano,Jean-Luc Vasseur,2325,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900833
25,sex 09/02/2018,17:00,LB Châteauroux,Bourg-en-Bresse,3-4-3 plano,Jean-Luc Vasseur,2508,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2900839
