round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 27/07/2018,15:00,Valenciennes,Auxerre,4-3-3 ofensivo,Réginald Ray,6164,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047909
2,sex 03/08/2018,15:00,FC Sochaux,Valenciennes,4-3-3 ofensivo,Réginald Ray,6886,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047918
3,sex 10/08/2018,15:00,Valenciennes,LB Châteauroux,5-4-1 plano,Réginald Ray,6501,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047929
4,sex 17/08/2018,15:00,FC Lorient,Valenciennes,5-4-1 plano,Réginald Ray,x,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047935
5,seg 27/08/2018,15:45,Valenciennes,G. Ajaccio,4-3-3 ofensivo,Réginald Ray,6350,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047949
6,sex 31/08/2018,15:00,Valenciennes,Clermont Foot,4-2-3-1,Réginald Ray,6384,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047959
7,sex 14/09/2018,15:00,Grenoble,Valenciennes,4-2-3-1,Réginald Ray,6091,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047964
8,sex 21/09/2018,15:00,Valenciennes,Red Star FC,3-4-3 plano,Réginald Ray,11545,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047979
9,sex 28/09/2018,15:00,AC Ajaccio,Valenciennes,5-4-1 plano,Réginald Ray,2368,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047980
10,sex 05/10/2018,15:00,Valenciennes,Brest,5-4-1 plano,Réginald Ray,7557,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3047999
11,sex 19/10/2018,15:00,US Orléans,Valenciennes,5-4-1 plano,Réginald Ray,4439,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048007
12,sex 26/10/2018,15:00,Valenciennes,AS Nancy,5-4-1 plano,Réginald Ray,7715,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048078
13,sáb 03/11/2018,11:00,Troyes,Valenciennes,5-4-1 plano,Réginald Ray,6049,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048088
14,sáb 10/11/2018,12:00,Valenciennes,Lens,5-4-1 plano,Réginald Ray,17967,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048098
15,sex 23/11/2018,17:00,AS Béziers,Valenciennes,5-4-1 plano,Réginald Ray,2102,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048100
16,sex 30/11/2018,17:00,Valenciennes,Paris FC,5-4-1 plano,Réginald Ray,7605,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048124
17,ter 04/12/2018,18:00,Chamois Niort,Valenciennes,5-4-1 plano,Réginald Ray,2969,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048137
18,seg 17/12/2018,17:45,Valenciennes,FC Metz,5-4-1 plano,Réginald Ray,6460,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048156
19,ter 15/01/2019,16:00,Le Havre,Valenciennes,4-3-3 ofensivo,Réginald Ray,5325,4:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048172
20,sex 11/01/2019,17:00,Valenciennes,FC Sochaux,4-3-3 ofensivo,Réginald Ray,6469,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048216
21,sex 18/01/2019,17:00,LB Châteauroux,Valenciennes,4-2-3-1,Réginald Ray,2881,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048227
22,sex 25/01/2019,17:00,Valenciennes,FC Lorient,4-3-3 ofensivo,Réginald Ray,6536,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048244
23,seg 04/02/2019,16:00,G. Ajaccio,Valenciennes,4-3-3 ofensivo,Réginald Ray,2261,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048259
24,sex 08/02/2019,17:00,Clermont Foot,Valenciennes,4-3-3 ofensivo,Réginald Ray,2277,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048272
25,sex 15/02/2019,17:00,Valenciennes,Grenoble,4-2-3-1,Réginald Ray,5973,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048288
26,sex 22/02/2019,16:00,Red Star FC,Valenciennes,4-2-3-1,Réginald Ray,2800,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048297
27,sex 01/03/2019,16:00,Valenciennes,AC Ajaccio,4-2-3-1,Réginald Ray,5839,4:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048812
28,sex 08/03/2019,16:00,Brest,Valenciennes,4-2-3-1,Réginald Ray,9023,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048815
29,sex 15/03/2019,16:00,Valenciennes,US Orléans,4-2-3-1,Réginald Ray,6875,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048898
30,sex 29/03/2019,16:00,AS Nancy,Valenciennes,4-2-3-1,Réginald Ray,11199,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048904
31,sex 05/04/2019,15:00,Valenciennes,Troyes,4-2-3-1,Réginald Ray,6815,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048918
32,sex 12/04/2019,15:00,Lens,Valenciennes,4-2-3-1,Réginald Ray,32895,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048921
33,sex 19/04/2019,15:00,Valenciennes,AS Béziers,4-2-3-1,Réginald Ray,11832,5:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3048938
