round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 30/07/2022,14:00,Le Havre,Grenoble,4-3-3 ofensivo,Luka Elsner,5388,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3863138
2,sáb 06/08/2022,14:00,Valenciennes,Le Havre,4-3-3 ofensivo,Luka Elsner,4657,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3863151
3,sáb 13/08/2022,14:00,Le Havre,Pau FC,4-3-3 ofensivo,Luka Elsner,4612,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864775
4,sáb 20/08/2022,10:00,Saint-Étienne,Le Havre,4-3-3 ofensivo,Luka Elsner,x,0:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864787
5,sáb 27/08/2022,14:00,Le Havre,Amiens SC,4-3-3 ofensivo,Luka Elsner,5431,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864791
6,ter 30/08/2022,15:45,Stade Lavallois,Le Havre,4-3-3 ofensivo,Luka Elsner,8201,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864803
7,sex 02/09/2022,15:45,Le Havre,SM Caen,4-3-3 ofensivo,Luka Elsner,16007,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864828
8,sáb 10/09/2022,14:00,Chamois Niort,Le Havre,4-3-3 ofensivo,Luka Elsner,2000,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864841
9,sáb 17/09/2022,14:00,Le Havre,FC Annecy,4-3-3 ofensivo,Luka Elsner,5965,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864847
10,sáb 01/10/2022,14:00,Dijon,Le Havre,4-3-3 ofensivo,Luka Elsner,6533,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864872
11,sáb 08/10/2022,14:00,Le Havre,SC Bastia,4-3-3 ofensivo,Luka Elsner,6398,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864883
12,sáb 15/10/2022,14:00,Rodez AF,Le Havre,4-3-3 ofensivo,Luka Elsner,1538,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864912
13,seg 24/10/2022,15:45,Le Havre,FC Metz,4-3-3 ofensivo,Luka Elsner,11832,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864928
14,sáb 05/11/2022,15:00,Quevilly Rouen,Le Havre,4-3-3 ofensivo,Luka Elsner,7963,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864948
15,sáb 12/11/2022,15:00,Guingamp,Le Havre,4-3-3 ofensivo,Luka Elsner,10251,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864954
16,seg 26/12/2022,15:05,Le Havre,Bordeaux,4-3-3 ofensivo,Luka Elsner,23055,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3888722
17,sex 30/12/2022,17:00,Paris FC,Le Havre,4-3-3 ofensivo,Luka Elsner,4608,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864975
18,ter 10/01/2023,16:45,Le Havre,FC Sochaux,4-3-3 ofensivo,Luka Elsner,12026,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3864979
19,sex 13/01/2023,16:45,Le Havre,Nîmes Olympique,4-3-3 ofensivo,Luka Elsner,8562,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3865000
20,sáb 28/01/2023,15:00,Amiens SC,Le Havre,4-3-3 ofensivo,Luka Elsner,7960,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3865010
21,ter 31/01/2023,16:45,Bordeaux,Le Havre,4-3-3 ofensivo,Luka Elsner,20569,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3888727
