round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 05/08/2023,10:00,Saint-Étienne,Grenoble,4-3-3 ofensivo,Vincent Hognon,25412,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095503
2,sáb 12/08/2023,14:00,Grenoble,Paris FC,4-3-3 ofensivo,Vincent Hognon,4031,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095516
3,sáb 19/08/2023,14:00,Grenoble,Troyes,4-3-3 ofensivo,Vincent Hognon,4425,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095528
4,sáb 26/08/2023,14:00,Auxerre,Grenoble,4-3-3 ofensivo,Vincent Hognon,13797,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095532
5,sáb 02/09/2023,14:00,Grenoble,SC Bastia,4-3-3 ofensivo,Vincent Hognon,5803,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095548
6,sáb 16/09/2023,14:00,USL Dunkerque,Grenoble,4-3-3 ofensivo,Vincent Hognon,3125,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095556
7,sáb 23/09/2023,14:00,Grenoble,QRM,4-3-3 ofensivo,Vincent Hognon,4471,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095568
8,ter 26/09/2023,15:45,SM Caen,Grenoble,4-3-3 ofensivo,Vincent Hognon,14770,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095573
9,sáb 30/09/2023,14:00,Grenoble,Bordeaux,4-3-3 ofensivo,Vincent Hognon,8960,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095588
10,sáb 07/10/2023,14:00,Guingamp,Grenoble,4-3-3 ofensivo,Vincent Hognon,8310,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095594
11,sáb 21/10/2023,14:00,Grenoble,Valenciennes,4-3-3 ofensivo,Vincent Hognon,6039,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095607
12,sáb 28/10/2023,14:00,Pau FC,Grenoble,4-3-3 ofensivo,Vincent Hognon,3256,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095610
13,sáb 04/11/2023,15:00,Grenoble,AC Ajaccio,4-3-3 ofensivo,Vincent Hognon,5279,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095627
14,sáb 11/11/2023,15:00,Amiens SC,Grenoble,4-3-3 ofensivo,Vincent Hognon,5910,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095629
15,sáb 25/11/2023,15:00,Grenoble,Rodez AF,4-3-3 ofensivo,Vincent Hognon,6763,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095647
16,sáb 02/12/2023,15:00,Stade Lavallois,Grenoble,4-3-3 ofensivo,Vincent Hognon,7354,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095656
17,ter 05/12/2023,16:45,Angers,Grenoble,4-3-3 ofensivo,Vincent Hognon,9600,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095662
18,sáb 16/12/2023,15:00,Grenoble,FC Annecy,4-3-3 ofensivo,Vincent Hognon,9077,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4148527
19,ter 19/12/2023,16:45,Concarneau,Grenoble,4-3-3 ofensivo,Vincent Hognon,2013,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095688
20,sáb 13/01/2024,15:00,Grenoble,USL Dunkerque,4-3-3 ofensivo,Vincent Hognon,5204,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095696
21,ter 23/01/2024,16:45,Grenoble,Auxerre,4-3-3 ofensivo,Vincent Hognon,6017,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095708
22,sáb 27/01/2024,15:00,QRM,Grenoble,4-3-3 ofensivo,Vincent Hognon,4242,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095717
23,sáb 03/02/2024,15:00,Grenoble,SM Caen,4-3-3 ofensivo,Vincent Hognon,4876,5:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095728
24,sáb 10/02/2024,15:00,Bordeaux,Grenoble,4-4-2 duplo 6,Vincent Hognon,17818,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095731
25,sáb 17/02/2024,15:00,Troyes,Grenoble,4-3-3 ofensivo,Vincent Hognon,4848,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095746
26,sáb 24/02/2024,15:00,Grenoble,Pau FC,4-2-3-1,Vincent Hognon,5700,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095757
27,sáb 02/03/2024,15:00,SC Bastia,Grenoble,4-2-3-1,Vincent Hognon,10229,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095762
28,seg 11/03/2024,16:45,Grenoble,Stade Lavallois,5-3-2,Vincent Hognon,5168,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095778
29,sáb 16/03/2024,15:00,Rodez AF,Grenoble,4-2-3-1,Laurent Peyrelade,2979,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095788
