round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 18/08/1995,19:00,West Ham,Leeds,?,Harry Redknapp,22901,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112651
2,ter 22/08/1995,19:00,Man Utd,West Ham,?,Harry Redknapp,31966,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112658
3,sex 25/08/1995,19:00,Nott'm Forest,West Ham,?,Harry Redknapp,26645,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112670
4,ter 29/08/1995,19:00,West Ham,Tottenham,?,Harry Redknapp,23516,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112683
5,dom 10/09/1995,19:00,West Ham,Chelsea,?,Harry Redknapp,19228,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112693
6,sex 15/09/1995,19:00,Arsenal,West Ham,?,Harry Redknapp,38065,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112694
7,sex 22/09/1995,19:00,West Ham,Everton,?,Harry Redknapp,21085,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112710
8,dom 01/10/1995,20:00,Southampton,West Ham,?,Harry Redknapp,13568,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112723
9,dom 15/10/1995,21:00,Wimbledon FC,West Ham,4-4-2,Harry Redknapp,9411,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112733
10,sex 20/10/1995,21:00,West Ham,Blackburn,?,Harry Redknapp,21776,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112741
11,sex 27/10/1995,21:00,Sheff Wed,West Ham,?,Harry Redknapp,23917,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112750
12,sex 03/11/1995,21:00,West Ham,Aston Villa,?,Harry Redknapp,23637,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112761
13,sex 17/11/1995,21:00,Bolton,West Ham,?,Harry Redknapp,19047,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112766
14,ter 21/11/1995,21:00,West Ham,Liverpool,?,Harry Redknapp,24324,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112782
15,sex 24/11/1995,21:00,West Ham,QPR,?,Harry Redknapp,21504,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112791
16,sex 01/12/1995,21:00,Blackburn,West Ham,4-4-2,Harry Redknapp,26638,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112795
17,dom 10/12/1995,21:00,Everton,West Ham,?,Harry Redknapp,31778,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112813
18,sex 15/12/1995,21:00,West Ham,Southampton,?,Harry Redknapp,18501,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112820
19,sex 22/12/1995,21:00,Middlesbrough,West Ham,?,Harry Redknapp,28640,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112827
20,ter 30/01/1996,21:00,West Ham,Coventry City,?,Harry Redknapp,18884,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112843
21,ter 20/02/1996,20:00,West Ham,Newcastle,?,Harry Redknapp,23843,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112852
22,dom 31/12/1995,21:00,Man City,West Ham,?,Harry Redknapp,26024,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112857
23,sex 12/01/1996,21:00,Leeds,West Ham,?,Harry Redknapp,30658,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112871
24,dom 21/01/1996,21:00,West Ham,Man Utd,?,Harry Redknapp,24197,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112883
25,sex 02/02/1996,21:00,West Ham,Nott'm Forest,?,Harry Redknapp,21257,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112889
26,dom 11/02/1996,20:00,Tottenham,West Ham,?,Harry Redknapp,29781,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112902
27,sex 16/02/1996,20:00,Chelsea,West Ham,?,Harry Redknapp,25252,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112904
28,sex 23/02/1996,20:00,West Ham,Arsenal,?,Harry Redknapp,24217,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112914
29,sex 01/03/1996,20:00,Coventry City,West Ham,?,Harry Redknapp,17459,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112932
30,sex 08/03/1996,20:00,West Ham,Middlesbrough,?,Harry Redknapp,23850,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112936
31,dom 17/03/1996,20:00,Newcastle,West Ham,?,Harry Redknapp,36331,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112953
32,sex 22/03/1996,20:00,West Ham,Man City,?,Harry Redknapp,24017,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112958
33,ter 16/04/1996,19:00,Aston Villa,West Ham,?,Harry Redknapp,26768,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112972
34,sex 05/04/1996,19:00,West Ham,Wimbledon FC,?,Harry Redknapp,20402,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112983
35,dom 07/04/1996,19:00,Liverpool,West Ham,?,Harry Redknapp,40326,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112993
36,sex 12/04/1996,19:00,West Ham,Bolton,?,Harry Redknapp,23086,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1112996
37,sex 26/04/1996,19:00,QPR,West Ham,?,Harry Redknapp,18828,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113013
38,sáb 04/05/1996,19:00,West Ham,Sheff Wed,?,Harry Redknapp,23790,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113021
