round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 16/08/1996,19:00,Wimbledon FC,Man Utd,4-2-3-1,Alex Ferguson,25786,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113033
2,ter 20/08/1996,19:00,Man Utd,Everton,4-5-1,Alex Ferguson,54943,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113040
3,sáb 24/08/1996,19:00,Man Utd,Blackburn,4-4-2 duplo 6,Alex Ferguson,54178,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113053
4,ter 03/09/1996,19:00,Derby,Man Utd,5-4-1 plano,Alex Ferguson,18026,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113061
5,sáb 07/09/1996,11:00,Leeds,Man Utd,4-5-1,Alex Ferguson,39694,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113066
6,sex 13/09/1996,19:00,Man Utd,Nott'm Forest,4-4-2 duplo 6,Alex Ferguson,54984,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113078
7,sex 20/09/1996,19:00,Aston Villa,Man Utd,4-4-2 duplo 6,Alex Ferguson,39339,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113085
8,sáb 28/09/1996,19:00,Man Utd,Tottenham,4-4-2,Alex Ferguson,54943,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113102
9,sex 11/10/1996,20:00,Man Utd,Liverpool,4-4-2 duplo 6,Alex Ferguson,55128,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113110
10,dom 20/10/1996,13:00,Newcastle,Man Utd,3-5-2,Alex Ferguson,36579,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113123
11,sex 25/10/1996,20:00,Southampton,Man Utd,?,Alex Ferguson,15253,6:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113130
12,sex 01/11/1996,21:00,Man Utd,Chelsea,4-4-2 duplo 6,Alex Ferguson,55198,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113138
13,sex 15/11/1996,21:00,Man Utd,Arsenal,4-4-2,Alex Ferguson,55210,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113149
14,sex 22/11/1996,21:00,Middlesbrough,Man Utd,4-5-1,Alex Ferguson,30063,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113159
15,sex 29/11/1996,21:00,Man Utd,Leicester,4-5-1 plano,Alex Ferguson,55196,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113169
16,sáb 07/12/1996,21:00,West Ham,Man Utd,4-4-2 losango,Alex Ferguson,25045,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113183
17,ter 17/12/1996,21:00,Sheff Wed,Man Utd,5-3-2,Alex Ferguson,37671,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113194
18,sex 20/12/1996,21:00,Man Utd,AFC Sunderland,4-4-2,Alex Ferguson,55081,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113198
19,qua 25/12/1996,21:00,Nott'm Forest,Man Utd,4-4-2 duplo 6,Alex Ferguson,29032,0:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113210
20,ter 28/01/1997,21:00,Man Utd,Wimbledon FC,4-4-2 duplo 6,Alex Ferguson,55314,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113223
21,sex 27/12/1996,21:00,Man Utd,Leeds,?,Alex Ferguson,55256,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113231
22,ter 31/12/1996,21:00,Man Utd,Aston Villa,4-4-2 duplo 6,Alex Ferguson,55133,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113239
23,sáb 11/01/1997,21:00,Tottenham,Man Utd,4-4-2 duplo 6,Alex Ferguson,33026,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113254
24,sex 17/01/1997,21:00,Coventry City,Man Utd,4-4-2 duplo 6,Alex Ferguson,23085,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113256
25,sex 31/01/1997,21:00,Man Utd,Southampton,4-4-2 duplo 6,Alex Ferguson,55269,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113270
26,dom 04/05/1997,19:00,Man Utd,Middlesbrough,4-3-2-1,Alex Ferguson,54489,3:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113283
27,sex 21/02/1997,20:00,Chelsea,Man Utd,4-4-2 losango,Alex Ferguson,28336,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113285
28,sex 28/02/1997,20:00,Man Utd,Coventry City,4-4-2 duplo 6,Alex Ferguson,55230,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113299
29,sex 14/03/1997,20:00,Man Utd,Sheff Wed,4-4-2 losango,Alex Ferguson,55267,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113309
30,sex 21/03/1997,20:00,Everton,Man Utd,4-4-2 duplo 6,Alex Ferguson,40079,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113318
31,sex 04/04/1997,19:00,Man Utd,Derby,4-4-2,Alex Ferguson,55243,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113325
32,ter 18/02/1997,20:00,Arsenal,Man Utd,4-4-2 duplo 6,Alex Ferguson,38172,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1113336
