round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sex 08/08/1997,19:00,Wimbledon FC,Liverpool,4-1-3-2,Joe Kinnear,26106,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941310
2,ter 21/10/1997,20:00,Derby,Wimbledon FC,4-1-3-2,Joe Kinnear,28595,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941322
3,sex 22/08/1997,19:00,Wimbledon FC,Sheff Wed,?,Joe Kinnear,11503,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941329
4,ter 26/08/1997,19:00,Wimbledon FC,Chelsea,?,Joe Kinnear,22237,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941341
5,sex 29/08/1997,19:00,West Ham,Wimbledon FC,?,Joe Kinnear,24516,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941349
6,sex 12/09/1997,19:00,Newcastle,Wimbledon FC,4-4-2 losango,Joe Kinnear,36526,1:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941359
7,sex 19/09/1997,19:00,Wimbledon FC,Crystal Palace,?,Joe Kinnear,16747,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941371
8,seg 22/09/1997,19:00,Wimbledon FC,Barnsley FC,?,Joe Kinnear,7668,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941377
9,sex 26/09/1997,19:00,Tottenham,Wimbledon FC,?,Joe Kinnear,26261,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941393
10,sex 03/10/1997,19:00,Wimbledon FC,Blackburn,?,Joe Kinnear,15600,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941401
11,sex 17/10/1997,20:00,Aston Villa,Wimbledon FC,?,Joe Kinnear,32087,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941405
12,sex 24/10/1997,20:00,Wimbledon FC,Leeds,?,Joe Kinnear,15718,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941420
13,sex 31/10/1997,21:00,Wimbledon FC,Coventry City,?,Joe Kinnear,11201,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941431
14,dom 09/11/1997,21:00,Leicester,Wimbledon FC,?,Joe Kinnear,18553,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941444
15,sex 21/11/1997,21:00,Wimbledon FC,Man Utd,?,Joe Kinnear,26309,2:5,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941451
16,sex 28/11/1997,21:00,Bolton,Wimbledon FC,?,Joe Kinnear,22703,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941457
17,sáb 06/12/1997,21:00,Wimbledon FC,Southampton,?,Joe Kinnear,12009,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941473
18,sex 12/12/1997,21:00,Everton,Wimbledon FC,?,Joe Kinnear,28533,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941482
19,ter 10/03/1998,20:00,Wimbledon FC,Arsenal,4-4-2 duplo 6,Joe Kinnear,22291,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941494
20,qui 25/12/1997,21:00,Chelsea,Wimbledon FC,?,Joe Kinnear,34100,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941502
21,sáb 27/12/1997,21:00,Wimbledon FC,West Ham,?,Joe Kinnear,22087,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942108
22,sex 09/01/1998,21:00,Liverpool,Wimbledon FC,?,Joe Kinnear,38011,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942120
23,sex 16/01/1998,21:00,Wimbledon FC,Derby,?,Joe Kinnear,13031,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942128
24,sex 30/01/1998,21:00,Sheff Wed,Wimbledon FC,?,Joe Kinnear,22655,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942137
25,dom 08/02/1998,21:00,Crystal Palace,Wimbledon FC,?,Joe Kinnear,14410,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942153
26,seg 30/03/1998,19:00,Wimbledon FC,Newcastle,?,Joe Kinnear,15478,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942162
27,sex 20/02/1998,21:00,Wimbledon FC,Aston Villa,?,Joe Kinnear,13131,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942168
28,sex 27/02/1998,21:00,Barnsley FC,Wimbledon FC,?,Joe Kinnear,17102,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942176
29,ter 28/04/1998,19:00,Coventry City,Wimbledon FC,?,Joe Kinnear,17968,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942192
30,sex 13/03/1998,20:00,Wimbledon FC,Leicester,?,Joe Kinnear,13229,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942197
31,sex 27/03/1998,20:00,Man Utd,Wimbledon FC,?,Joe Kinnear,55306,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942206
32,sex 03/04/1998,19:00,Wimbledon FC,Bolton,?,Joe Kinnear,11356,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942223
33,sex 10/04/1998,19:00,Southampton,Wimbledon FC,?,Joe Kinnear,14815,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942231
34,dom 12/04/1998,19:00,Wimbledon FC,Everton,?,Joe Kinnear,15131,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942245
35,sex 17/04/1998,19:00,Arsenal,Wimbledon FC,4-4-2,Joe Kinnear,38024,5:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942249
36,sex 24/04/1998,19:00,Blackburn,Wimbledon FC,?,Joe Kinnear,24848,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/942260
37,sex 01/05/1998,19:00,Wimbledon FC,Tottenham,?,Joe Kinnear,25820,2:6,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941288
38,sáb 09/05/1998,19:00,Leeds,Wimbledon FC,?,Joe Kinnear,38172,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/941304
