round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 19/08/2000,11:00,AFC Sunderland,Arsenal,4-4-2 duplo 6,Peter Reid,46347,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1041979
2,qua 23/08/2000,15:45,Man City,AFC Sunderland,?,Peter Reid,34410,4:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1041989
3,sáb 26/08/2000,11:00,Ipswich,AFC Sunderland,?,Peter Reid,21830,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1041994
4,ter 05/09/2000,15:45,AFC Sunderland,West Ham,?,Peter Reid,46605,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042003
5,sáb 09/09/2000,11:00,Man Utd,AFC Sunderland,?,Peter Reid,67503,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042015
6,sáb 16/09/2000,11:00,AFC Sunderland,Derby,?,Peter Reid,45343,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042033
7,sáb 23/09/2000,11:00,Liverpool,AFC Sunderland,?,Peter Reid,44713,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042067
8,dom 01/10/2000,11:00,AFC Sunderland,Leicester,?,Peter Reid,45338,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042076
9,sáb 14/10/2000,12:00,AFC Sunderland,Chelsea,?,Peter Reid,45078,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042086
10,dom 22/10/2000,13:00,Aston Villa,AFC Sunderland,?,Peter Reid,27215,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042098
11,sáb 28/10/2000,12:00,AFC Sunderland,Coventry City,?,Peter Reid,44526,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042106
12,sáb 04/11/2000,13:00,Tottenham,AFC Sunderland,?,Peter Reid,36016,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042115
13,sáb 11/11/2000,13:00,AFC Sunderland,Southampton,?,Peter Reid,45064,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042126
14,sáb 18/11/2000,13:00,Newcastle,AFC Sunderland,?,Peter Reid,52030,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042132
15,sáb 25/11/2000,13:00,Charlton,AFC Sunderland,?,Peter Reid,20043,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042172
16,seg 04/12/2000,18:00,AFC Sunderland,Everton,?,Peter Reid,46372,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042191
17,sáb 09/12/2000,13:00,AFC Sunderland,Middlesbrough,?,Peter Reid,47742,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042198
18,sáb 16/12/2000,13:00,Leeds,AFC Sunderland,?,Peter Reid,40053,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042206
19,sáb 23/12/2000,13:00,AFC Sunderland,Man City,?,Peter Reid,47475,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042215
20,ter 26/12/2000,13:00,Bradford,AFC Sunderland,?,Peter Reid,20370,1:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042225
21,sáb 30/12/2000,13:00,Arsenal,AFC Sunderland,4-4-2,Peter Reid,38026,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042236
22,seg 01/01/2001,13:00,AFC Sunderland,Ipswich,?,Peter Reid,46053,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042248
23,sáb 13/01/2001,13:00,West Ham,AFC Sunderland,?,Peter Reid,26014,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042259
24,dom 21/01/2001,14:00,AFC Sunderland,Bradford,?,Peter Reid,47812,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042269
25,qua 31/01/2001,17:45,AFC Sunderland,Man Utd,?,Peter Reid,48260,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042274
26,sáb 03/02/2001,13:00,Derby,AFC Sunderland,?,Peter Reid,29129,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1042283
27,sáb 10/02/2001,13:00,AFC Sunderland,Liverpool,?,Peter Reid,47553,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043202
28,sáb 24/02/2001,12:00,Leicester,AFC Sunderland,?,Peter Reid,21086,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043209
29,seg 05/03/2001,17:00,AFC Sunderland,Aston Villa,?,Peter Reid,47196,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043222
30,sáb 17/03/2001,12:00,Chelsea,AFC Sunderland,?,Peter Reid,34981,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043225
31,sáb 31/03/2001,11:00,AFC Sunderland,Leeds,?,Peter Reid,48285,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043235
32,seg 09/04/2001,16:00,Middlesbrough,AFC Sunderland,?,Peter Reid,31284,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043248
33,sáb 14/04/2001,11:00,AFC Sunderland,Tottenham,?,Peter Reid,48029,2:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043256
34,seg 16/04/2001,11:00,Coventry City,AFC Sunderland,?,Peter Reid,20946,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043266
35,sáb 21/04/2001,13:15,AFC Sunderland,Newcastle,4-4-2,Peter Reid,48277,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043281
36,sáb 28/04/2001,11:00,Southampton,AFC Sunderland,?,Peter Reid,15249,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043287
37,sáb 05/05/2001,11:00,AFC Sunderland,Charlton,?,Peter Reid,47671,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043300
38,sáb 19/05/2001,11:00,Everton,AFC Sunderland,?,Peter Reid,37444,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1043306
