round,date,time,home_team,away_team,formation,coach,audience,result,match_link
1,sáb 18/08/2001,11:00,Charlton,Everton,?,Alan Curbishley,20451,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/988859
2,qua 24/10/2001,16:45,Aston Villa,Charlton,?,Alan Curbishley,27701,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/998523
3,sáb 25/08/2001,11:00,Ipswich,Charlton,?,Alan Curbishley,22804,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000770
4,dom 09/09/2001,12:00,Charlton,Fulham,?,Alan Curbishley,20451,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000786
5,dom 16/09/2001,10:00,Charlton,Leeds,?,Alan Curbishley,20451,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000794
6,qua 05/12/2001,17:45,Chelsea,Charlton,?,Alan Curbishley,33504,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000801
7,sáb 22/09/2001,11:00,AFC Sunderland,Charlton,?,Alan Curbishley,46825,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000811
8,sáb 29/09/2001,11:00,Charlton,Leicester,?,Alan Curbishley,20451,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1000820
9,sáb 13/10/2001,11:00,Charlton,Middlesbrough,?,Alan Curbishley,20451,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001396
10,sáb 20/10/2001,12:00,Derby,Charlton,?,Alan Curbishley,30221,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001406
11,sáb 27/10/2001,12:00,Charlton,Liverpool,?,Alan Curbishley,22887,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001416
12,dom 04/11/2001,12:00,Arsenal,Charlton,4-4-2 duplo 6,Alan Curbishley,38010,2:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001432
13,seg 19/11/2001,18:00,Charlton,West Ham,?,Alan Curbishley,23198,4:4,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001442
14,sáb 24/11/2001,13:00,Southampton,Charlton,5-3-2,Alan Curbishley,31198,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001448
15,sáb 01/12/2001,13:00,Charlton,Newcastle,?,Alan Curbishley,24151,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001457
16,sáb 08/12/2001,13:00,Charlton,Tottenham,4-4-2,Alan Curbishley,25125,3:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001465
17,sáb 15/12/2001,13:00,Bolton,Charlton,?,Alan Curbishley,20834,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1001474
18,sáb 22/12/2001,13:00,Charlton,Blackburn,?,Alan Curbishley,25857,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021178
19,qua 26/12/2001,10:00,Fulham,Charlton,?,Alan Curbishley,17900,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021184
20,sáb 29/12/2001,13:00,Everton,Charlton,?,Alan Curbishley,31131,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021196
21,ter 01/01/2002,13:00,Charlton,Ipswich,?,Alan Curbishley,25893,3:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021205
22,sáb 12/01/2002,13:00,Blackburn,Charlton,4-4-2,Alan Curbishley,23365,4:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021652
23,seg 21/01/2002,18:00,Charlton,Aston Villa,?,Alan Curbishley,25681,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021664
24,ter 29/01/2002,17:45,Charlton,Derby,?,Alan Curbishley,25387,1:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021667
25,dom 03/02/2002,14:00,Middlesbrough,Charlton,?,Alan Curbishley,24189,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021685
26,dom 10/02/2002,12:00,Charlton,Man Utd,?,Alan Curbishley,26475,0:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021694
27,dom 24/02/2002,12:00,Leeds,Charlton,?,Alan Curbishley,39374,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021703
28,sáb 02/03/2002,12:00,Charlton,Chelsea,?,Alan Curbishley,26354,2:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1021709
29,sáb 09/03/2002,12:00,Leicester,Charlton,?,Alan Curbishley,18562,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023290
30,seg 18/03/2002,17:00,Tottenham,Charlton,?,Alan Curbishley,29602,0:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023300
31,sáb 23/03/2002,12:00,Charlton,Bolton,?,Alan Curbishley,26358,1:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023304
32,sáb 30/03/2002,12:00,Liverpool,Charlton,?,Alan Curbishley,44094,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023318
33,seg 01/04/2002,11:00,Charlton,Arsenal,4-4-2 duplo 6,Alan Curbishley,26339,0:3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023327
34,sáb 06/04/2002,11:00,West Ham,Charlton,?,Alan Curbishley,32389,2:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023335
35,sáb 13/04/2002,11:00,Charlton,Southampton,4-4-2,Alan Curbishley,26557,1:1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023350
36,sáb 20/04/2002,11:00,Newcastle,Charlton,4-4-2,Alan Curbishley,51360,3:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023363
37,sáb 27/04/2002,11:00,Charlton,AFC Sunderland,?,Alan Curbishley,26614,2:2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023369
38,sáb 11/05/2002,11:00,Man Utd,Charlton,?,Alan Curbishley,67571,0:0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1023384
