position,team,played,won,drawn,lost,goal_ratio,goal_difference,points,team_url
1,Chelsea FC,38,29,8,1,72:15,57,95,https://www.transfermarkt.com.br/fc-chelsea/spielplan/verein/631/saison_id/2004
2,FC Arsenal,38,25,8,5,87:36,51,83,https://www.transfermarkt.com.br/fc-arsenal/spielplan/verein/11/saison_id/2004
3,Manchester United FC,38,22,11,5,58:26,32,77,https://www.transfermarkt.com.br/manchester-united/spielplan/verein/985/saison_id/2004
4,FC Everton,38,18,7,13,45:46,-1,61,https://www.transfermarkt.com.br/fc-everton/spielplan/verein/29/saison_id/2004
5,FC Liverpool,38,17,7,14,52:41,11,58,https://www.transfermarkt.com.br/fc-liverpool/spielplan/verein/31/saison_id/2004
6,Bolton Wanderers,38,16,10,12,49:44,5,58,https://www.transfermarkt.com.br/bolton-wanderers/spielplan/verein/355/saison_id/2004
7,FC Middlesbrough,38,14,13,11,53:46,7,55,https://www.transfermarkt.com.br/fc-middlesbrough/spielplan/verein/641/saison_id/2004
8,Manchester City FC,38,13,13,12,47:39,8,52,https://www.transfermarkt.com.br/manchester-city/spielplan/verein/281/saison_id/2004
9,Tottenham Hotspur,38,14,10,14,47:41,6,52,https://www.transfermarkt.com.br/tottenham-hotspur/spielplan/verein/148/saison_id/2004
10,Aston Villa FC,38,12,11,15,45:52,-7,47,https://www.transfermarkt.com.br/aston-villa/spielplan/verein/405/saison_id/2004
11,Charlton Athletic,38,12,10,16,42:58,-16,46,https://www.transfermarkt.com.br/charlton-athletic/spielplan/verein/358/saison_id/2004
12,Birmingham City,38,11,12,15,40:46,-6,45,https://www.transfermarkt.com.br/birmingham-city/spielplan/verein/337/saison_id/2004
13,FC Fulham,38,12,8,18,52:60,-8,44,https://www.transfermarkt.com.br/fc-fulham/spielplan/verein/931/saison_id/2004
14,Newcastle United,38,10,14,14,47:57,-10,44,https://www.transfermarkt.com.br/newcastle-united/spielplan/verein/762/saison_id/2004
15,Blackburn Rovers,38,9,15,14,32:43,-11,42,https://www.transfermarkt.com.br/blackburn-rovers/spielplan/verein/164/saison_id/2004
16,FC Portsmouth,38,10,9,19,43:59,-16,39,https://www.transfermarkt.com.br/fc-portsmouth/spielplan/verein/1020/saison_id/2004
17,West Bromwich Albion,38,6,16,16,36:61,-25,34,https://www.transfermarkt.com.br/west-bromwich-albion/spielplan/verein/984/saison_id/2004
18,Crystal Palace FC,38,7,12,19,41:62,-21,33,https://www.transfermarkt.com.br/crystal-palace/spielplan/verein/873/saison_id/2004
19,Norwich City,38,7,12,19,42:77,-35,33,https://www.transfermarkt.com.br/norwich-city/spielplan/verein/1123/saison_id/2004
20,FC Southampton,38,6,14,18,45:66,-21,32,https://www.transfermarkt.com.br/fc-southampton/spielplan/verein/180/saison_id/2004
